# ----------------------------------------
# iRozhlas
# Queries
# 20190805-20190811
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
počasí,"2,834","546,302",0.52%,2.7
prague pride,973,"14,311",6.80%,3.1
prague pride 2019,765,"12,325",6.21%,3.9
rozhlas,522,"2,924",17.85%,3.5
bjorg lambrecht,452,"4,406",10.26%,2.5
pride praha,446,"4,544",9.82%,3.3
pocasi,434,"53,516",0.81%,2.4
primark praha,405,"1,680",24.11%,5.7
výbuch v rusku,387,857,45.16%,1.4
velké pavlovice,301,"2,207",13.64%,2.1
brexit,280,"2,261",12.38%,4.6
slunovrat recenze,239,870,27.47%,2.7
i rozhlas,233,259,89.96%,1.0
rusko vybuch,233,573,40.66%,1.9
muž ve studní velké pavlovice,223,"8,517",2.62%,4.2
beverly hills 90210,219,"4,918",4.45%,8.5
vinohradská 12,212,299,70.90%,2.0
slunovrat,204,"13,447",1.52%,10
gay pride praha,169,"1,511",11.18%,3.5
zprávy z domova,159,689,23.08%,1.9
dlouhodobá předpověď počasí srpen,144,"3,676",3.92%,6.2
kašmír,135,"1,334",10.12%,2.4
tenkrát v hollywoodu,123,"5,841",2.11%,5.1
průměrná mzda,121,884,13.69%,2.9
www.irozhlas,120,135,88.89%,1.0
muz ve studni,118,649,18.18%,3.0
burčák 2019,117,241,48.55%,1.7
zprávy,114,"1,190",9.58%,12
nehoda medlešice,111,270,41.11%,1.0
izurnal,110,134,82.09%,1.0
ačinsk,108,"1,227",8.80%,2.5
průměrná mzda 2019,108,457,23.63%,2.3
kyrgyzstán,107,"1,216",8.80%,2.7
počasí srpen,107,869,12.31%,4.3
ztracené letadlo malajsie,105,284,36.97%,2.0
primark,103,"3,807",2.71%,8.6
vigantol,103,"1,694",6.08%,6.5
graffiti karluv most,99,404,24.50%,2.2
rusko,96,"2,764",3.47%,5.3
vinohradska 12,91,128,71.09%,2.0
pocasi na srpen,90,614,14.66%,4.9
sibiř požár,89,"2,791",3.19%,8.7
vybuch v rusku,88,364,24.18%,3.8
vzácné mince,88,254,34.65%,1.0
karluv most graffiti,87,363,23.97%,2.2
desetikoruna z roku 1993,86,200,43.00%,1.0
pride,84,"3,832",2.19%,5.4
třebechovice,84,294,28.57%,3.1
třebechovice pod orebem,84,625,13.44%,1.4
fireflies,83,463,17.93%,2.0
zoot,82,"6,604",1.24%,3.2
breclav vrazda,81,402,20.15%,3.4
pocasi srpen,81,561,14.44%,4.5
elischer,80,518,15.44%,3.1
václav kotek,79,"5,490",1.44%,9.9
aktip,74,262,28.24%,3.9
břeclav vražda,73,254,28.74%,2.7
dlouhodobá předpověď počasí na srpen,72,"1,896",3.80%,4.6
elischer soudce,72,197,36.55%,1.4
fox tv,72,395,18.23%,3.2
basketbalista roku 2019,71,313,22.68%,2.8
nejoblíbenější jména,71,189,37.57%,1.1
pocasi srpen 2019,71,347,20.46%,2.9
marek prchal,70,937,7.47%,3.2
soudce elischer,70,480,14.58%,1.5
policie břeclav,69,417,16.55%,1.9
asteroid 2019,68,229,29.69%,2.5
svatopluk čumba,68,273,24.91%,1.2
oheň na sibiři,67,267,25.09%,2.1
velke pavlovice,67,402,16.67%,1.6
ekonomika,66,992,6.65%,5.3
nehoda u medlešic,64,177,36.16%,1.2
muž ve studni,63,391,16.11%,3.2
rodičovský příspěvek 2020,63,"1,033",6.10%,4.8
rusko výbuch,63,293,21.50%,1.1
vybuch na opavsku,63,304,20.72%,1.4
karlův most graffiti,62,245,25.31%,2.0
pavlovice studna,62,386,16.06%,3.9
pride prague,61,"1,227",4.97%,5.1
velke pavlovice studna,61,507,12.03%,4.6
hadí lázně,60,521,11.52%,2.7
hadí lázně v teplicích,60,368,16.30%,1.9
tenkrát v hollywoodu recenze,60,233,25.75%,1.1
ivan elischer,59,457,12.91%,3.4
rusko radioaktivita,59,140,42.14%,1.2
tenkrat v hollywoodu,59,"3,565",1.65%,6.3
ukrajina,59,"2,364",2.50%,5.9
první republika 4,58,154,37.66%,1.0
rath,58,240,24.17%,4.2
vinohradská 12 podcast,57,66,86.36%,1.0
david rath,56,537,10.43%,4.7
dluhy zoot,56,"1,468",3.81%,1.0
kurovec,56,"1,245",4.50%,5.9
miloslav černý,56,891,6.29%,5.8
petr kellner,56,"2,566",2.18%,8.1
počasí srpen 2019,56,382,14.66%,3.8
rodičovský příspěvek,56,"2,548",2.20%,7.9
vzácné desetikoruny,56,102,54.90%,1.0
hadí lázně teplice,55,387,14.21%,5.2
lanový most praha uzavírka,55,143,38.46%,2.0
,"53,359","1,782,905",2.99%,5.3

Week Index,Clicks
0000,"46,086"
0001,"7,273"
,"53,359"
