# ----------------------------------------
# iRozhlas
# Queries
# 20191111-20191117
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
jelení příkop,694,"1,600",43.38%,6.9
vevio,663,"12,263",5.41%,4.2
ježíškova vnoučata 2020,649,914,71.01%,1.0
bitcoin revolution,615,"1,489",41.30%,2.4
nehoda znojmo,529,"1,488",35.55%,1.5
nehoda na znojemsku,505,"3,471",14.55%,3.0
rozhlas,482,"3,534",13.64%,3.2
vzacna 10 koruna,472,873,54.07%,1.1
disney +,391,"2,487",15.72%,1.4
oslavy 30 let sametové revoluce praha,380,"1,334",28.49%,2.4
demonstrace letná 16.11,346,"3,474",9.96%,4.3
oslavy 17 listopadu,335,"2,249",14.90%,1.2
dopravní nehoda znojmo,325,"1,072",30.32%,1.0
primark praha,320,"1,994",16.05%,4.6
i rozhlas,317,359,88.30%,1.0
desetikoruna 1993,302,858,35.20%,1.8
vinohradská 12,287,392,73.21%,1.0
marcel puvák,282,782,36.06%,3.7
rektor zima,278,"1,873",14.84%,5.1
demonstrace praha,268,"1,071",25.02%,3.7
vevio recenze obchodu,264,"2,613",10.10%,4.9
milion chvilek,260,"39,266",0.66%,7.8
vevio.cz recenze,253,"1,148",22.04%,3.0
šibík výstava,227,398,57.04%,1.1
17. listopad 1989,225,"15,140",1.49%,9.5
vzácné mince,225,752,29.92%,1.4
den válečných veteránů,208,"2,386",8.72%,5.7
kandidáti na prezidenta,192,848,22.64%,4.2
mma,185,"5,532",3.34%,5.2
znojmo nehoda,185,449,41.20%,1.1
nehoda znojemsko,182,469,38.81%,1.2
nové dresy české fotbalové reprezentace,177,"1,511",11.71%,4.6
conor mcgregor,175,"4,354",4.02%,7.3
ježíškova vnoučata,174,"28,119",0.62%,8.0
dopravní nehoda pavlice,171,"2,700",6.33%,2.8
nehoda autobusu,166,"3,242",5.12%,7.5
požár černý most,165,368,44.84%,1.2
vlci maky veterani,165,412,40.05%,1.2
10 kč 1993,164,325,50.46%,1.2
tomáš zima,163,"1,570",10.38%,6.3
nove dresy ceske reprezentace,161,"1,529",10.53%,4.4
nehoda u znojma,160,980,16.33%,3.1
mikuláš minář,157,"5,323",2.95%,9.4
csfd,156,"123,060",0.13%,3.0
kandidáti na prezidenta 2023,154,392,39.29%,2.9
letná 16.11,141,943,14.95%,1.5
pozar cerny most,141,307,45.93%,1.2
babis narodni muzeum,140,275,50.91%,1.1
nehoda nová ves,140,271,51.66%,1.2
černý kašel,135,"2,289",5.90%,7.4
nipsey hussle smrt,134,279,48.03%,2.7
vemola vs attila datum,126,596,21.14%,1.9
jana filipová,124,558,22.22%,1.7
pozar na cernem moste,124,242,51.24%,1.2
sametová revoluce,124,"12,087",1.03%,6.2
vlčí mák,122,865,14.10%,2.8
zprávy z domova,121,765,15.82%,3.0
marcel puvak,118,562,21.00%,5.0
www.irozhlas,117,123,95.12%,1.0
dresy fotbalové reprezentace,115,"1,233",9.33%,3.3
nehoda autobusu nová ves,110,198,55.56%,1.2
izurnal,108,123,87.80%,1.0
30 let svobody,107,"3,035",3.53%,5.8
david koller,107,"1,044",10.25%,2.3
mcgregor,107,"1,585",6.75%,5.6
vigantol,102,"1,705",5.98%,6.1
bioparox,101,393,25.70%,5.1
zprávy,101,936,10.79%,18
eduard stehlík,100,"1,035",9.66%,4.0
program vaclavske namesti,100,221,45.25%,2.4
uzavírky praha 17.11,100,228,43.86%,1.7
jeleni prikop,97,320,30.31%,8.2
znojmo dopravní nehoda,95,314,30.25%,1.0
den veteránů,94,"1,034",9.09%,5.5
17 listopad,92,"5,332",1.73%,5.1
požáry v austrálii,92,426,21.60%,3.0
sting slavkov,92,754,12.20%,2.0
dopravní nehoda,91,931,9.77%,2.7
letna online,90,477,18.87%,2.8
praha demonstrace,89,258,34.50%,2.5
babiš národní muzeum,88,310,28.39%,1.4
rozdeleni svobodou,88,130,67.69%,1.0
demonstrace letná 1989,86,246,34.96%,1.1
booking pokuta,85,233,36.48%,1.2
tragická nehoda na znojemsku,85,220,38.64%,1.1
nehoda na slovensku,83,"1,478",5.62%,6.0
zima rektor,83,595,13.95%,5.8
letná online,82,385,21.30%,2.8
znojemsko nehoda,82,208,39.42%,1.2
bez vědomí,80,"2,895",2.76%,5.4
mince 10 kč,80,199,40.20%,1.1
tragicka nehoda na znojemsku,80,213,37.56%,1.1
vzácné desetikoruny,80,268,29.85%,2.8
nehoda pavlice,78,"1,960",3.98%,7.6
den veteránů vlčí mák kde koupit,77,227,33.92%,2.8
reverse charge,77,861,8.94%,5.8
vinohradska 12,75,96,78.12%,1.1
den válečných veteránů vlčí mák,74,635,11.65%,2.6
projev v národním muzeu,74,499,14.83%,3.1
nehoda u nitry,73,717,10.18%,5.3
,"66,982","1,873,396",3.58%,6.6

Week Index,Clicks
0000,"53,846"
0001,"13,136"
,"66,982"
