# ----------------------------------------
# iRozhlas
# Queries
# 20190909-20190915
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
nabarvené ptáče,"1,056","42,984",2.46%,8.4
basketbal online,"1,025","4,605",22.26%,1.4
nabarvené ptáče recenze,922,"5,690",16.20%,4.0
ms basketball 2019,815,"19,443",4.19%,8.1
michael schumacher,590,"5,951",9.91%,4.1
rozhlas,560,"3,254",17.21%,3.5
basketball ms,482,"4,100",11.76%,7.1
11 září,396,"7,846",5.05%,5.5
usa brazilie,358,"2,599",13.77%,2.0
záplavy španělsko,358,"7,033",5.09%,2.7
formule na d4,312,"4,129",7.56%,3.4
basketbal ms 2019,297,"5,136",5.78%,9.5
dlouhodobá předpověď počasí září,288,"5,771",4.99%,2.0
brexit,283,"1,641",17.25%,2.5
dvojčata usa letadlo,264,"1,087",24.29%,1.5
maršál koněv,260,"3,833",6.78%,3.2
i rozhlas,258,297,86.87%,1.0
vinohradská 12,256,330,77.58%,1.6
cesko srbsko,235,"1,531",15.35%,2.6
blake schilb barbora schilb,225,"1,210",18.60%,2.0
novy iphone,216,"1,709",12.64%,4.1
koněv,210,"3,567",5.89%,5.0
přerov nehoda,201,340,59.12%,1.5
zeman kosovo,198,"1,497",13.23%,4.4
metro c nejede,196,299,65.55%,2.4
kosovo,187,"8,900",2.10%,5.5
formule na dalnici,185,"2,524",7.33%,4.5
akutní leukémie,184,"7,066",2.60%,3.7
karel gott leukemie,182,"9,072",2.01%,7.3
karel gott,180,"2,753",6.54%,12
metro nádraží holešovice florenc,175,"2,831",6.18%,1.7
basketbal usa brazilie,174,"1,257",13.84%,2.3
blake schilb,170,"5,852",2.90%,8.6
platba kartou,165,669,24.66%,1.9
basketbal,164,"6,413",2.56%,8.1
nabarvene ptace,163,"4,772",3.42%,8.2
česko srbsko basket,161,577,27.90%,1.7
izurnal,156,179,87.15%,1.0
maturita z matematiky,156,533,29.27%,1.8
nehoda uhříněves,152,435,34.94%,1.0
zprávy z domova,152,712,21.35%,2.3
seznam,148,"49,843",0.30%,5.2
čapí hnízdo,146,"4,365",3.34%,7.4
barbora lejskova,140,388,36.08%,1.9
pavel zeman,139,816,17.03%,1.8
dejvické divadlo basketbal,138,339,40.71%,1.4
formule na dálnici,138,889,15.52%,3.2
dejvicke divadlo basketbal,134,232,57.76%,1.8
basketbal cesko srbsko,131,904,14.49%,3.0
vigantol,130,"1,394",9.33%,5.9
cesko srbsko basketbal,127,900,14.11%,4.2
formule d4,127,885,14.35%,2.5
www.irozhlas,127,134,94.78%,1.0
zprávy,125,"1,176",10.63%,14
formule na silnici,121,214,56.54%,1.6
11. září,118,"1,965",6.01%,4.6
spanelsko zaplavy,117,774,15.12%,2.7
barbora lejsková,115,381,30.18%,1.9
desetikoruna 1993,115,287,40.07%,1.6
basketbal česko,114,"1,450",7.86%,5.0
primark praha,113,"1,814",6.23%,7.5
schumacher,113,"1,913",5.91%,7.4
basket cesko srbsko,112,322,34.78%,2.2
akutni leukemie,111,"2,779",3.99%,2.6
cena ropy,111,757,14.66%,3.2
první republika 4,109,236,46.19%,1.0
dvojcata katastrofa,105,"1,084",9.69%,3.3
mezislovanština,105,239,43.93%,1.1
cesko polsko basketbal,104,"1,250",8.32%,3.7
nehoda přerov,103,196,52.55%,1.7
nabarvene ptace recenze,102,454,22.47%,4.0
volby v rusku,102,187,54.55%,2.0
nehoda tynistko,101,190,53.16%,1.0
asteroid 2019,99,461,21.48%,3.5
vzácné mince,99,269,36.80%,1.0
10 kč 1993,98,194,50.52%,1.2
recenze nabarvené ptáče,98,463,21.17%,3.8
česko srbsko,97,802,12.09%,3.3
minimální mzda 2020,97,908,10.68%,6.5
basketbal ms,96,"8,137",1.18%,11
dvojčata,93,"1,096",8.49%,1.3
petr kotlár,93,"1,094",8.50%,5.2
vinohradska 12,93,132,70.45%,1.7
bahamy,92,"1,840",5.00%,3.5
basketbal cesko polsko,92,688,13.37%,2.9
zprávy ze světa,91,"1,491",6.10%,5.5
cesko polsko,90,276,32.61%,1.6
basketbal online přenosy,89,215,41.40%,1.3
basketbal česko srbsko,87,596,14.60%,3.5
evropská komise,86,653,13.17%,2.5
basketbal živě,85,528,16.10%,1.5
martin erazím,85,513,16.57%,1.1
nabarvené ptáče benátky,85,"1,006",8.45%,3.3
irská pojistka,84,524,16.03%,2.7
formule na dálnici d4,83,"1,173",7.08%,2.5
robert bobroczky,83,466,17.81%,11
průměrná mzda 2019,82,603,13.60%,3.5
zeman srbsko,82,718,11.42%,4.1
ms basketbal 2019,81,"3,416",2.37%,9.5
burčák cena,80,133,60.15%,1.0
,"65,481","1,497,601",4.37%,6.5

Week Index,Clicks
0000,"57,533"
0001,"7,948"
,"65,481"
