# ----------------------------------------
# iRozhlas
# Queries
# 20190617-20190623
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
demonstrace letná 2019,"1,217","20,131",6.05%,6.1
softball mistrovství světa 2019,"1,058","7,412",14.27%,1.8
milion chvilek,879,"28,470",3.09%,3.0
mikuláš minář,726,"6,366",11.40%,2.9
rozhlas,696,"3,243",21.46%,3.2
černobyl,686,"8,706",7.88%,2.3
letna demonstrace 2019,587,"10,072",5.83%,6.3
demonstrace letná,514,"4,158",12.36%,4.6
milion chvilek demonstrace letná,495,"5,932",8.34%,4.1
letná,462,"7,373",6.27%,4.5
demonstrace praha,455,"2,798",16.26%,2.7
letná demonstrace,442,"4,922",8.98%,5.2
zdeňka trachtová,347,"1,915",18.12%,1.0
robert bobroczky,332,"1,659",20.01%,3.6
jiří burian,314,"13,842",2.27%,6.0
demonstrace letna,309,"2,660",11.62%,4.3
cernobyl,278,"2,423",11.47%,1.9
demonstrace milion chvilek letná,271,"6,472",4.19%,4.2
i rozhlas,257,285,90.18%,1.0
demonstrace,230,"3,176",7.24%,5.5
desetikoruna z roku 1993,217,430,50.47%,1.1
ms softball 2019,214,"2,911",7.35%,1.5
demonstrace proti babišovi,208,"1,817",11.45%,4.7
letna,203,"3,281",6.19%,4.8
praha letná,203,"1,338",15.17%,2.0
izurnal,200,239,83.68%,1.0
ms softball,180,"2,014",8.94%,2.1
metro d,179,"2,115",8.46%,2.8
softball mistrovství světa,176,"1,687",10.43%,1.9
trikolora,174,"2,759",6.31%,4.3
www.irozhlas,170,180,94.44%,1.0
benjamin roll,167,"1,663",10.04%,2.2
draft nhl 2019,167,"2,062",8.10%,3.0
smartwings,166,"4,664",3.56%,4.0
zdenka trachtová rozhlas,166,579,28.67%,1.1
milion chvilek pro demokracii,163,"6,177",2.64%,3.5
protest letna,162,"1,264",12.82%,4.0
walderode,160,"2,028",7.89%,3.7
neymar,153,"2,320",6.59%,5.9
puma na jindrichohradecku,153,669,22.87%,3.6
vzácné mince,153,389,39.33%,1.1
vigantol,151,"1,712",8.82%,6.2
zpravy,146,"2,479",5.89%,4.5
letna demonstrace,139,"1,347",10.32%,5.4
okamura,139,987,14.08%,3.6
milion chvilek demonstrace,138,"1,880",7.34%,4.6
český rozhlas,137,"7,697",1.78%,4.2
letna online,136,951,14.30%,3.5
letenská pláň demonstrace,134,346,38.73%,1.2
zdenka trachtova,130,549,23.68%,1.0
mariánský sloup,129,"1,342",9.61%,3.5
chernobyl,128,"9,968",1.28%,9.1
praha demonstrace,128,651,19.66%,2.5
gruzie,127,"1,394",9.11%,3.7
zprávy,125,"1,130",11.06%,14
walderode restituce,122,454,26.87%,1.8
filip pešán,121,913,13.25%,2.1
letná online,121,902,13.41%,3.2
okamura cesky rozhlas,121,192,63.02%,1.2
drabova cernobyl,120,293,40.96%,3.3
brexit,119,"1,246",9.55%,4.7
heliodor píka,119,"3,569",3.33%,5.7
nehoda milín,118,302,39.07%,1.0
letná praha,117,757,15.46%,1.9
metronome festival,115,"2,203",5.22%,2.8
letna live,107,237,45.15%,1.7
zprávy z domova,106,935,11.34%,4.3
tomio okamura,102,"1,331",7.66%,4.5
vinohradská 12,101,140,72.14%,2.0
gruzie protesty,100,145,68.97%,1.1
letná live,100,219,45.66%,1.2
benešovy dekrety,97,954,10.17%,4.0
hlasování o nedůvěře vládě,97,416,23.32%,1.9
david rath,96,787,12.20%,3.5
demonstrace na letné,96,"1,935",4.96%,6.6
hong kong protesty,95,242,39.26%,1.9
neymar do barcelony,95,472,20.13%,2.8
puma na vysocine,95,369,25.75%,1.4
westerfield international ag,95,187,50.80%,3.1
westerfield international,94,196,47.96%,2.2
nedůvěra vládě,93,251,37.05%,1.7
nehoda znojmo,93,198,46.97%,1.8
kryštof agrofert,92,704,13.07%,2.9
votvírák 2019,92,976,9.43%,1.1
milion chvilek letná,91,811,11.22%,3.3
rath,91,620,14.68%,2.6
volby do evropského parlamentu 2019,91,502,18.13%,3.8
babiš klima,90,156,57.69%,1.0
blackout argentina,90,201,44.78%,2.3
hong kong demonstrace,88,148,59.46%,1.0
demonstrace v praze,87,533,16.32%,3.3
zlatá tretra,87,"2,728",3.19%,1.9
cesky rozhlas okamura,86,123,69.92%,1.3
smartwings problemy,86,378,22.75%,2.1
nejoblíbenější jména,85,223,38.12%,1.0
pardubická nemocnice,85,539,15.77%,2.7
cvičení anděl,84,271,31.00%,1.2
demonstrace na letne,83,828,10.02%,5.2
perseidy 2019,83,269,30.86%,2.6
drábová černobyl,82,269,30.48%,1.9
,"67,494","1,643,881",4.11%,5.4

Week Index,Clicks
0000,"49,643"
0001,"17,851"
,"67,494"
