# ----------------------------------------
# iRozhlas
# Queries
# 20191202-20191208
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
prešov,"1,117","12,805",8.72%,3.9
vevio,"1,078","7,780",13.86%,1.1
presov vybuch,"1,026","10,044",10.22%,6.4
vevio obchod recenze,852,"2,135",39.91%,1.4
presov,770,"6,330",12.16%,3.8
vybuch v presove,695,"5,524",12.58%,5.7
vevio recenze,689,"1,701",40.51%,1.3
rozhlas,665,"3,790",17.55%,2.6
mujrozhlas,622,"1,827",34.04%,2.0
prešov výbuch,491,"4,246",11.56%,4.3
vybuch plynu presov,471,"3,281",14.36%,3.9
vybuch plynu v presove,436,"3,942",11.06%,7.9
výbuch plynu v prešove,407,"2,724",14.94%,7.0
vinohradská 12,404,534,75.66%,1.0
vybuch presov,398,"3,519",11.31%,5.3
i rozhlas,360,413,87.17%,1.0
vlasovci,331,"7,706",4.30%,4.5
vevio.cz recenze,317,644,49.22%,1.0
novotny rozhovor,312,711,43.88%,1.6
výbuch v prešově,304,"2,352",12.93%,2.6
primark praha,293,"2,190",13.38%,2.5
presov vybuch plynu,288,"2,263",12.73%,5.2
výbuch plynu prešov,276,"2,305",11.97%,3.1
abolice,269,"27,900",0.96%,6.7
výbuch prešov,253,"1,600",15.81%,3.7
zaručená mzda 2020,251,"2,331",10.77%,6.5
výbuch plynu,250,"1,912",13.08%,3.3
prešov výbuch plynu,231,"2,952",7.83%,3.6
tajfun filipiny,228,663,34.39%,3.7
vigantol,228,"2,102",10.85%,5.3
zlatý míč,196,"2,911",6.73%,5.9
prešov požár,193,903,21.37%,2.4
sarkofág dánská královna,193,473,40.80%,1.0
dan přibáň,190,939,20.23%,3.1
výbuch plynu v prešově,180,935,19.25%,2.6
filipíny,179,"2,148",8.33%,2.5
manželské etudy nová generace,177,"11,471",1.54%,9.7
csfd,176,"119,844",0.15%,2.2
ester ledecká lake louise,169,"4,446",3.80%,4.7
vybuch v presove video,166,611,27.17%,3.8
audit babiš,158,"1,126",14.03%,4.1
ježíškova vnoučata,158,"11,718",1.35%,3.1
filipiny tajfun,147,427,34.43%,3.4
novotny vlasovci,147,507,28.99%,2.6
vinohradska 12,146,192,76.04%,1.1
ester ledecká,145,"14,328",1.01%,8.3
ledecka zavody,143,469,30.49%,1.6
výbuch v prešove,143,"1,127",12.69%,4.8
požár prešov,142,552,25.72%,3.2
zprávy,141,"1,290",10.93%,15
vstupenky euro 2020,139,982,14.15%,2.6
novotný vlasovci,134,419,31.98%,2.8
prešov vybuch,134,"1,341",9.99%,4.9
volební průzkum,134,348,38.51%,2.2
izurnal,132,152,86.84%,1.0
kandidáti na prezidenta,132,375,35.20%,2.0
pozar presov,128,587,21.81%,3.4
novotný rozhovor,127,291,43.64%,1.1
vzácné mince,126,355,35.49%,1.0
rick dalton,125,"1,050",11.90%,9.7
josef mareš,124,894,13.87%,6.0
vybuch presov video,121,896,13.50%,5.4
ester ledecka lake louise,119,"1,133",10.50%,4.6
www.irozhlas cz,115,119,96.64%,1.0
pozar v presove,109,526,20.72%,3.8
facebook,106,"270,116",0.04%,3.3
požár v prešově,106,450,23.56%,3.4
robert šlachta,106,"1,857",5.71%,2.3
filipiny,104,847,12.28%,3.5
www.irozhlas,100,114,87.72%,1.0
babiš audit,99,816,12.13%,4.0
český rozhlas,99,"9,431",1.05%,4.9
novotný ruská televize,98,629,15.58%,2.6
virgil van dijk,98,"1,447",6.77%,2.3
zprávy z domova,96,707,13.58%,4.5
euro 2020 vstupenky,94,882,10.66%,3.2
pavel zeman,91,"3,996",2.28%,7.4
minimální mzda 2020,90,"3,625",2.48%,8.6
vybuch plynu,90,"1,005",8.96%,8.8
adam ondra,88,"2,729",3.22%,10
tajfun kammuri,88,412,21.36%,5.1
bioparox,87,460,18.91%,5.9
vevio cz recenze,87,176,49.43%,1.0
vevio recenze obchodu,87,209,41.63%,1.2
biatlon,86,"1,205",7.14%,2.3
vevio eshop,85,"1,100",7.73%,3.0
recenze vevio.cz,84,220,38.18%,1.8
volební preference,84,"1,008",8.33%,6.6
lex babiš,83,"1,075",7.72%,3.0
novotny ruska televize,83,288,28.82%,2.5
ronaldo,83,"1,792",4.63%,2.5
tajfun filipiny 2019,83,266,31.20%,3.5
van dijk,83,"1,276",6.50%,3.0
babiš,82,"2,047",4.01%,8.5
černý kašel,82,"1,694",4.84%,8.7
filipíny tajfun,81,236,34.32%,2.2
jak si nepodělat život,79,"6,003",1.32%,6.7
výbuch paneláku prešov,79,"3,244",2.44%,6.0
slavia,78,"1,318",5.92%,6.0
zlatý míč 2019,78,"2,307",3.38%,9.3
,"66,297","1,837,480",3.61%,6.1

Week Index,Clicks
0000,"57,352"
0001,"8,945"
,"66,297"
