# ----------------------------------------
# iRozhlas
# Queries
# 20190304-20190310
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
rozhlas,"1,064","2,752",38.66%,2.3
luke perry,380,"21,033",1.81%,5.4
brexit,374,"4,330",8.64%,2.7
zprávy,347,"4,497",7.72%,4.2
faltýnek,317,"3,900",8.13%,5.2
keith flint,259,"8,373",3.09%,5.7
nhl v praze,231,617,37.44%,1.7
i rozhlas,205,237,86.50%,1.1
jiří švachula,178,857,20.77%,1.5
spalničky,174,"5,611",3.10%,2.9
faltynek,163,"1,385",11.77%,4.1
ceny anděl 2019,151,"5,002",3.02%,8.8
aťka janoušková,148,"14,855",1.00%,8.0
izurnal,126,154,81.82%,1.0
saman el talabani,125,933,13.40%,4.8
fireflies,113,509,22.20%,2.1
prodigy,110,"4,173",2.64%,7.0
jiri svachula,106,413,25.67%,1.6
saman el-talabani,100,"1,354",7.39%,6.1
vinohradská nemocnice,95,549,17.30%,1.4
eurovolby 2019,94,462,20.35%,2.7
papežovo lamborghini,93,"6,375",1.46%,5.7
nejoblíbenější jména,89,173,51.45%,1.1
faltýnek kapsch,86,358,24.02%,1.6
kapsch,86,"2,118",4.06%,5.9
faltynek kapsch,80,213,37.56%,2.0
spalničky trutnov,79,335,23.58%,1.7
petr liškutin brno,78,352,22.16%,2.7
vítr,78,983,7.93%,5.5
jackson maine,76,893,8.51%,2.8
nejvyšší budova světa,75,402,18.66%,1.0
nehoda vlaku brno,72,304,23.68%,2.8
nejčastější jména 2018,69,246,28.05%,2.1
brno střed,68,402,16.92%,1.8
venezuela,67,931,7.20%,2.7
brno hlavní nádraží,65,558,11.65%,4.6
ronov nad doubravou,65,486,13.37%,2.7
fantastická zvířata,64,"3,264",1.96%,4.8
jeden svět,64,"4,723",1.36%,2.1
okd,64,457,14.00%,3.9
vitr,64,704,9.09%,5.4
csfd,63,"55,216",0.11%,2.5
varování před větrem,61,171,35.67%,1.7
volby do evropského parlamentu 2019,60,"2,107",2.85%,4.2
alex král,58,882,6.58%,6.4
vzácné mince,58,162,35.80%,1.1
český rozhlas,57,"7,548",0.76%,4.9
doložkomat,57,590,9.66%,1.9
magic johnson hiv,57,96,59.38%,1.2
první jarní den 2019,57,550,10.36%,1.1
el talabani,56,254,22.05%,2.9
michael jackson,56,"1,102",5.08%,3.0
karel kryl,55,"2,735",2.01%,6.2
strelba vinohradska nemocnice,54,178,30.34%,2.0
the prodigy,54,"1,387",3.89%,5.7
výstraha před silným větrem,54,146,36.99%,2.0
magic johnson aids,51,86,59.30%,2.8
petr rafaj,51,550,9.27%,2.0
varovani pred silnym vetrem,51,153,33.33%,2.3
jaroslav faltýnek,50,992,5.04%,4.0
prezidentské volby slovensko,50,528,9.47%,4.5
zpravy,50,941,5.31%,9.6
faltynek odposlechy,49,251,19.52%,3.6
i ty brute,49,214,22.90%,1.2
zprávy z domova,49,"1,139",4.30%,6.4
bára poláková anděl,48,"3,062",1.57%,3.0
lev na vsetinsku,47,218,21.56%,2.9
razie brno,47,124,37.90%,1.9
zprávy ze světa,47,"1,575",2.98%,7.4
faltýnek odposlechy,46,228,20.18%,4.2
hejného metoda,46,524,8.78%,7.0
nehoda vlaku,46,228,20.18%,2.4
rychlost větru,46,"1,017",4.52%,4.8
strelba ve vrsovicich,46,111,41.44%,1.0
švachula,46,271,16.97%,2.5
spalnicky,45,"1,464",3.07%,2.7
michael jackson dokument,44,239,18.41%,1.8
špindlerův mlýn,44,"1,607",2.74%,4.6
macron dopis,43,73,58.90%,1.0
sáblíková,43,"1,349",3.19%,4.6
lev na vsetínsku,42,388,10.82%,4.1
silny vitr aktualne,42,442,9.50%,1.0
vítr aktuálně,42,715,5.87%,1.2
ivan langer,41,515,7.96%,2.6
martina sáblíková,41,"1,447",2.83%,1.6
silný vítr v česku,41,722,5.68%,2.5
volby 2019,41,"1,749",2.34%,5.3
zprávy rozhlas,41,42,97.62%,1.0
venezuela blackout,40,88,45.45%,2.6
nejčastější jména,39,471,8.28%,3.8
vlak brno,39,106,36.79%,2.2
svachula,38,140,27.14%,2.0
vítr rychlost,38,322,11.80%,3.1
vondráček,38,470,8.09%,3.3
rozhlas zprávy,37,44,84.09%,1.0
saman talabani,37,202,18.32%,4.1
karneval rio de janeiro 2019,36,216,16.67%,1.8
pocasi vitr,36,106,33.96%,1.0
ráchel skleničková,36,960,3.75%,6.9
slovensko prezidentské volby,36,259,13.90%,4.8
,"34,845","1,124,038",3.10%,6.2

Week Index,Clicks
0000,"28,931"
0001,"5,914"
,"34,845"
