# ----------------------------------------
# iRozhlas
# Queries
# 20190923-20190929
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
vystraha silny vitr,"1,790","5,807",30.82%,1.0
hondrostrong,770,"1,376",55.96%,2.8
evakuace liberec,725,"1,683",43.08%,1.0
liberec evakuace,637,"1,218",52.30%,1.2
rozhlas,633,"3,550",17.83%,2.9
titanic,505,"27,172",1.86%,5.1
puma liberec,485,"1,603",30.26%,2.7
metro c,415,"1,643",25.26%,3.0
rozdeleni svobodou,391,457,85.56%,1.0
liberec puma,372,979,38.00%,2.2
metro praha,334,"4,486",7.45%,4.3
i rozhlas,333,405,82.22%,1.0
rozděleni svobodou,319,396,80.56%,1.0
florenc metro c,303,"1,220",24.84%,3.0
hondrostrong recenze,297,455,65.27%,1.3
stanice metra bořislavka,283,"1,295",21.85%,4.2
continental propouštění,282,"2,445",11.53%,1.0
vinohradská 12,277,386,71.76%,1.5
thomas cook,264,"5,066",5.21%,6.2
ceny emmy 2019,220,"1,263",17.42%,4.4
svatý václav,216,"9,721",2.22%,8.2
neckermann,204,"3,060",6.67%,2.9
liberec puma evakuace,202,"1,701",11.88%,1.0
puma v liberci,195,604,32.28%,2.9
www.irozhlas,186,223,83.41%,1.0
liberec,181,"3,288",5.50%,4.0
letecka puma liberec,180,433,41.57%,1.0
metro,174,"2,894",6.01%,4.9
neckermann krach,168,"1,416",11.86%,4.1
primark praha,158,"1,691",9.34%,5.4
proslov greta,157,435,36.09%,1.8
opilý rozhodčí,152,"3,794",4.01%,4.3
letecká puma liberec,151,322,46.89%,1.0
liberec bomba,151,883,17.10%,4.0
smartwings,150,"5,204",2.88%,3.9
izurnal,143,165,86.67%,1.0
rozdělení svobodou,141,176,80.11%,1.0
abolice,137,"9,054",1.51%,4.1
greta proslov,131,446,29.37%,2.6
bomba liberec,129,923,13.98%,5.0
brexit datum,127,374,33.96%,1.7
liberec evakuace puma,124,"1,457",8.51%,1.1
václav nebeský,124,931,13.32%,1.5
bitcoin,119,"1,862",6.39%,2.4
vigantol,119,"1,794",6.63%,6.2
český rozhlas,116,"8,733",1.33%,4.0
letecká puma,114,774,14.73%,1.1
mitotam,114,899,12.68%,4.2
move flex,113,234,48.29%,1.6
výstraha silný vítr,113,378,29.89%,1.0
autonehoda mustang,112,171,65.50%,1.1
bomba v liberci,110,905,12.15%,5.1
thomas cook cestovní kancelář,110,"1,445",7.61%,4.4
continental,108,"1,363",7.92%,2.3
zprávy z domova,106,630,16.83%,2.5
move&flex,98,190,51.58%,4.5
zprávy,96,730,13.15%,18
bioparox,95,441,21.54%,5.1
petr kotlár,93,439,21.18%,3.2
florenc,92,556,16.55%,2.6
opily rozhodci,92,"1,023",8.99%,3.8
emmy 2019,88,"1,489",5.91%,14
vinohradska 12,86,114,75.44%,1.7
eet pro řemeslníky,85,"1,221",6.96%,2.5
kevin dahlgren,85,"1,143",7.44%,6.2
tony mendez,83,283,29.33%,2.4
nejvyšší budova světa,81,452,17.92%,1.1
první republika 4,81,198,40.91%,1.0
volební průzkum,81,223,36.32%,1.2
slunovrat,78,"3,204",2.43%,7.3
zalando kamenný obchod,78,"1,431",5.45%,4.4
zadeh,77,366,21.04%,3.2
elvis presley,76,"3,151",2.41%,5.4
evakuace v liberci,76,220,34.55%,1.3
oktoberfest,75,"2,533",2.96%,3.2
volby rakousko,75,506,14.82%,3.6
nejoblíbenější jména,74,217,34.10%,1.5
praha metro,74,"1,264",5.85%,6.6
metro florenc,73,199,36.68%,8.6
vzácné mince,71,263,27.00%,1.3
krize 2019,68,302,22.52%,2.3
puma na liberecku,68,539,12.62%,2.2
rozděleni svobodou dotazník,68,99,68.69%,1.0
10 kč 1993,67,193,34.72%,1.2
ford mustang spindleruv mlyn,67,"1,255",5.34%,1.1
rakousko volby,67,317,21.14%,2.7
daň z nemovitosti,66,528,12.50%,1.2
hondrostrong cream recenze,66,115,57.39%,1.0
plzeň – sparta,65,"1,670",3.89%,2.9
ck neckermann thomas cook,64,"1,395",4.59%,1.3
desetikoruna 1993,64,225,28.44%,1.7
irská pojistka,64,258,24.81%,1.2
james hetfield,64,"1,388",4.61%,5.4
krach cestovní kanceláře,63,789,7.98%,4.0
vaclav nebesky,63,312,20.19%,2.1
metallica james hetfield,61,768,7.94%,2.3
ceny emmy,60,258,23.26%,2.3
fireflies,60,425,14.12%,6.8
greta projev,59,"1,362",4.33%,6.3
ondřej sekora rugby,59,105,56.19%,1.0
,"55,277","1,263,996",4.37%,6.6

Week Index,Clicks
0000,"46,963"
0001,"8,314"
,"55,277"
