# ----------------------------------------
# iRozhlas
# Queries
# 20190826-20190901
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
amazonský prales,"1,046","4,946",21.15%,2.5
desetikoruna 1993,727,"1,383",52.57%,1.1
rozhlas,652,"3,014",21.63%,3.1
nehoda sudomerice,425,"1,462",29.07%,1.8
dopravní nehoda sudoměřice,409,"2,745",14.90%,1.1
hurikan dorian,358,"3,770",9.50%,6.3
asteroid,351,"4,825",7.27%,2.1
nehoda hodonín,350,"2,498",14.01%,2.7
vinohradská 12,348,453,76.82%,2.0
jiří černohorský,332,994,33.40%,1.9
smartwings,295,"6,904",4.27%,4.0
dopravní nehoda hodonínsko,277,"3,119",8.88%,2.0
10 kč 1993,264,595,44.37%,1.2
požár amazonie,251,554,45.31%,1.4
asteroid 2019,232,746,31.10%,1.3
miami hurikány,230,"2,819",8.16%,1.8
i rozhlas,229,243,94.24%,1.0
maršál koněv,203,"5,815",3.49%,3.8
blesk v tatrách,196,427,45.90%,2.1
amazonský prales požár,193,607,31.80%,1.4
vigantol,177,"1,453",12.18%,5.4
požár v amazonii,174,399,43.61%,1.6
pozar amazonie,162,433,37.41%,1.4
babiš,159,"3,164",5.03%,6.0
krpálek online,158,326,48.47%,1.0
vzácné mince,156,433,36.03%,1.2
amazonie,142,"1,278",11.11%,3.7
judo tokyo 2019,137,494,27.73%,1.3
krpalek ms 2019,135,796,16.96%,1.3
nehoda radostín,134,358,37.43%,1.1
hurikán dorian,133,"1,552",8.57%,6.7
počasí,131,"9,035",1.45%,2.9
stromboli erupce,129,271,47.60%,1.1
brexit datum,127,295,43.05%,1.6
nehoda sudoměřice,127,530,23.96%,2.1
rodičovský příspěvek 2020,125,"1,943",6.43%,4.9
stromboli,125,"2,046",6.11%,2.2
amazonie pozar,123,236,52.12%,1.2
pozar v amazonii,123,261,47.13%,1.7
amazonsky prales,121,721,16.78%,3.6
zprávy z domova,121,755,16.03%,3.2
nehoda u hodonína,120,566,21.20%,3.3
nehoda na hodonínsku,119,"1,657",7.18%,5.2
hozier,115,"1,309",8.79%,5.8
izurnal,113,141,80.14%,1.0
brexit,110,"3,055",3.60%,8.4
průměrná mzda,110,786,13.99%,2.9
severodvinsk,105,"1,598",6.57%,3.3
počasí září 2019,104,659,15.78%,5.5
taylor swift,104,"1,635",6.36%,5.5
průměrná mzda 2019,103,433,23.79%,2.1
babis,102,"1,151",8.86%,5.3
koněv,101,"6,032",1.67%,7.6
vinohradska 12,101,145,69.66%,2.0
tatry blesk,100,646,15.48%,2.9
www.irozhlas,100,103,97.09%,1.0
hurikan na floride,98,395,24.81%,2.8
ms judo 2019,98,"1,236",7.93%,4.3
nehoda u sudoměřic,97,"1,700",5.71%,6.0
g7,94,"2,483",3.79%,4.9
nejoblíbenější jména,94,246,38.21%,1.0
čapí hnízdo,92,"1,968",4.67%,5.0
sudoměřice nehoda,91,259,35.14%,1.3
ms veslování 2019,89,329,27.05%,2.6
sudomerice nehoda,88,301,29.24%,2.0
soupiska usa ms 2019 basketbal,87,240,36.25%,2.9
sudoměřice,86,608,14.14%,2.6
nehoda radostin,85,195,43.59%,1.2
krpalek finale,83,681,12.19%,1.6
první republika 4,83,196,42.35%,1.0
dopravní nehoda hodonín,82,230,35.65%,1.5
osvobození prahy,82,307,26.71%,1.7
judo online,81,509,15.91%,5.5
elektronické cigarety,80,"1,335",5.99%,1.3
spalničky,80,"4,689",1.71%,6.1
desetikoruna z roku 1993,79,150,52.67%,1.1
la manche,79,"1,841",4.29%,2.2
zprávy,79,"1,754",4.50%,13
nehoda hodonínsko,78,343,22.74%,2.4
blake schilb,77,884,8.71%,4.0
ms basketbal 2019 soupisky,77,481,16.01%,5.9
neštěstí v tatrách,77,150,51.33%,1.8
amazonsky prales pozar,76,221,34.39%,1.1
ministr kultury,72,663,10.86%,2.5
rusko vybuch,71,"1,488",4.77%,6.4
nehoda u radostina,70,168,41.67%,1.4
anthoine hubert nehoda,69,232,29.74%,1.0
ekonomika,69,"1,190",5.80%,6.0
podcast vinohradská 12,68,106,64.15%,1.0
silné bouřky,68,"6,941",0.98%,6.7
jaroslav šaroch,67,976,6.86%,1.2
10 kc 1993,66,121,54.55%,1.3
irská pojistka,66,369,17.89%,4.3
jiri cernohorsky,66,200,33.00%,3.1
desetikoruna 2000,65,204,31.86%,1.4
nehoda formule 2,65,124,52.42%,1.0
summit g7,65,314,20.70%,2.3
titanic,65,"3,665",1.77%,6.1
ms basketbal,64,"3,311",1.93%,7.2
desetikoruna,63,299,21.07%,1.7
,"58,164","1,578,231",3.69%,6.2

Week Index,Clicks
0000,"49,998"
0001,"8,166"
,"58,164"
