# ----------------------------------------
# iRozhlas
# Queries
# 20190715-20190721
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
zatmění měsíce,754,"11,383",6.62%,5.0
rozhlas,608,"2,867",21.21%,3.3
zatmění měsíce 2019,606,"5,754",10.53%,3.4
částečné zatmění měsíce,599,"4,368",13.71%,3.3
the cure,548,"5,063",10.82%,5.0
face app,533,"4,384",12.16%,3.9
videomapping žižkovská věž,437,"2,063",21.18%,4.1
perseidy 2019,422,"1,640",25.73%,2.7
masters of rock,343,"2,574",13.33%,3.1
apollo 11 přistání na měsíci,321,"17,854",1.80%,1.6
neil armstrong,294,"5,570",5.28%,2.6
jaroslav skalický,261,605,43.14%,2.2
faceapp,258,"9,740",2.65%,7.4
požár praha,245,"1,431",17.12%,1.9
jaroslav hanák,239,"1,686",14.18%,2.2
vigantol,203,"1,777",11.42%,5.8
nehoda černožice,199,682,29.18%,1.2
i rozhlas,198,212,93.40%,1.0
marek prchal,198,"1,755",11.28%,2.7
zprávy z domova,175,793,22.07%,1.7
the cure ostrava,157,937,16.76%,4.8
www.irozhlas,152,163,93.25%,1.0
zatmění měsíce dnes,152,"1,041",14.60%,2.3
zprávy,146,"2,042",7.15%,9.7
karel gott,138,"10,337",1.34%,10
pisen pro karla gotta k narozeninam,136,"1,365",9.96%,4.3
úplné zatmění měsíce,129,"4,021",3.21%,5.4
desetikoruna z roku 1993,125,286,43.71%,1.1
izurnal,124,147,84.35%,1.0
vinohradská 12,124,178,69.66%,2.0
požár tursko,123,"2,102",5.85%,2.9
masters of rock vizovice 2019,117,794,14.74%,4.4
fireflies,116,540,21.48%,2.6
milouš jakeš projev červený hrádek,113,981,11.52%,1.0
miloš jakeš,110,"2,734",4.02%,2.6
průměrná mzda 2019,110,494,22.27%,2.3
radim passer,109,"10,264",1.06%,8.5
pozar tursko,106,651,16.28%,2.9
vzácné mince,105,260,40.38%,1.0
zatmeni mesice,105,"1,584",6.63%,4.9
castecne zatmeni mesice,100,404,24.75%,1.4
zatmeni mesice cervenec 2019,98,"1,098",8.93%,3.1
zatmeni mesice live,97,207,46.86%,2.3
igors rausis,96,853,11.25%,3.8
nehoda na přejezdu,92,565,16.28%,2.3
posprejovany karluv most,90,364,24.73%,2.9
brexit,85,"1,059",8.03%,6.0
černožice,84,556,15.11%,2.4
černožice nehoda,83,331,25.08%,1.7
puma na vyškovsku,81,522,15.52%,1.8
masters of rock 2019,79,520,15.19%,2.6
žižkovská věž videomapping,79,447,17.67%,4.1
pozar praha,78,444,17.57%,1.7
nehoda cernozice,74,375,19.73%,2.0
rozhlas zprávy,74,78,94.87%,1.0
colours of ostrava 2020,72,779,9.24%,4.7
karel gott 80,72,"1,396",5.16%,4.0
žižkovská věž apollo 11,72,"1,034",6.96%,4.6
projev miloše jakeše,71,366,19.40%,1.1
silné bouřky,70,"2,364",2.96%,3.2
tursko pozar,70,414,16.91%,2.3
zatmění slunce 2019,69,554,12.45%,2.4
babiš,68,"1,920",3.54%,8.3
karel gott bankovka,68,"2,017",3.37%,5.9
vzacna 10 koruna,66,124,53.23%,1.1
přistání na měsíci,65,"1,633",3.98%,3.1
tursko požár,65,905,7.18%,3.6
rath,64,297,21.55%,3.1
zatmění,64,556,11.51%,2.7
žižkovská věž,64,"1,102",5.81%,8.5
martin shenar,63,"2,574",2.45%,5.7
the cure colours of ostrava,63,450,14.00%,4.8
zatmění měsíce červenec 2019,63,"2,653",2.37%,6.4
zatmeni mesice dnes,62,336,18.45%,1.9
káhira,61,997,6.12%,4.7
řecko zemětřesení,61,"2,384",2.56%,3.8
castecne zatmeni mesice dnes,60,151,39.74%,1.5
rodičovský příspěvek,60,"1,921",3.12%,7.8
vzácné desetikoruny,60,112,53.57%,1.0
cure,59,426,13.85%,3.2
cure colours of ostrava,59,295,20.00%,4.1
průměrná mzda,59,777,7.59%,3.3
rodičovský příspěvek 2020,59,752,7.85%,5.2
zatmění měsíce 2019 čas,59,266,22.18%,1.3
i rozhlas cz,58,75,77.33%,1.0
bankovky karel gott,57,"1,323",4.31%,3.0
český rozhlas,57,"7,177",0.79%,4.4
volební průzkum,57,152,37.50%,1.3
boeing 737 max,56,594,9.43%,3.7
platon finance recenze,56,70,80.00%,4.9
uplnek cervenec 2019,56,905,6.19%,2.2
volby 2020,56,179,31.28%,1.5
žralok chorvatsko,56,667,8.40%,4.1
jakeš,55,"1,058",5.20%,2.5
i.rozhlas.cz,54,60,90.00%,2.0
požár v praze,54,184,29.35%,2.3
zatmeni,54,390,13.85%,3.2
bankovka karel gott,53,"3,188",1.66%,7.0
jiří burian,53,"1,760",3.01%,5.6
platon finance,53,100,53.00%,26
,"49,203","1,258,992",3.91%,6.9

Week Index,Clicks
0000,"43,285"
0001,"5,918"
,"49,203"
