# ----------------------------------------
# iRozhlas
# Queries
# 20190311-20190317
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
volby slovensko,961,"8,310",11.56%,5.3
rozhlas,775,"3,265",23.74%,3.3
zprávy,737,"15,958",4.62%,5.0
slovensko prezidentské volby,612,"6,167",9.92%,5.5
nový zéland,597,"6,425",9.29%,4.0
christchurch,587,"4,214",13.93%,1.1
brexit,537,"6,810",7.89%,4.9
nejvyšší strom v čr,493,"1,545",31.91%,1.0
prezidentské volby slovensko,478,"5,500",8.69%,5.8
skleněný pokoj,384,"10,979",3.50%,2.8
charlie whiting,297,"2,041",14.55%,4.3
skleněný pokoj recenze,248,816,30.39%,1.1
volby na slovensku,237,905,26.19%,3.3
boeing 737 max 8,226,"4,128",5.47%,4.4
i rozhlas,219,247,88.66%,1.0
vysledky voleb slovensko,212,526,40.30%,1.3
čaputová,197,"9,360",2.10%,5.5
volby slovensko vysledky,191,928,20.58%,2.1
fridays for future,175,"1,676",10.44%,1.0
zuzana čaputová,175,"5,976",2.93%,4.8
volby slovensko 2019 online,165,492,33.54%,1.2
izurnal,155,177,87.57%,1.0
slovenske volby,155,914,16.96%,5.6
harabin,154,"2,247",6.85%,4.4
slovensko volby,148,"1,567",9.44%,4.7
zkáza dejvického divadla,143,"11,861",1.21%,4.3
novy zeland,134,"1,193",11.23%,4.1
pád letadla,133,"1,961",6.78%,2.7
slovenské volby,133,"1,423",9.35%,5.7
volby slovensko 2019,128,989,12.94%,4.7
slovenské prezidentské volby,127,"1,896",6.70%,6.3
volby na slovensku 2019,124,937,13.23%,4.4
lamborghini,123,"1,768",6.96%,1.5
vila tugendhat,119,"4,056",2.93%,3.2
strelba novy zeland,117,918,12.75%,5.1
vaclav klaus mladsi,116,"4,050",2.86%,6.1
papežovo lamborghini,112,493,22.72%,3.9
novy zeland utok,108,"4,558",2.37%,7.7
slovenske volby prezidenta,108,"1,361",7.94%,5.9
františek vrábel,107,482,22.20%,2.5
volby 2019,107,"3,569",3.00%,5.3
zpravy,107,"3,904",2.74%,8.0
papezovo lamborghini,106,218,48.62%,1.4
slovenske volby vysledky,105,348,30.17%,1.6
nový zéland střelba,103,"1,248",8.25%,4.6
vysledky voleb slovensko 2019,103,316,32.59%,1.1
ivan langer,102,723,14.11%,2.1
nejčastější jména 2018,102,206,49.51%,1.5
faltýnek kapsch,97,342,28.36%,1.7
friday for future,93,302,30.79%,1.4
štefan harabin,93,"2,168",4.29%,2.5
marián kočner,92,"2,484",3.70%,3.4
tvrdý brexit,92,281,32.74%,2.0
zprávy z domova,92,"1,284",7.17%,4.9
slovensko volby vysledky,91,365,24.93%,2.3
volby slovensko online,91,292,31.16%,1.4
formule 1,89,"1,020",8.73%,2.0
kelly catlinová,89,593,15.01%,4.5
bioparox,88,462,19.05%,5.6
hlasování o brexitu,88,187,47.06%,1.2
jiří švachula,87,726,11.98%,2.3
nejvyšší strom čr,87,276,31.52%,1.0
volby prezidenta slovensko 2019,86,960,8.96%,6.0
ms basketbal 2019,85,422,20.14%,2.1
výsledky voleb slovensko,84,736,11.41%,3.5
fantastická zvířata,82,"3,349",2.45%,4.3
výsledky voleb slovensko 2019,81,414,19.57%,1.2
lamborghini papež,80,330,24.24%,3.4
fireflies,79,429,18.41%,2.6
jackson maine,78,722,10.80%,2.2
jiří faltýnek,78,"1,276",6.11%,5.8
první jarní den 2019,77,639,12.05%,1.0
slovensko volby online,77,298,25.84%,1.6
papež lamborghini,75,245,30.61%,3.0
slovensko prezidentské volby online,74,178,41.57%,1.1
petr liškutin,73,625,11.68%,2.9
teroristické útoky,73,850,8.59%,4.1
novy zeland strelba,72,547,13.16%,5.3
očkování dospělých proti spalničkám,72,217,33.18%,2.5
prezidentské volby slovensko 2019,72,878,8.20%,4.7
volby sk 2019,72,271,26.57%,2.3
nejoblíbenější jména,70,136,51.47%,1.0
nový zeland,70,495,14.14%,3.4
prezidentské volby slovensko vysledky,70,230,30.43%,1.6
novoslověnština,68,483,14.08%,3.5
kauza metanol,66,172,38.37%,1.7
captain marvel,65,"10,415",0.62%,3.3
venezuela,65,843,7.71%,3.1
skleneny pokoj recenze,64,170,37.65%,1.6
breivik,63,"3,661",1.72%,5.7
nejvyšší budova světa,63,401,15.71%,1.1
český rozhlas,62,"8,278",0.75%,4.8
faltýnek,62,"1,286",4.82%,6.8
slavia,62,"1,020",6.08%,2.2
slovenský prezident,62,750,8.27%,4.6
vzácné mince,60,167,35.93%,1.0
maroš šefčovič,59,"1,906",3.10%,4.5
ponožkový den 2019,58,427,13.58%,4.9
skleneny pokoj,58,"1,297",4.47%,3.2
prezidentské volby,56,"1,021",5.48%,3.8
,"48,917","1,330,615",3.68%,5.9

Week Index,Clicks
0000,"41,158"
0001,"7,759"
,"48,917"
