# ----------------------------------------
# iRozhlas
# Queries
# 20191223-20191227
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
princezna a půl království,"1,777","41,114",4.32%,3.5
irozhlas,"1,668","1,814",91.95%,1.0
mandrage,"1,090","4,779",22.81%,4.7
zpěvák mandrage víťa starý,784,"5,668",13.83%,1.6
irozhlas cz,471,489,96.32%,1.0
irozhlas.cz,311,338,92.01%,1.0
okd,252,"2,049",12.30%,3.2
zimní slunovrat,249,"2,124",11.72%,2.5
obchody o vanocich,190,"1,677",11.33%,1.3
okd hacker,157,443,35.44%,1.1
rozhlas,138,"1,303",10.59%,3.4
štědrovečerní pohádka 2019,137,686,19.97%,2.2
princezna a pul kralovstvi,136,"3,596",3.78%,3.6
otevírací doba vánoce,131,"4,495",2.91%,4.9
kdy nema viset pradlo,128,339,37.76%,3.1
hackerský útok okd,121,"2,762",4.38%,1.8
princezna a půl království recenze,118,708,16.67%,3.7
vánoční svátky obchody,117,"3,564",3.28%,1.1
bramborový salát,110,"5,644",1.95%,7.7
csfd,101,"70,621",0.14%,3.0
pohádka půl království,99,"4,986",1.99%,4.8
kdy nesmi viset pradlo,95,181,52.49%,3.4
pohádka princezna a půl království,91,"2,049",4.44%,4.3
filmy 2019,82,"12,532",0.65%,6.5
slunovrat zimní 2019,78,344,22.67%,1.2
vevio obchod recenze,75,184,40.76%,1.0
otevírací doba svátky,73,889,8.21%,5.4
štědrovečerní pohádka,72,802,8.98%,3.6
josef chodounský,69,370,18.65%,4.2
kdy nesmí viset prádlo,69,612,11.27%,7.8
recenze princezna a pul kralovstvi,69,203,33.99%,2.2
i rozhlas,65,74,87.84%,1.0
vinohradská 12,62,77,80.52%,1.0
kdy se nesmi veset pradlo,58,117,49.57%,4.0
nehoda cakovice,54,95,56.84%,1.1
oteviraci doba na stedry den,53,"2,509",2.11%,5.7
2. svátek vánoční,52,389,13.37%,4.5
egonova lhota,52,120,43.33%,1.0
nejlepší filmy 2019,52,"1,647",3.16%,4.7
vevio,51,861,5.92%,3.8
nemocnice benešov,50,202,24.75%,2.8
pohadka na stedry vecer,50,199,25.13%,1.2
vít starý,50,"1,534",3.26%,6.7
otevrene obchody vanoce,49,"1,649",2.97%,2.5
záplavy itálie,49,564,8.69%,1.0
primark praha,48,373,12.87%,2.2
honza a půl království,47,266,17.67%,2.4
nejdelší noc,47,115,40.87%,1.8
rick dalton,47,292,16.10%,9.6
černobyl,46,"1,183",3.89%,4.5
bramborový salát s majonézou,45,899,5.01%,7.2
brexit,44,342,12.87%,5.6
emporia šperky,43,271,15.87%,2.5
druhý svátek vánoční,42,311,13.50%,3.4
izurnal,42,49,85.71%,1.0
jak dlouho vydrží bramborový salát,40,266,15.04%,3.5
www.irozhlas,39,40,97.50%,1.0
nehoda čakovice,38,55,69.09%,1.2
tradice na stepana,38,54,70.37%,1.0
trump,37,482,7.68%,4.9
kdy se nema veset pradlo,36,63,57.14%,2.0
pohadka stedry vecer 2019,35,119,29.41%,1.3
slunovrat,35,933,3.75%,5.7
boží hod,34,"1,542",2.20%,2.9
okd virus,34,142,23.94%,3.9
požár plzeň,34,73,46.58%,1.5
střelba v brně,34,101,33.66%,1.1
vzácné mince,33,103,32.04%,1.0
kandidáti na prezidenta,32,100,32.00%,2.6
kdy nemá viset prádlo na vánoce,32,114,28.07%,5.0
zvyky na stepana,32,49,65.31%,2.0
bramborový salát recept,31,"1,690",1.83%,8.2
čertí brko recenze,31,836,3.71%,9.8
vit stary mandrage,31,789,3.93%,6.9
co se nesmí dělat na boží hod,30,124,24.19%,3.0
pul kralovstvi,29,502,5.78%,4.2
mandrage konec,28,139,20.14%,1.5
vevio recenze,28,98,28.57%,2.2
boží hod vánoční zvyky tradice,27,230,11.74%,4.7
bramborovy salat,27,"1,238",2.18%,10
obchody oteviraci doba vanoce,27,"2,325",1.16%,6.2
vit stary,27,634,4.26%,7.4
okd utok,26,424,6.13%,1.6
princezna a půl království online,26,"2,028",1.28%,4.6
český rozhlas,25,"3,378",0.74%,4.5
co nedělat na štěpána,25,44,56.82%,2.0
rock heart,25,88,28.41%,11
tři oříšky pro popelku,24,"5,761",0.42%,13
zprávy,24,281,8.54%,18
benešov nemocnice,23,48,47.92%,3.3
bioparox,23,155,14.84%,5.9
ceausescu poprava,23,256,8.98%,3.6
vita stary,23,501,4.59%,5.9
lukáš vondráček,22,161,13.66%,5.9
okd karviná,22,51,43.14%,4.6
tradice na boží hod,22,42,52.38%,2.7
mamdrage,21,64,32.81%,5.2
kdy nemá viset prádlo,20,80,25.00%,5.8
novoroční ohňostroj,20,205,9.76%,6.8
zpěvák mandrage,20,123,16.26%,2.5
,"23,459","662,129",3.54%,6.7

Day Index,Clicks
12/23/19,"12,993"
12/24/19,"13,018"
12/25/19,"16,105"
12/26/19,0
12/27/19,0
,"42,116"
