# ----------------------------------------
# iRozhlas
# Queries
# 20191209-20191215
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
strelba v ostrave,"3,337","27,610",12.09%,5.0
střelba ostrava,"2,184","20,115",10.86%,4.7
ostrava,"1,516","14,433",10.50%,4.6
střelba v ostravě,"1,516","13,168",11.51%,4.4
vevio obchod recenze,"1,178","3,805",30.96%,1.7
vevio,"1,108","10,146",10.92%,1.4
prešov,929,"6,001",15.48%,3.0
ostrava nemocnice,806,"10,616",7.59%,6.1
presov vybuch,800,"4,951",16.16%,4.3
rozhlas,733,"4,165",17.60%,3.1
ostrava strelba,726,"9,347",7.77%,5.8
zprávy ostrava,620,"2,091",29.65%,2.5
ostrava střelba,596,"5,177",11.51%,4.1
vybuch v presove,551,"3,021",18.24%,4.4
zprávy,551,"4,006",13.75%,5.5
volby strakonice 2019,522,"1,999",26.11%,1.4
prešov výbuch,520,"2,328",22.34%,3.2
aleš zygula,490,"10,217",4.80%,2.7
presov,489,"3,573",13.69%,3.8
strelba ostrava,475,"4,634",10.25%,5.2
vevio recenze,475,"1,386",34.27%,1.9
i rozhlas,470,537,87.52%,1.0
oprava barrandovského mostu,434,963,45.07%,1.9
vinohradská 12,386,491,78.62%,1.0
vybuch plynu v presove,385,"1,962",19.62%,4.6
sopka novy zeland,363,"1,898",19.13%,2.0
volby strakonice,356,"2,712",13.13%,3.0
volby anglie,354,"3,306",10.71%,5.7
nemocnice benešov,349,"3,165",11.03%,4.5
vybuch presov,337,"2,065",16.32%,3.9
fakultní nemocnice ostrava,325,"7,745",4.20%,11
brexit,303,"2,748",11.03%,3.8
střelba v ostravské nemocnici,294,"5,259",5.59%,7.0
výbuch plynu,294,902,32.59%,1.4
ctirad v,287,"1,851",15.51%,4.2
ostrava zprávy,253,902,28.05%,2.6
fakultní nemocnice ostrava střelba,235,"2,530",9.29%,4.7
ostrava nemocnice strelba,234,"3,798",6.16%,6.6
ostrava strelba nemocnice,231,"3,415",6.76%,7.1
presov vybuch plynu,224,977,22.93%,4.1
volby v anglii 2019,220,960,22.92%,2.3
volby strakonice 2019 vysledky,217,593,36.59%,1.2
střelba fakultní nemocnice ostrava,205,"2,340",8.76%,4.5
csfd,196,"116,549",0.17%,2.3
zprávy z domova,192,830,23.13%,3.3
vigantol,191,"1,651",11.57%,5.4
výbuch v prešove,191,825,23.15%,3.3
volby uk,189,897,21.07%,2.8
izurnal,181,201,90.05%,1.0
střelba ostrava fakultní nemocnice,181,"2,390",7.57%,4.7
ostrava fakultní nemocnice střelba,180,"2,170",8.29%,4.6
výbuch plynu v prešově,178,496,35.89%,1.3
výbuch v prešově,178,727,24.48%,1.7
radiožurnál,168,"9,920",1.69%,5.4
ostrava oběti,167,597,27.97%,2.6
volby britanie,163,778,20.95%,2.6
vevio.cz recenze,161,470,34.26%,1.5
volby v uk,161,579,27.81%,2.9
strakonice volby,156,"1,057",14.76%,2.6
volby británie,155,719,21.56%,2.9
nemocnice ostrava,149,"1,671",8.92%,6.7
primark praha,146,"1,556",9.38%,2.7
rick dalton,145,887,16.35%,7.0
strakonice volby 2019,144,507,28.40%,1.3
josef mareš,143,"1,479",9.67%,5.8
vinohradska 12,143,185,77.30%,1.1
strelba v ostravske nemocnici,139,"2,593",5.36%,7.3
výbuch plynu v prešove,136,807,16.85%,6.3
volební průzkum,135,242,55.79%,1.2
benešov nemocnice,134,897,14.94%,4.7
strileni v ostrave,134,543,24.68%,3.3
manželské etudy nová generace,133,"10,519",1.26%,10
strelba v nemocnici,132,"1,108",11.91%,5.6
nový zéland výbuch sopky,131,752,17.42%,1.2
prešov výbuch plynu,127,469,27.08%,2.5
ales zygula,126,"2,099",6.00%,2.9
ježíškova vnoučata,126,"9,421",1.34%,2.8
volby velká británie,126,380,33.16%,1.9
jak si nepodělat život,123,"13,122",0.94%,7.3
komunální volby strakonice,123,"1,860",6.61%,1.0
vysledky voleb strakonice 2019,123,373,32.98%,1.0
výbuch sopky,121,"1,097",11.03%,4.4
white island,119,"1,404",8.48%,1.6
výbuch prešov,117,536,21.83%,2.9
vybuch plynu presov,116,467,24.84%,4.0
výbuch plynové elektrárny v číně,115,462,24.89%,1.8
benešovská nemocnice,110,"1,412",7.79%,7.7
fakultní nemocnice,110,980,11.22%,5.0
obeti strelby ostrava,110,"1,240",8.87%,4.4
vzácné mince,107,297,36.03%,1.0
nový zéland,104,"2,453",4.24%,1.6
náměšť na hané,103,334,30.84%,3.4
český rozhlas,102,"9,632",1.06%,5.1
novy zeland sopka,102,728,14.01%,3.2
vevio cz,102,870,11.72%,2.7
vysledky voleb strakonice,102,272,37.50%,1.1
i rozhlas cz,101,124,81.45%,1.0
šámalova brno,101,960,10.52%,2.0
www.irozhlas,101,106,95.28%,1.0
ester ledecká,100,"4,691",2.13%,4.7
,"86,522","2,054,328",4.21%,6.0

Week Index,Clicks
0000,"78,349"
0001,"8,173"
,"86,522"
