# ----------------------------------------
# iRozhlas
# Queries
# 20190722-20190728
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
asteroid,"1,438","5,361",26.82%,1.1
václav kotek,981,"18,184",5.39%,4.3
perseidy 2019,668,"3,680",18.15%,3.3
rozhlas,568,"3,068",18.51%,3.2
kotek cimrman,443,"2,456",18.04%,2.8
vaclav kotek,314,"4,875",6.44%,4.4
tour de france,304,"8,332",3.65%,3.0
kotek,250,"3,033",8.24%,5.8
marvel filmy,230,"2,743",8.38%,1.9
boris johnson,215,"6,137",3.50%,3.5
brexit,201,"1,665",12.07%,3.4
i rozhlas,197,228,86.40%,1.0
rusko lgbt,186,388,47.94%,3.7
flyboard,176,"1,273",13.83%,1.4
černobyl,173,"4,180",4.14%,3.2
vigantol,171,"1,618",10.57%,6.4
volby ukrajina,162,343,47.23%,1.6
pozar na sibiri,161,503,32.01%,1.6
www.irozhlas,153,181,84.53%,1.0
požár na sibiři,152,746,20.38%,2.0
zprávy z domova,148,652,22.70%,2.2
youtube,141,"141,134",0.10%,4.2
izurnal,140,160,87.50%,1.0
zprávy,134,"1,553",8.63%,10
požár sibiř,130,280,46.43%,1.2
sibiř,129,814,15.85%,1.6
chernobyl russian version,123,236,52.12%,1.5
hracholusky,122,"1,727",7.06%,3.7
vinohradská 12,122,180,67.78%,2.0
rodičovský příspěvek,114,"2,225",5.12%,5.8
d1 uzavírky,111,271,40.96%,1.1
desetikoruna z roku 1993,111,255,43.53%,1.4
rusko,110,"1,816",6.06%,4.8
sibiř požár,110,282,39.01%,1.2
lgbt rusko,109,344,31.69%,3.8
sibir pozar,108,276,39.13%,1.1
jakub kalenský,104,445,23.37%,1.8
ac sparta praha,103,"1,280",8.05%,3.0
jaroslav skalický,103,401,25.69%,3.0
vzácné mince,103,275,37.45%,1.0
fireflies,101,587,17.21%,2.8
hong kong demonstrace,100,207,48.31%,1.2
uzavírky d1,100,266,37.59%,1.1
uzavírka d1,98,204,48.04%,1.1
marvel,97,"1,630",5.95%,3.6
sparta,96,"1,791",5.36%,4.1
věra sosnarová,95,622,15.27%,3.4
václav kotek divadlo járy cimrmana,92,"1,312",7.01%,3.4
hracholusky utonutí,85,141,60.28%,1.9
požár v rusku,85,185,45.95%,2.2
tour de france kroupy,85,137,62.04%,1.4
ukrajina volby,85,236,36.02%,2.5
průměrná mzda 2019,84,417,20.14%,2.3
pozar sibir,82,203,40.39%,1.3
rodičovský příspěvek 2020,82,860,9.53%,5.0
2019 ok,80,323,24.77%,10
asteroid 2019,79,249,31.73%,2.4
václav kotek herec,79,"1,325",5.96%,3.8
český rozhlas,78,"7,177",1.09%,4.2
princezna zakletá v čase,78,304,25.66%,3.4
d1,75,846,8.87%,3.5
filip salač,75,313,23.96%,2.6
rutger hauer,75,"4,075",1.84%,7.5
vzácné desetikoruny,74,109,67.89%,1.0
eva odstrčilová,73,186,39.25%,7.3
ústavní žaloba na prezidenta,73,640,11.41%,3.8
neil armstrong,71,"1,614",4.40%,5.4
egypt bezpečnost,70,228,30.70%,2.5
klára kolouchová k2,64,728,8.79%,5.4
tour de france 2019,64,664,9.64%,1.9
nejoblíbenější jména,63,160,39.38%,1.0
radkin honzák,63,"1,775",3.55%,7.2
i.rozhlas.cz,62,65,95.38%,2.0
sosnarová,62,282,21.99%,2.4
boeing 737 max,61,370,16.49%,2.6
puma na vyškovsku,61,359,16.99%,1.6
kevin spacey,60,"1,038",5.78%,4.6
rozhlas zprávy,60,66,90.91%,1.0
move&flex,59,125,47.20%,5.9
sucho,59,600,9.83%,4.1
eet,58,845,6.86%,4.6
anita grmelová,57,196,29.08%,1.5
bioparox,57,259,22.01%,6.4
františek vrábel,57,377,15.12%,1.0
volby na ukrajině,57,116,49.14%,1.3
cernobyl,54,"1,066",5.07%,3.6
flyboard air,54,343,15.74%,6.3
michelinská hvězda,54,293,18.43%,1.8
zprávy ze světa,54,"1,199",4.50%,5.4
brexit datum,53,144,36.81%,1.8
trabzonspor,53,757,7.00%,2.6
blade,52,"1,688",3.08%,4.4
dálnice d1,52,746,6.97%,4.1
zemrel kotek,52,148,35.14%,1.8
alois dubec,51,624,8.17%,2.6
benátská noc karel gott,51,"1,346",3.79%,1.1
tony martin,51,436,11.70%,4.3
unicredit,51,"8,545",0.60%,6.4
uzavirka d1,51,71,71.83%,1.1
benátská 2019,50,"3,504",1.43%,1.5
,"47,966","1,340,226",3.58%,6.5

Week Index,Clicks
0000,"40,830"
0001,"7,136"
,"47,966"
