# ----------------------------------------
# iRozhlas
# Queries
# 20191125-20191201
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
vevio,"1,117","9,556",11.69%,3.1
manželské etudy nová generace,865,"10,771",8.03%,4.5
vevio obchod recenze,787,"2,556",30.79%,3.4
hong kong volby,648,"2,485",26.08%,1.0
adam ondra,517,"4,683",11.04%,4.9
rozhlas,493,"3,383",14.57%,2.5
vevio recenze,474,"1,151",41.18%,1.3
vinohradská 12,402,535,75.14%,1.0
kandidáti na prezidenta,312,535,58.32%,1.2
i rozhlas,294,330,89.09%,1.0
primark praha,280,"1,561",17.94%,3.3
vevio.cz recenze,270,875,30.86%,3.8
vigantol,263,"1,968",13.36%,4.6
volby hong kong,247,501,49.30%,1.0
havarie vody patockova,235,654,35.93%,1.4
hong kong protesty,208,"1,025",20.29%,3.6
petra procházková,203,"1,301",15.60%,2.3
csfd,199,"123,115",0.16%,2.7
zemětřesení albánie,180,"4,887",3.68%,5.0
volby v hongkongu,163,293,55.63%,1.2
vzácné mince,161,465,34.62%,1.0
drážďany krádež,154,"3,313",4.65%,2.6
jak si nepodělat život,149,"4,361",3.42%,4.6
adam ondra kvalifikace,147,404,36.39%,1.4
rick dalton,145,"1,202",12.06%,5.0
petra procházková sputnik,143,864,16.55%,1.4
vinohradska 12,143,186,76.88%,1.1
hong kong,140,"1,556",9.00%,1.9
petra procházková nový deník,135,380,35.53%,1.8
aktip,134,669,20.03%,4.2
loupež v drážďanech,134,733,18.28%,2.3
hongkong,131,"1,258",10.41%,1.9
miloš jakeš,130,"9,165",1.42%,5.7
havarie vody brevnov,129,375,34.40%,2.5
albánie zemětřesení,127,"1,348",9.42%,4.0
izurnal,127,145,87.59%,1.0
zprávy z domova,127,706,17.99%,3.7
loupež drážďany,125,822,15.21%,1.9
novotny vlasovci,125,743,16.82%,5.3
london bridge,124,"1,358",9.13%,6.1
manželské etudy,120,"1,512",7.94%,3.0
zprávy,118,"2,107",5.60%,11
novotný vlasovci,115,805,14.29%,5.4
až budou krávy lítat,111,"2,476",4.48%,3.9
platy učitelů,109,"1,293",8.43%,3.9
www.irozhlas cz,109,118,92.37%,1.0
ježíškova vnoučata 2019,108,"2,913",3.71%,4.8
osvobození prahy,107,382,28.01%,2.0
brevnov voda,105,191,54.97%,1.0
havárie vody břevnov,104,342,30.41%,2.4
vlastníci,104,"6,546",1.59%,8.8
bioparox,103,407,25.31%,5.3
loupez v drazdanech,103,422,24.41%,1.5
zemětřesení v albánii,100,"1,285",7.78%,5.3
beat saber,99,"4,131",2.40%,7.4
power factor saver,97,186,52.15%,1.5
dan přibáň,96,683,14.06%,3.1
kandidáti na prezidenta 2023,96,204,47.06%,1.6
kradez drazdany,96,740,12.97%,3.5
krádež v drážďanech,94,499,18.84%,1.7
electricity saving box,91,188,48.40%,2.5
sokolovská uhelná,91,377,24.14%,2.5
desetikoruna 1993,90,453,19.87%,2.2
loupez drazdany,89,583,15.27%,2.5
břevnov voda,88,152,57.89%,1.1
vzácné desetikoruny,87,156,55.77%,1.0
www.irozhlas,87,91,95.60%,1.0
havárie vody patočkova,86,298,28.86%,1.9
kradez v drazdanech,86,587,14.65%,2.3
marcel puvák,85,365,23.29%,4.1
vevio recenze obchodu,84,272,30.88%,2.3
petra prochazkova,83,371,22.37%,3.1
petra prochazkova sputnik,83,208,39.90%,2.1
volební průzkum,82,145,56.55%,1.2
black friday slevy,81,"5,860",1.38%,4.8
albánie,80,"3,042",2.63%,4.3
havárie vody,80,693,11.54%,3.1
procházková facka,80,342,23.39%,2.7
utok v londyne,80,516,15.50%,5.3
drazdany kradez,79,812,9.73%,3.6
10 kč 1993,78,193,40.41%,1.8
burleska,78,"1,311",5.95%,9.9
útok v londýně,77,197,39.09%,1.6
depeche mode film,76,452,16.81%,4.9
když draka bolí hlava recenze,76,622,12.22%,5.4
řeporyje,75,"3,997",1.88%,6.4
životní minimum 2020,75,473,15.86%,3.1
havárie vody praha 6,74,337,21.96%,3.4
albanie,73,"1,666",4.38%,4.0
adam ondra toulouse,72,624,11.54%,4.4
havárie vody praha,72,451,15.96%,3.9
voda brevnov,71,137,51.82%,1.3
le mans 66,70,"10,639",0.66%,8.9
vlastníci recenze,69,540,12.78%,5.3
krádež v německu,68,107,63.55%,1.2
desetikoruna 2000,67,168,39.88%,1.1
manzelske etudy,67,"1,186",5.65%,5.0
prochazkova facka,66,270,24.44%,3.3
zaručená mzda 2020,66,742,8.89%,6.3
černý kašel,64,"1,516",4.22%,8.3
,"56,028","1,514,754",3.70%,6.6

Week Index,Clicks
0000,"48,612"
0001,"7,416"
,"56,028"
