# ----------------------------------------
# iRozhlas
# Queries
# 20191021-20191027
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
jelení příkop,"1,155","3,822",30.22%,1.9
zeman zdravotní stav,706,"1,753",40.27%,2.9
nehoda liberec,643,"1,522",42.25%,1.2
brexit,405,"3,863",10.48%,5.4
jelení příkop praha,404,855,47.25%,1.2
rozhlas,331,"3,241",10.21%,3.6
conor mcgregor,311,"1,702",18.27%,1.7
primark praha,293,"2,569",11.41%,7.0
vinohradská 12,280,386,72.54%,1.0
nehoda mníšek u liberce,279,677,41.21%,1.1
i rozhlas,264,305,86.56%,1.0
jeleni prikop,235,823,28.55%,3.0
grospič,222,"1,969",11.27%,2.9
miloš zeman,187,"6,451",2.90%,3.8
nehoda na liberecku,183,559,32.74%,2.0
kvantový počítač,175,"1,338",13.08%,4.4
rozdeleni svobodou,175,229,76.42%,1.0
tragicka nehoda na liberecku,175,377,46.42%,1.1
depo hostivař metro,174,"1,464",11.89%,1.1
zeman,174,"4,912",3.54%,5.8
zprávy z domova,171,786,21.76%,2.1
jeleni prikop vstup,168,242,69.42%,1.4
hondrostrong,162,558,29.03%,4.1
černý kašel,159,"4,145",3.84%,9.4
jaromír soukup,158,"4,655",3.39%,6.9
nehoda u liberce,147,521,28.21%,3.3
výbuch v perné,146,697,20.95%,3.3
www.irozhlas,146,156,93.59%,1.0
jeleni prikop otevren,142,213,66.67%,1.3
záplavy v egyptě,142,189,75.13%,1.4
státní vyznamenání 2019,132,980,13.47%,4.7
vybuch perna,132,"1,074",12.29%,3.7
dobroslav trnka,131,545,24.04%,3.0
grospič politik,129,"1,066",12.10%,4.5
vigantol,129,"3,396",3.80%,6.7
david šindler,128,650,19.69%,2.5
rozděleni svobodou,122,179,68.16%,1.0
zprávy,122,"1,120",10.89%,13
barcelona protesty,121,431,28.07%,2.6
csfd,121,"120,791",0.10%,2.8
zeman lekarska zprava,121,268,45.15%,1.2
liberec nehoda,119,320,37.19%,1.2
lekarska zprava zeman,117,401,29.18%,1.3
nehoda mnisek u liberce,116,244,47.54%,1.1
počasí,116,"37,982",0.31%,6.8
vykradene zlatnictvi brno,114,168,67.86%,1.8
zimní čas,113,"5,383",2.10%,1.9
karel gott,107,"4,729",2.26%,8.5
barcelona demonstrace,105,352,29.83%,1.9
izurnal,105,133,78.95%,1.0
účtenkovka,105,"8,199",1.28%,2.2
google kvantový počítač,104,241,43.15%,1.8
egypt počasí,103,469,21.96%,3.5
jelení příkop vstup,103,167,61.68%,1.7
bohdan pomahač,100,"3,454",2.90%,2.5
mcgregor,99,579,17.10%,2.0
stanislav grospič,98,"1,298",7.55%,3.6
perná výbuch,95,463,20.52%,2.4
uzsi,94,391,24.04%,2.6
perna vybuch,93,841,11.06%,3.8
počasí egypt,93,405,22.96%,3.7
libanon,91,"2,043",4.45%,4.3
maturita z matematiky,91,"1,327",6.86%,3.0
vybuch v perne,91,475,19.16%,3.0
stavba roku 2019,89,598,14.88%,4.3
eco quantum saver,87,289,30.10%,2.9
miloš zeman zdravotní stav,87,254,34.25%,3.3
zdravotní stav zemana,85,152,55.92%,2.4
mengele,83,"5,904",1.41%,4.5
eco quantum saver recenze,81,240,33.75%,2.0
hevrin khalaf,80,413,19.37%,4.2
metro a,80,562,14.23%,4.3
bioparox,79,363,21.76%,5.3
egypt zaplavy,79,114,69.30%,1.3
nehoda mnisek,78,212,36.79%,1.0
grospic,77,"1,070",7.20%,6.9
zdravotni zprava zeman,77,185,41.62%,1.1
demonstrace barcelona,75,251,29.88%,1.5
vzácné mince,75,234,32.05%,1.0
zdravotní stav prezidenta zemana,75,198,37.88%,3.2
dopravní nehoda liberec,74,132,56.06%,1.0
egypt hurikan,74,385,19.22%,1.3
stanislav grospič ksčm,74,"1,307",5.66%,1.4
marieke vervoortová,73,514,14.20%,2.8
egypt záplavy,72,92,78.26%,1.1
dan přibáň,71,466,15.24%,3.9
katalánsko,71,"1,072",6.62%,2.6
lékařská zpráva zeman,71,204,34.80%,1.4
transplantace obličeje,71,488,14.55%,1.2
zeman lékařská zpráva,71,274,25.91%,1.3
tragická dopravní nehoda,70,198,35.35%,1.0
vinohradska 12,70,91,76.92%,1.1
soukup premier,69,394,17.51%,3.1
perná,67,568,11.80%,3.1
státní svátky obchody zavřeno,67,"1,457",4.60%,2.0
desetikoruna 1993,66,204,32.35%,2.0
dopravní nehoda na liberecku,66,98,67.35%,1.2
nehoda popelářského vozu,66,210,31.43%,2.1
premier soukup,66,500,13.20%,3.5
černý kašel 2019,65,190,34.21%,2.8
,"52,935","1,430,412",3.70%,6.2

Week Index,Clicks
0000,"45,109"
0001,"7,826"
,"52,935"
