# ----------------------------------------
# iRozhlas
# Queries
# 20190114-20190120
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
zatmění měsíce 2019,"2,035","19,740",10.31%,3.2
stezka pustevny,341,"2,300",14.83%,3.8
tvrdý brexit,339,735,46.12%,2.9
václavské náměstí,312,"3,031",10.29%,4.2
klinika,274,"2,357",11.62%,3.1
rozhlas,272,"2,638",10.31%,3.6
pustevny,268,"4,309",6.22%,2.3
list jaromíra soukupa,262,"2,743",9.55%,6.9
libuše palachová,255,"1,500",17.00%,3.2
jan zajíc,243,"8,156",2.98%,4.8
stezka valaška,243,"2,331",10.42%,4.0
zatmění měsíce leden 2019,234,"1,400",16.71%,2.9
cena za štěstí,228,"2,851",8.00%,3.2
rudolf kučera,225,683,32.94%,2.6
egg instagram,216,467,46.25%,1.2
počasí,195,"51,570",0.38%,2.0
i rozhlas,188,220,85.45%,1.1
list jaromira soukupa,180,"1,258",14.31%,5.6
jan palach,179,"12,111",1.48%,5.8
posmrtná maska jana palacha,177,537,32.96%,1.0
princ filip,171,"1,761",9.71%,4.2
nejlajkovanější fotka na instagramu 2019,164,396,41.41%,1.4
matka jana palacha,136,787,17.28%,5.3
white media,136,"1,059",12.84%,2.7
upálení na václavském náměstí,131,389,33.68%,2.5
fireflies,122,526,23.19%,2.4
volby 2019,121,789,15.34%,2.8
instagram,117,"20,492",0.57%,2.7
jan palach libuse palachová,116,"1,021",11.36%,5.7
tvrdy brexit,116,346,33.53%,4.5
co znamena tvrdy brexit,115,200,57.50%,1.2
helena zahradníková,115,935,12.30%,4.1
ester ledecká,114,"3,746",3.04%,6.3
nejčastější jména 2018,114,296,38.51%,1.5
zprávy,106,"3,109",3.41%,9.0
nejoblíbenější jména,104,202,51.49%,1.0
izurnal,102,132,77.27%,1.0
český rozhlas,99,"7,685",1.29%,4.7
volby do evropského parlamentu,98,"1,475",6.64%,4.0
zatmění měsíce 2019 živě,96,190,50.53%,3.1
pawel adamowicz,93,"1,164",7.99%,3.0
karel kryl norsko,91,292,31.16%,2.0
adamowicz,90,"1,040",8.65%,8.2
zprávy z domova,90,"1,845",4.88%,5.8
kryl norsko,87,143,60.84%,1.0
nejvyšší budova světa,84,566,14.84%,1.5
bioparox,82,549,14.94%,6.5
fekišovce,82,"1,459",5.62%,5.0
upálení na václaváku,82,321,25.55%,1.9
vejce instagram,82,"2,481",3.31%,4.1
co je tvrdy brexit,81,125,64.80%,1.0
biatlon,80,"1,082",7.39%,3.0
zatmění měsíce online,80,343,23.32%,5.2
palachova matka,79,416,18.99%,4.8
pardubice,79,"2,039",3.87%,3.3
zatmění měsíce,77,"2,904",2.65%,7.2
michelinská hvězda,76,591,12.86%,3.2
biatlon ruhpolding,75,670,11.19%,2.8
upálení v praze,75,323,23.22%,4.0
mesic,74,375,19.73%,1.5
vajicko instagram,73,193,37.82%,2.3
stezka valaška pustevny,71,652,10.89%,4.1
lavina v rakousku,69,217,31.80%,1.8
volby do evropského parlamentu 2019,69,387,17.83%,2.1
cena za štěstí recenze,67,233,28.76%,2.0
prepadeni cerpaci stanice,67,834,8.03%,4.2
transgas demolice,67,161,41.61%,1.0
adam svoboda,66,"1,722",3.83%,3.9
instagram vejce,65,261,24.90%,2.0
upálení václavské náměstí,65,177,36.72%,2.1
zeman huawei,65,282,23.05%,1.9
brexit,64,660,9.70%,3.9
pohřeb jana palacha,64,454,14.10%,4.5
ester ledecká super g,63,"1,700",3.71%,2.4
rudolf kučera politolog,61,155,39.35%,1.9
václavské náměstí upálení,60,284,21.13%,3.6
muzikál vlasy,58,444,13.06%,3.2
nejoblíbenější jména 2018,58,257,22.57%,2.3
volby do evropského parlamentu 2019 kandidáti,58,110,52.73%,1.0
karel kryl,57,"2,958",1.93%,5.1
pustevny stezka,57,817,6.98%,5.5
valašská stezka,57,228,25.00%,2.9
john coughlin,56,292,19.18%,1.1
měsíc,55,788,6.98%,4.0
nejlajkovanější fotka na instagramu,55,284,19.37%,4.1
pardubice bomba,54,139,38.85%,1.0
petra kvitová,54,"1,607",3.36%,7.7
zprávy rozhlas,54,63,85.71%,1.0
australian open,53,"4,103",1.29%,3.2
kvitová,53,624,8.49%,4.9
rudolf kučera zemřel,53,107,49.53%,2.6
zapálil muž,52,"2,632",1.98%,5.1
fantastická zvířata,51,"3,647",1.40%,5.2
upálení,51,642,7.94%,2.9
jan palach posmrtná maska,50,161,31.06%,1.0
nelahozeves přepadení,50,307,16.29%,2.2
evakuace svitkov,49,158,31.01%,1.7
upálení palacha,49,"2,315",2.12%,3.7
nejlepší komedie 2018,48,903,5.32%,5.5
soukup politická strana,48,125,38.40%,2.1
,"41,762","1,156,433",3.61%,6.3

Week Index,Clicks
0000,"33,807"
0001,"7,955"
,"41,762"
