# ----------------------------------------
# iRozhlas
# Queries
# 20190107-20190113
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
fekišovce,882,"7,329",12.03%,2.1
jan palach,496,"32,081",1.55%,9.1
pravoslavné vánoce,405,"1,361",29.76%,1.4
jaromír balda,311,"1,878",16.56%,2.3
fekisovce,310,"3,760",8.24%,3.3
rozhlas,290,"2,691",10.78%,3.0
zeman huawei,273,"1,026",26.61%,1.8
i rozhlas,198,240,82.50%,1.1
jakub hurnik,193,946,20.40%,2.1
jindřich šikola,180,497,36.22%,1.7
nejčastější jména 2018,169,329,51.37%,1.1
pravoslavné vánoce 2019,145,517,28.05%,3.0
zprávy,145,"7,633",1.90%,8.3
český rozhlas,131,"7,668",1.71%,4.0
brexit,118,"1,112",10.61%,1.8
nejoblíbenější jména,117,237,49.37%,1.0
helena zahradníková,108,495,21.82%,3.6
most sérial,108,"3,628",2.98%,3.5
strážmistr topinka,105,"5,275",1.99%,3.7
cyklokros,104,"1,630",6.38%,3.8
smrkovský,102,"2,569",3.97%,3.0
huawei zeman,101,348,29.02%,1.3
karel kryl,93,"2,994",3.11%,3.2
nejvyšší budova světa,93,707,13.15%,2.3
volby 2019,93,818,11.37%,3.8
jaromir balda,92,469,19.62%,3.0
seriál most,90,"3,437",2.62%,4.9
úniková hra,89,"1,779",5.00%,3.2
izurnal,88,108,81.48%,1.0
úniková hra polsko,87,293,29.69%,1.5
rakousko snih,85,515,16.50%,5.5
jan palach upálení,84,"3,977",2.11%,4.5
mčr cyklokros 2019,83,684,12.13%,5.0
zprávy z domova,83,"1,528",5.43%,5.7
volby do evropského parlamentu 2019,82,488,16.80%,2.6
unikova hra polsko,80,691,11.58%,1.8
digoxin,77,"1,437",5.36%,4.2
josef smrkovský,77,"2,562",3.01%,3.3
oberhof,77,"3,198",2.41%,3.0
nejlepší filmy 2018,75,"5,257",1.43%,7.0
zpravy,75,"1,701",4.41%,9.0
nejoblíbenější jména 2018,74,311,23.79%,2.1
skoky na lyžích,74,794,9.32%,4.1
jablonec nad nisou,73,"1,310",5.57%,1.8
jiří palach,73,971,7.52%,4.2
bioparox,72,580,12.41%,6.3
istanbulská úmluva,71,428,16.59%,3.8
ester ledecká,70,"2,748",2.55%,4.9
fekišovce starostka,70,462,15.15%,1.9
harrachov,67,"1,318",5.08%,2.7
most česká televize,67,"4,878",1.37%,5.2
sucho,67,397,16.88%,2.3
radkin honzák,66,"1,183",5.58%,6.4
komedie 2018,64,"3,471",1.84%,7.6
filmy 2018,63,"22,128",0.28%,8.5
fireflies,62,438,14.16%,3.1
polsko unikova hra,62,366,16.94%,1.6
posmrtná maska jana palacha,62,146,42.47%,1.0
volby do evropského parlamentu,62,834,7.43%,4.0
pervitin,61,"2,231",2.73%,7.5
sčítání ptactva,61,300,20.33%,3.2
andy murray,60,"1,819",3.30%,5.8
fantastická zvířata,60,"4,299",1.40%,6.2
zeman,60,"1,608",3.73%,5.4
největší slovák,58,441,13.15%,6.5
fekišovice,56,350,16.00%,1.2
biatlon oberhof,55,402,13.68%,1.8
huawei,55,"1,373",4.01%,1.5
polsko úniková hra,54,173,31.21%,1.1
karel kryl norsko,53,143,37.06%,1.2
biatlon oberhof 2019,51,464,10.99%,2.5
cesky rozhlas,50,"2,665",1.88%,4.3
rozhlas zprávy,50,58,86.21%,1.0
libuše palachová,47,502,9.36%,3.2
starostka fekisovce,47,441,10.66%,2.8
skeleton,46,266,17.29%,2.8
volby do evropského parlamentu 2019 kandidáti,46,85,54.12%,1.0
did porucha,45,813,5.54%,4.5
tvrdý brexit,45,96,46.88%,1.3
důchodce terorista,44,205,21.46%,3.5
ivan smékal,44,93,47.31%,1.3
tesla saver eco,44,518,8.49%,8.6
volby do europarlamentu 2019,44,155,28.39%,2.6
liči,43,979,4.39%,10
iradio zprávy,42,43,97.67%,1.0
jan zajíc,42,"1,122",3.74%,3.9
oberhof biatlon,42,324,12.96%,1.8
ostrov odpadků,42,84,50.00%,1.0
serial most,42,"3,921",1.07%,6.6
sníh rakousko,42,277,15.16%,5.7
jackson maine,41,743,5.52%,4.5
nejčastější jména,41,340,12.06%,3.1
rakousko sníh,41,163,25.15%,4.6
teroristické útoky,41,171,23.98%,2.2
vzácné mince,40,134,29.85%,2.0
ihned,39,"4,892",0.80%,2.4
prezidentské volby 2018,39,325,12.00%,1.8
zprávy rozhlas,39,41,95.12%,1.0
brexit film,38,305,12.46%,6.0
čučkař,38,329,11.55%,2.7
,"35,330","1,052,591",3.36%,6.6

Week Index,Clicks
0000,"29,717"
0001,"5,613"
,"35,330"
