# ----------------------------------------
# iRozhlas
# Queries
# 20190318-20190324
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
wikipedia,868,"27,370",3.17%,3.6
rozhlas,824,"2,724",30.25%,2.7
rodičovský příspěvek,658,"6,938",9.48%,4.2
první jarní den,636,"21,702",2.93%,4.2
fotbalista roku,567,"2,534",22.38%,1.4
ponozkovy den,484,"1,922",25.18%,2.4
wikipedie,445,"35,755",1.24%,2.1
první jarní den 2019,385,"3,890",9.90%,2.2
ponožkový den,366,"6,350",5.76%,6.2
pád vrtulníku,322,"5,855",5.50%,4.3
první jarní den v roce 2019,281,"3,518",7.99%,3.0
cesky lev 2019 vysledky,264,"3,715",7.11%,1.1
navýšení rodičovského příspěvku,261,"1,521",17.16%,2.1
den ponožek,259,479,54.07%,1.3
zvyseni rodicovske,257,"1,419",18.11%,1.7
fotbalista roku 2018,243,"1,642",14.80%,2.8
rodičovský příspěvek 2020,242,"1,735",13.95%,1.7
fantastická zvířata,237,"21,792",1.09%,6.1
kenneth to,234,712,32.87%,1.7
rodičovský příspěvek 2019,230,"2,436",9.44%,1.6
i rozhlas,221,253,87.35%,1.0
prvni jarni den,217,"7,936",2.73%,3.7
rodicovsky prispevek navyseni,215,"1,459",14.74%,1.6
brexit,204,"2,258",9.03%,3.4
jan františek uher,184,"2,008",9.16%,3.9
zvýšení rodičovského příspěvku,177,"1,200",14.75%,2.2
vaclav klaus mladsi,173,"2,605",6.64%,2.7
spalničky,163,"10,246",1.59%,3.5
zprávy,162,"5,997",2.70%,8.8
počasí,160,"19,720",0.81%,2.2
prvni jarni den 2019,160,"2,210",7.24%,3.0
volby do evropského parlamentu,159,"2,634",6.04%,4.3
václav klaus mladší,152,"2,568",5.92%,3.3
milan píka,134,"1,400",9.57%,4.9
zvýšení rodičovského příspěvku 2020,134,"1,097",12.22%,1.5
rodičovský příspěvek zvýšení,132,907,14.55%,3.3
izurnal,131,148,88.51%,1.0
český lev 2019 vítězové,129,"1,367",9.44%,1.5
astana,123,"1,809",6.80%,2.2
gabriela koukalová,121,"2,055",5.89%,5.2
čaputová,119,"4,271",2.79%,6.8
jaro,117,"5,480",2.14%,6.9
stadia,110,"2,204",4.99%,4.5
nursultan,105,768,13.67%,3.7
utrecht,105,"1,402",7.49%,2.6
bioparox,104,371,28.03%,4.1
havárie vrtulníku,102,308,33.12%,1.2
radkin honzák,102,"2,164",4.71%,4.6
rodicovsky prispevek,101,579,17.44%,1.8
zvyseni rodicovskeho prispevku,100,282,35.46%,1.9
facebook,97,"267,152",0.04%,2.6
rodicovsky prispevek 2019,97,894,10.85%,1.9
1.jarní den 2019,96,"1,035",9.28%,2.7
slovensko prezidentské volby,96,"2,138",4.49%,4.2
volby na slovensku,95,548,17.34%,2.4
článek 13,91,"2,122",4.29%,2.7
google stadia,91,"1,183",7.69%,2.8
švachula,91,530,17.17%,1.6
nejčastější jména 2018,90,247,36.44%,1.7
vigantol,90,922,9.76%,8.7
volby slovensko,89,"1,952",4.56%,3.4
csfd,88,"62,111",0.14%,2.5
zvýšení rodičovského příspěvku na 300000,87,285,30.53%,2.7
pad vrtulniku nachod,86,262,32.82%,1.1
zprávy z domova,86,"1,158",7.43%,3.9
venezuela,84,"1,389",6.05%,3.7
fireflies,83,460,18.04%,2.4
gerloch,83,"1,761",4.71%,6.2
volby do europarlamentu,82,526,15.59%,2.8
ms krasobruslení 2019,81,925,8.76%,4.7
skleněný pokoj recenze,80,402,19.90%,3.6
český rozhlas,77,"7,078",1.09%,4.4
mosambik,77,"1,673",4.60%,2.0
pád vrtulníku slavoňov,77,143,53.85%,1.0
jiří švachula,76,478,15.90%,1.3
1. jarní den 2019,74,791,9.36%,2.3
manželé janákovi,72,110,65.45%,1.0
wikipedie stávka,72,254,28.35%,4.3
bruceloza,70,"2,231",3.14%,2.3
spalničky 2019,70,507,13.81%,1.8
nejvyšší budova světa,69,402,17.16%,1.0
vzácné mince,69,182,37.91%,1.0
nejoblíbenější jména,67,132,50.76%,1.0
očkování dospělých proti spalničkám,67,196,34.18%,1.8
zpravy,67,"2,479",2.70%,9.2
enstrom 480,66,"2,279",2.90%,2.7
fotbalista roku 2019,65,904,7.19%,2.7
mezinárodní den ponožek,65,133,48.87%,2.0
jarní den 2019,64,569,11.25%,1.9
klaus,64,"1,033",6.20%,5.7
nominace na anglii,64,264,24.24%,4.2
ponožkový den 2019,64,978,6.54%,7.2
rodicovska 2019,64,740,8.65%,2.7
eurovolby 2019,63,651,9.68%,4.2
zvýšení rodičovské 2020,63,502,12.55%,1.1
skleněný pokoj,62,"3,404",1.82%,3.1
spalničky pardubice,62,129,48.06%,1.4
jiří stráský,61,140,43.57%,1.4
václav klaus,61,"2,400",2.54%,5.2
leonid kušnarenko,60,"1,304",4.60%,5.6
,"50,516","1,689,176",2.99%,5.0

Week Index,Clicks
0000,"44,296"
0001,"6,220"
,"50,516"
