# ----------------------------------------
# iRozhlas
# Queries
# 20190408-20190414
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
rozhlas,"1,373","3,073",44.68%,2.3
eurovolby,972,"4,048",24.01%,2.0
zuzana skalníková,796,"8,119",9.80%,1.7
cerna dira,571,"5,135",11.12%,2.9
bob dylan praha,258,"2,446",10.55%,3.9
facebook,241,"165,038",0.15%,3.2
rýmařov,239,"2,932",8.15%,2.0
brexit,220,"3,052",7.21%,5.5
vigantol,214,"2,225",9.62%,6.0
tunel blanka,210,"2,080",10.10%,1.7
eurovolby 2019,208,"1,098",18.94%,2.6
slovenská prezidentka,204,850,24.00%,2.2
instagram,195,"5,991",3.25%,2.2
volby do senátu praha 9,194,839,23.12%,4.6
i rozhlas,180,217,82.95%,1.0
nehoda tunel blanka,179,398,44.97%,1.1
volby do evropského parlamentu,165,"4,675",3.53%,5.6
izurnal,155,189,82.01%,1.0
volejbal brno,152,390,38.97%,2.3
teroristka recenze,148,"1,661",8.91%,5.1
senátní volby praha 9,129,488,26.43%,4.3
volby senát praha 9,126,292,43.15%,3.3
zprávy,125,"3,280",3.81%,10
tiger woods,124,"2,285",5.43%,3.8
whatsapp,117,"1,389",8.42%,1.1
volby izrael 2019,107,540,19.81%,3.7
prezidentka slovenska,105,543,19.34%,2.7
bioparox,104,448,23.21%,4.8
ukrajina volby,100,367,27.25%,3.1
čaputová,98,"2,238",4.38%,3.8
podvodné emaily,97,235,41.28%,2.1
julian assange,96,"2,535",3.79%,3.9
vzácné mince,96,226,42.48%,1.0
zuzana skalníková herecka,93,875,10.63%,1.1
adam ondra,91,"1,758",5.18%,8.1
libye,90,"1,711",5.26%,5.5
tunel blanka nehoda,89,210,42.38%,1.3
doprava praha,88,"1,136",7.75%,3.5
volby ukrajina,86,403,21.34%,3.5
csfd,84,"63,190",0.13%,2.3
nejvyšší budova světa,84,488,17.21%,1.0
běh pro světlušku,82,503,16.30%,2.5
nehoda v tunelu blanka,82,161,50.93%,1.0
marta nováková,80,"2,387",3.35%,3.4
fireflies,78,473,16.49%,2.5
sudan,78,669,11.66%,1.3
zprávy z domova,76,823,9.23%,3.4
rafaj,75,"1,112",6.74%,4.5
slovenska prezidentka,75,344,21.80%,2.7
černá díra,74,"2,319",3.19%,6.0
nikulin,74,624,11.86%,3.4
andrew feustel,73,"1,241",5.88%,3.9
cerna dir,72,337,21.36%,3.0
plzen banik,70,396,17.68%,3.0
volby praha 9,69,327,21.10%,3.5
súdán,68,951,7.15%,3.0
jude slavie,64,726,8.82%,3.1
assange,63,"1,440",4.38%,3.8
bob dylan v praze,63,201,31.34%,3.5
blanka nehoda,61,185,32.97%,1.1
nejoblíbenější jména,61,128,47.66%,1.1
pražský půlmaraton,61,438,13.93%,3.1
bob dylan lucerna,58,335,17.31%,2.3
zuzana skalnikova,58,527,11.01%,4.4
spirituál kvintet,57,734,7.77%,3.5
tripolis,56,"1,842",3.04%,4.4
karel kryl,55,"4,745",1.16%,6.4
věznice pardubice,55,195,28.21%,3.4
brexit datum,54,129,41.86%,1.8
facebook instagram výpadek,54,"2,417",2.23%,4.0
plzeň – baník,54,305,17.70%,3.2
adéla hanzlíčková,53,"1,672",3.17%,2.7
největší letadlo,53,325,16.31%,2.0
rozhlas zprávy,53,57,92.98%,1.0
dan tok,52,484,10.74%,4.3
soudce berka,52,224,23.21%,1.6
porodní plán,51,224,22.77%,2.4
jermanová,50,634,7.89%,3.5
nový ministr dopravy,50,292,17.12%,4.9
pochod sparty,50,143,34.97%,1.8
vinohradská 12 podcast,50,67,74.63%,1.2
volby izrael,50,294,17.01%,2.2
zprávy ze světa,50,"1,382",3.62%,5.7
izrael volby,49,408,12.01%,1.9
vánoční trhy zpráva,49,293,16.72%,2.6
volby na ukrajině,48,229,20.96%,2.5
český rozhlas zprávy,47,51,92.16%,1.0
volby do evropského parlamentu 2019 kandidáti,46,561,8.20%,5.4
zpravy,46,"2,559",1.80%,9.2
květná neděle zvyky,45,299,15.05%,4.6
medaile ms hokej 2019,45,89,50.56%,3.3
raiffeisenbank kojení,45,287,15.68%,4.2
vladimír mlynář,45,823,5.47%,5.7
herečka zuzana skalníková,44,430,10.23%,1.1
kandidáti do eurovoleb,44,194,22.68%,4.5
phil collins,44,"1,058",4.16%,5.5
hellboy recenze,43,160,26.88%,2.3
volejbal,43,424,10.14%,3.7
bob dylan,42,"1,472",2.85%,8.3
nejčastější jména,42,367,11.44%,3.5
,"43,824","1,472,833",2.98%,5.9

Week Index,Clicks
0000,"36,548"
0001,"7,276"
,"43,824"
