# ----------------------------------------
# iRozhlas
# Queries
# 20190916-20190922
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
rozhlas,"1,382","4,538",30.45%,2.0
rozdeleni svobodou,723,905,79.89%,1.0
i rozhlas,626,716,87.43%,1.0
abolice,565,"47,900",1.18%,5.5
rozděleni svobodou,482,638,75.55%,1.0
střední třída,454,"2,280",19.91%,1.1
nabarvené ptáče,452,"24,244",1.86%,6.6
český rozhlas,420,"9,943",4.22%,3.1
zajištěná střední třída,420,"1,235",34.01%,1.0
policie pátrá,401,"3,271",12.26%,2.0
thomas cook,370,"3,536",10.46%,6.2
cena ropy,308,"3,202",9.62%,3.0
michael buble,308,"4,390",7.02%,6.5
www.irozhlas,302,320,94.38%,1.0
brexit,300,"2,247",13.35%,4.5
zemětřesení albánie,293,"4,855",6.04%,2.9
vinohradská 12,291,407,71.50%,1.6
saúdská arábie ropa,283,"3,279",8.63%,1.5
izurnal,246,289,85.12%,1.0
albánie zemětřesení,234,"1,916",12.21%,2.2
nabarvené ptáče recenze,222,996,22.29%,3.6
stávka za klima,210,533,39.40%,1.1
izrael volby,178,720,24.72%,1.9
kurt taussig,172,"1,063",16.18%,2.2
volby izrael,170,733,23.19%,2.0
zprávy,169,"3,379",5.00%,7.2
nehoda přerov,167,421,39.67%,1.9
přerov nehoda,167,367,45.50%,1.7
vigantol,157,"1,698",9.25%,5.9
cesky rozhlas,143,"3,365",4.25%,3.9
saudská arábie ropa,143,586,24.40%,1.1
nejvyšší budova světa,140,682,20.53%,1.1
thomas cook cestovní kancelář,137,"1,068",12.83%,1.1
český rozhlas kalkulačka,133,143,93.01%,1.0
žebříček kvality života,133,339,39.23%,2.8
albanie zemetreseni,132,477,27.67%,2.1
vinohradska 12,127,181,70.17%,1.7
michael buble praha,126,852,14.79%,3.9
zeman abolice,124,"2,327",5.33%,3.7
zprávy z domova,121,653,18.53%,2.0
i rozhlas cz,120,166,72.29%,1.1
volejbal mistrovství evropy,120,"1,515",7.92%,2.2
i.rozhlas.cz,115,142,80.99%,1.9
kosmopolitní třída,113,286,39.51%,1.0
rozdělení svobodou,113,144,78.47%,1.0
čapí hnízdo,111,"3,659",3.03%,7.0
digitální stopa,111,420,26.43%,3.0
primark praha,107,"1,967",5.44%,7.8
saudská arábie,101,"2,293",4.40%,3.5
nabarvene ptace,100,"2,832",3.53%,6.6
kroupa jablonec,99,251,39.44%,1.9
brexit datum,98,239,41.00%,1.3
irská pojistka,96,470,20.43%,1.3
zemetreseni albanie,95,288,32.99%,2.2
i rozhlas.cz,93,122,76.23%,1.0
maturita z matematiky,93,844,11.02%,3.5
první republika 4,93,204,45.59%,1.0
burčák cena,92,173,53.18%,1.0
zemětřesení v albánii,92,316,29.11%,2.7
praha 5,91,"1,019",8.93%,2.6
desetikoruna 1993,90,275,32.73%,1.6
pavel zeman,88,924,9.52%,1.9
šaroch,87,579,15.03%,2.1
10 kč 1993,86,189,45.50%,1.2
vzácné mince,86,253,33.99%,1.3
jablonec nad nisou,82,"1,460",5.62%,3.1
dan z nabyti nemovitosti,80,836,9.57%,3.8
volby v izraeli 2019,80,293,27.30%,2.8
rozděleni svobodou dotazník,79,110,71.82%,1.0
útok na ropná pole,78,193,40.41%,1.4
ropa,75,"1,260",5.95%,5.7
savarin,75,323,23.22%,2.3
václav marhoul,74,"1,661",4.46%,2.7
dolni vltavice promitani,72,337,21.36%,2.2
nejoblíbenější jména,72,195,36.92%,1.4
s mikrofonem za hokejem,72,349,20.63%,6.1
saudská arábie útok,72,"1,136",6.34%,1.8
zprávy ze světa,71,"1,615",4.40%,5.7
životní úroveň žebříček 2019,70,133,52.63%,2.0
stavka za klima,69,195,35.38%,1.1
lucie smolková,68,787,8.64%,2.7
přerov,68,939,7.24%,2.0
nehoda brno,67,467,14.35%,2.1
radiožurnál,67,"10,318",0.65%,5.5
digistopa,64,345,18.55%,3.0
bioparox,63,370,17.03%,5.6
jakub kalenský,63,590,10.68%,1.4
minimální mzda 2020,63,"1,075",5.86%,7.1
ivo raisr,62,368,16.85%,4.2
izrael,62,"2,588",2.40%,4.7
ms rugby 2019,62,"1,337",4.64%,2.0
volejbal,62,"1,123",5.52%,1.0
elischer,61,402,15.17%,2.1
fireflies,61,382,15.97%,6.2
salvini,60,243,24.69%,3.3
hondrostrong,59,198,29.80%,8.6
buble praha,58,249,23.29%,2.6
www.irozhlas.cz,58,82,70.73%,1.0
babiš,57,"1,419",4.02%,6.6
ivan elischer,57,309,18.45%,2.1
,"54,716","1,336,650",4.09%,6.8

Week Index,Clicks
0000,"48,271"
0001,"6,445"
,"54,716"
