# ----------------------------------------
# iRozhlas
# Queries
# 20190513-20190519
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
černobyl,"1,685","18,085",9.32%,2.8
rozhlas,"1,071","3,105",34.49%,2.5
pochod praha prčice,695,"2,964",23.45%,1.5
lake malawi eurovision song,673,"8,277",8.13%,3.4
lake malawi,518,"12,440",4.16%,5.8
cernobyl,502,"5,732",8.76%,2.8
zprávy,492,"15,045",3.27%,1.8
lake malawi eurovize,479,"6,636",7.22%,3.9
maskot ms v hokeji 2019,434,"1,344",32.29%,2.3
volby do evropského parlamentu,398,"26,556",1.50%,6.7
vzácné mince,397,947,41.92%,1.0
zákaz potratů,380,891,42.65%,1.0
radiožurnál sport,358,"1,807",19.81%,2.8
chernobyl hbo,345,"4,941",6.98%,4.8
rodičovský příspěvek,323,"2,142",15.08%,1.3
lake malawi friend of a friend,321,"2,920",10.99%,3.8
i rozhlas,274,321,85.36%,1.0
riegrovy sady 2019,262,480,54.58%,2.2
grumpy cat,250,"9,418",2.65%,3.3
alabama potraty,240,821,29.23%,2.9
v siti dokument,238,"3,607",6.60%,3.1
eurovision 2019 final,230,"1,548",14.86%,1.2
praha prčice,217,"1,274",17.03%,2.1
drabova cernobyl,216,296,72.97%,1.0
eurovize 2019,215,"5,152",4.17%,5.0
mariánský příkop,200,"2,895",6.91%,3.5
tata bojs riegrovy sady,200,263,76.05%,1.4
serial cernobyl,198,"2,040",9.71%,5.7
desetikoruna,197,620,31.77%,1.9
duncan laurence,195,"3,469",5.62%,3.1
seriál černobyl,188,"1,354",13.88%,4.5
teorie velkého třesku,187,"2,455",7.62%,2.5
10 kč 1993,185,729,25.38%,4.4
eurovision 2019 pořadí,180,639,28.17%,1.2
černobyl online,179,"2,104",8.51%,3.0
pochod praha prčice 2019,177,630,28.10%,1.4
ivo rittig,174,"2,275",7.65%,2.4
cernobyl 2 dil,165,699,23.61%,1.2
rittig,163,"1,135",14.36%,2.9
vzacne 10kc,163,396,41.16%,1.0
izurnal,156,192,81.25%,1.0
v síti,154,"7,365",2.09%,5.1
český rozhlas,151,"9,392",1.61%,4.6
alabama,150,"1,542",9.73%,1.5
eurovolby,149,"4,119",3.62%,4.9
tatabojs riegrovy sady,149,219,68.04%,1.6
domo development,147,795,18.49%,2.0
v síti dokument online,147,"2,938",5.00%,2.8
eurovolby 2019,141,"2,984",4.73%,3.8
dokument v síti,137,"1,790",7.65%,3.6
cernobyl 3 dil,135,807,16.73%,2.5
eurovision 2019,123,"2,502",4.92%,2.7
fireflies,123,557,22.08%,2.1
piráti eurovolby,122,432,28.24%,1.6
vzácné mince v oběhu,122,244,50.00%,1.0
eurovolby 2019 kandidátky,121,232,52.16%,1.0
český rozhlas riegrovy sady,120,166,72.29%,1.2
zakaz potratu,120,330,36.36%,1.1
potrat,117,"1,482",7.89%,3.0
kaapo kakko,116,"2,501",4.64%,4.8
vigantol,116,"2,041",5.68%,7.0
černobyl miniserie,113,760,14.87%,3.7
desetikoruna 2000,108,286,37.76%,1.6
eurovize,106,"2,741",3.87%,5.7
vzácné české mince,106,256,41.41%,1.0
mince z roku 1993,105,219,47.95%,1.0
vzácné desetikoruny,105,286,36.71%,1.6
hbo chernobyl,102,"1,683",6.06%,5.1
desetikoruna 1993,100,"2,314",4.32%,4.8
riegrovy sady,100,926,10.80%,5.9
alice seidlová,99,"1,821",5.44%,4.8
koncert českého rozhlasu riegrovy sady,95,118,80.51%,1.1
drábová černobyl,94,112,83.93%,1.0
syndrom vlastního pivovaru,93,150,62.00%,1.0
černobyl seriál,92,"1,355",6.79%,5.1
eurovision 2019 lake malawi,92,732,12.57%,2.5
jakub voráček,91,"2,703",3.37%,1.4
potraty,91,425,21.41%,2.2
marie benešová,90,"1,700",5.29%,3.9
nagano 1998,90,"1,992",4.52%,4.1
benešová,89,831,10.71%,2.8
eurovize lake malawi,89,"1,015",8.77%,4.3
riegrovy sady tata bojs,89,122,72.95%,1.5
hra o trůny poslední díl,88,"1,553",5.67%,9.8
slovensko nemecko hokej,87,"1,472",5.91%,2.0
debata eurovolby,86,179,48.04%,1.1
volby do evropského parlamentu 2019,86,"2,566",3.35%,5.2
vzacna 10kc,86,869,9.90%,3.3
eurovision 2019 česko,85,"1,246",6.82%,4.5
desetikoruna 1993 cena,83,684,12.13%,3.7
koho volit do europarlamentu,83,275,30.18%,2.8
vzácné 10 koruny,83,104,79.81%,1.0
chernobyl 2019,82,"1,339",6.12%,4.2
dana drábová,82,"3,521",2.33%,3.4
slovenská prezidentka,82,295,27.80%,2.2
volební průzkum,82,180,45.56%,1.1
černobyl hbo,81,"1,490",5.44%,5.1
spd eurovolby,81,414,19.57%,2.0
strany kandidující do evropského parlamentu,81,150,54.00%,1.2
rudolf sekava,80,421,19.00%,1.7
,"60,914","1,745,804",3.49%,5.5

Week Index,Clicks
0000,"50,079"
0001,"10,835"
,"60,914"
