# ----------------------------------------
# iRozhlas
# Queries
# 20190401-20190407
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
rozhlas,"1,428","3,050",46.82%,2.1
podvodné emaily,"1,297","2,449",52.96%,1.7
pražský půlmaraton,"1,047","5,731",18.27%,1.4
volby ukrajina,541,"1,815",29.81%,2.0
gabriela koukalová,519,"3,931",13.20%,3.4
výhružný email bitcoin,444,"1,096",40.51%,2.0
rammstein deutschland,441,"2,348",18.78%,3.7
volby do senátu praha 9,424,"1,475",28.75%,1.6
tommy robinson,349,"6,955",5.02%,4.1
vydírání přes email,297,"1,053",28.21%,3.1
výhružné emaily,286,510,56.08%,1.0
ukrajina volby,251,"1,031",24.35%,3.4
zeman v rakousku,246,982,25.05%,1.8
půlmaraton praha,242,"3,911",6.19%,2.2
michael jackson,221,"3,155",7.00%,1.5
vydírání email,215,844,25.47%,3.6
vyhruzny email,209,391,53.45%,1.0
podvodné maily 2019,205,"1,491",13.75%,3.6
půlmaraton,205,"1,756",11.67%,2.1
ivo schwarz,199,"4,560",4.36%,6.7
volby na ukrajině,186,557,33.39%,1.7
výhružné e maily bitcoin,178,447,39.82%,2.1
i rozhlas,173,195,88.72%,1.1
františek kressa,167,752,22.21%,2.5
senátní volby praha 9,161,622,25.88%,2.3
volby praha 9,161,462,34.85%,1.3
vigantol,150,"1,769",8.48%,6.3
iron man v praze,149,254,58.66%,1.8
výhružný email,149,269,55.39%,1.0
ukrajina volby 2019,141,608,23.19%,2.3
izurnal,139,162,85.80%,1.0
adam ondra,135,"1,572",8.59%,6.6
podvodný email bitcoin,135,548,24.64%,2.9
senatni volby praha 9 2019,135,339,39.82%,1.6
richard browning,127,760,16.71%,2.8
čaputová,125,"2,090",5.98%,2.7
podvodný email,125,889,14.06%,5.4
zprávy,123,"3,421",3.60%,11
předpověď počasí,114,"3,957",2.88%,2.7
půlmaraton 2019,114,"1,667",6.84%,3.2
kurt cobain,111,"4,313",2.57%,1.9
podvodný email vydírání,108,162,66.67%,1.0
výhrůžné maily,108,314,34.39%,3.1
podvodné emaily bitcoin,107,678,15.78%,3.3
politický kompas,106,224,47.32%,4.2
fabiana bytyqi,105,"1,031",10.18%,1.4
fireflies,99,494,20.04%,2.5
podvodne emaily,96,221,43.44%,2.4
volby ukrajina 2019,93,844,11.02%,4.6
bioparox,92,425,21.65%,4.6
počasí,92,"13,220",0.70%,2.3
prezidentské volby ukrajina,92,"1,565",5.88%,3.4
doplnovaci volby praha 9,90,333,27.03%,3.4
elvis presley smrt,88,"1,341",6.56%,4.9
volby na ukrajině 2019,88,343,25.66%,3.2
zeman rakousko,88,492,17.89%,2.7
nipsey hussle,87,"2,661",3.27%,5.4
vzácné mince,86,195,44.10%,1.0
neznáte mě a možná se divíte,85,284,29.93%,2.7
radkin honzák,83,"1,533",5.41%,4.3
měření rychlosti,79,974,8.11%,2.0
zpravy,79,"3,888",2.03%,8.8
zprávy z domova,79,960,8.23%,3.6
pulmaraton,78,585,13.33%,1.6
slovensko volby,75,737,10.18%,5.0
nejvyšší budova světa,74,373,19.84%,1.0
cnn prima,72,"1,589",4.53%,7.6
prezidentské volby ukrajina 2019,70,304,23.03%,3.2
schumacher,70,785,8.92%,4.5
teroristka recenze,70,506,13.83%,1.4
praha 9 senátní volby,67,165,40.61%,1.4
koukalová,65,575,11.30%,5.2
iron man praha,64,130,49.23%,1.9
volby senát praha 9,64,199,32.16%,2.8
vyhruzne emaily,63,125,50.40%,1.1
vydirajici email,62,92,67.39%,1.2
nejoblíbenější jména,61,141,43.26%,1.0
nipsey hussle smrt,61,"1,059",5.76%,7.5
rammstein - deutschland,61,380,16.05%,4.8
teroristka,59,"4,823",1.22%,3.0
zeman vídeň,58,195,29.74%,1.8
tvrdý brexit,57,225,25.33%,2.5
marta nováková,56,"1,565",3.58%,4.1
prima cnn,56,"1,022",5.48%,6.9
rwanda,56,"2,045",2.74%,6.2
zeman,55,"1,968",2.79%,7.7
elvis presley,54,"6,079",0.89%,8.3
výhružné emaily bitcoin,53,163,32.52%,2.0
český rozhlas,52,"7,056",0.74%,4.8
csfd,52,"61,233",0.08%,3.3
eurovolby 2019,52,653,7.96%,4.1
volby do evropského parlamentu,52,"3,794",1.37%,5.8
david smoljak,51,"1,524",3.35%,2.9
email vydirani,51,369,13.82%,4.4
prazsky pulmaraton,51,418,12.20%,2.5
eurovolby,50,452,11.06%,3.5
létající oblek,50,140,35.71%,2.0
volby slovensko,49,454,10.79%,5.5
fabiana bytyqi zapas,48,70,68.57%,1.1
pálení knih polsko,48,113,42.48%,2.4
,"45,974","1,175,516",3.91%,6.0

Week Index,Clicks
0000,"39,450"
0001,"6,524"
,"45,974"
