# ----------------------------------------
# iRozhlas
# Queries
# 20190527-20190602
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
černobyl,"3,849","54,629",7.05%,3.8
seznam,"3,036","1,028,512",0.30%,5.0
volby do europarlamentu,"2,240","22,987",9.74%,5.4
volby 2019,"2,012","10,188",19.75%,3.0
ano vytrollíme europarlament,"1,670","9,170",18.21%,2.5
eurovolby 2019,"1,292","11,210",11.53%,3.9
zprávy,"1,101","14,907",7.39%,1.8
cernobyl,"1,031","24,129",4.27%,6.1
výsledky voleb 2019,854,"6,914",12.35%,3.9
výsledky voleb do evropského parlamentu,631,"6,931",9.10%,4.3
volby,617,"7,717",8.00%,3.6
rozhlas,540,"2,784",19.40%,3.7
desetikoruna z roku 1993,512,853,60.02%,1.0
výsledky voleb do evropského parlamentu 2019,500,"8,858",5.64%,4.9
seriál černobyl,443,"7,422",5.97%,6.6
drabova cernobyl,442,"1,320",33.48%,2.2
volby 2019 vysledky,426,"2,813",15.14%,3.2
výsledky eurovoleb 2019,426,"2,337",18.23%,3.5
volby do europarlamentu vysledky,395,"2,271",17.39%,3.9
volby do evropského parlamentu 2019,385,"2,354",16.36%,3.8
výsledky voleb,380,"8,343",4.55%,6.3
výsledky voleb 2019 obce,368,698,52.72%,1.0
boris ščerbina,365,"2,757",13.24%,3.9
volby do evropského parlamentu v česku 2019,359,"4,402",8.16%,5.2
vysledky voleb do europarlamentu,356,"1,491",23.88%,2.7
i rozhlas,331,382,86.65%,1.0
alexandr vondra,320,"4,815",6.65%,2.1
ladislav jakl,312,"2,378",13.12%,3.4
eurovolby 2019 vysledky,300,"1,609",18.65%,4.1
valerij legasov,296,"6,262",4.73%,6.2
bomba v plzni,284,"1,234",23.01%,2.2
legasov,283,"3,915",7.23%,4.2
šimering,283,"3,016",9.38%,2.1
drábová černobyl,279,782,35.68%,2.7
serial cernobyl,277,"7,460",3.71%,7.1
red bull air race,266,"3,159",8.42%,4.5
vasilij ignatenko,266,970,27.42%,2.3
vysledky eurovoleb 2019,261,"1,749",14.92%,3.7
babiš,255,"2,906",8.77%,5.4
vzácné mince,249,615,40.49%,1.1
ano vytrollíme europarlament program,248,"1,010",24.55%,2.3
aktip,226,919,24.59%,2.9
cernobyl 4 dil,223,"5,478",4.07%,5.1
černobyl online,215,"22,060",0.97%,8.3
vysledky voleb do eu,214,"3,252",6.58%,5.8
budapest nehoda,210,629,33.39%,1.4
volby do europarlamentu vysledky obce,210,405,51.85%,1.0
volby do evropského parlamentu,206,"2,477",8.32%,5.6
černobyl seriál,205,"4,999",4.10%,5.8
budapest,199,"1,998",9.96%,1.4
volby do evropského parlamentu 2019 čr,197,786,25.06%,3.1
vysledky eurovoleb 2019 obce,197,322,61.18%,1.0
bratislava strelba,195,285,68.42%,1.4
výsledky eurovoleb 2019 obce,189,316,59.81%,1.0
zpravy,189,"5,766",3.28%,5.3
10 kč 1993,188,349,53.87%,1.2
eurovolby výsledky,187,"1,134",16.49%,4.1
volby 2019 obce,186,350,53.14%,1.1
výsledky voleb do evropského parlamentu 2019 podle obcí,179,296,60.47%,1.1
eurovolby 2019 výsledky,177,"1,140",15.53%,3.7
jiří stránský,175,"22,004",0.80%,7.5
vysledky voleb do europarlamentu 2019,175,732,23.91%,2.5
volební účast eurovolby,167,"1,114",14.99%,3.4
puma v plzni,166,489,33.95%,1.6
eurovolby 2019 vysledky obce,165,263,62.74%,1.2
výsledky voleb do europarlamentu,165,"1,059",15.58%,3.1
eurovolby,164,"3,175",5.17%,7.3
eurovolby vysledky,164,"1,745",9.40%,5.4
vysledky eurovolby 2019,164,"1,123",14.60%,4.4
www.irozhlas,162,175,92.57%,1.0
eurovolby vysledky obce,161,262,61.45%,1.1
"ano, vytrollíme europarlament",159,870,18.28%,2.8
budapest lod,151,574,26.31%,3.0
puma plzen,149,824,18.08%,1.6
ščerbina boris,149,795,18.74%,4.0
bomba plzen,147,527,27.89%,1.9
chernobyl hbo,147,"5,342",2.75%,5.9
cernobyl serial,146,"5,200",2.81%,6.7
desetikoruna,145,515,28.16%,1.8
jakl,142,"1,325",10.72%,3.8
výsledky voleb podle obcí,141,393,35.88%,2.1
dunaj nehoda,140,320,43.75%,2.0
ananenko bezpalov baranov,135,382,35.34%,4.1
budapešť,132,"1,020",12.94%,1.5
lod budapest,132,437,30.21%,2.2
dana drábová černobyl,130,401,32.42%,3.4
vigantol,130,"1,937",6.71%,7.2
eurovolby jak volit #česká republika,124,"6,235",1.99%,4.0
nehoda na dunaji,124,307,40.39%,1.8
vytrollíme eu,124,686,18.08%,1.9
baranov cernobyl,123,195,63.08%,1.1
chernobyl,123,"10,101",1.22%,7.0
izurnal,123,144,85.42%,1.0
babis,121,"1,311",9.23%,5.5
finsko kanada,121,"1,778",6.81%,2.1
serial černobyl,121,"2,856",4.24%,7.1
europoslanci 2019,119,"1,024",11.62%,1.3
budapest lod nehoda,118,235,50.21%,1.1
černobyl drábová,117,251,46.61%,2.5
bratislava,116,"1,500",7.73%,3.3
,"100,361","2,852,500",3.52%,5.3

Week Index,Clicks
0000,"92,555"
0001,"7,806"
,"100,361"
