# ----------------------------------------
# iRozhlas
# Queries
# 20190708-20190714
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
jaroslav skalický,"3,366","15,957",21.09%,1.2
ed sheeran praha,"1,271","21,706",5.86%,6.6
masters of rock,678,"10,548",6.43%,1.4
rozhlas,634,"3,150",20.13%,2.9
ed sheeran,611,"15,211",4.02%,11
jaroslav skalicky,599,"1,578",37.96%,1.4
dlouhodobá předpověď počasí červenec,502,"7,180",6.99%,3.8
obchvat olbramovic,232,657,35.31%,1.2
i rozhlas,229,259,88.42%,1.0
vigantol,225,"2,379",9.46%,5.0
skalický,208,840,24.76%,1.7
zprávy,205,"2,328",8.81%,7.8
merkelová třes,202,"1,622",12.45%,4.2
sting slavkov,197,"2,547",7.73%,1.7
průměrná mzda 2019,188,557,33.75%,1.4
řecko,188,"3,227",5.83%,2.9
olbramovice,178,"1,938",9.18%,2.0
perseidy 2019,178,703,25.32%,2.9
olbramovice obchvat,177,519,34.10%,1.2
sting slavkov u brna,172,539,31.91%,1.6
nehoda cernozice,166,315,52.70%,1.1
www.irozhlas,166,186,89.25%,1.0
jaroslav skalický rozhlas,161,496,32.46%,1.9
nehoda dub nad moravou,161,645,24.96%,2.2
obchvat olbramovice,161,542,29.70%,1.2
černobyl,158,"7,621",2.07%,4.9
tour de france,150,"4,778",3.14%,2.7
ed sheeran prague,148,"1,266",11.69%,1.4
ponorka kokain,146,230,63.48%,1.2
desetikoruna z roku 1993,144,322,44.72%,1.0
ed sheeran praha program,143,"2,363",6.05%,4.2
koncert ed sheeran praha,143,"2,447",5.84%,4.9
dopravní nehoda dub nad moravou,141,"2,648",5.32%,2.3
recko boure,141,"1,623",8.69%,3.7
chalkidiki,140,"3,565",3.93%,5.5
robert bobroczky,134,805,16.65%,13
černožice nehoda,130,260,50.00%,1.1
nehoda černožice,130,268,48.51%,1.2
rodičovský příspěvek 2020,130,"1,591",8.17%,5.3
pisen pro karla gotta k narozeninam,128,430,29.77%,1.7
nehoda u dubu nad moravou,126,647,19.47%,2.3
izurnal,119,146,81.51%,1.0
strelba rychnov,119,486,24.49%,1.2
zprávy z domova,119,871,13.66%,3.7
vizovice masters of rock,118,"1,036",11.39%,1.1
tragická nehoda u dubu nad moravou,117,778,15.04%,1.0
rodičovský příspěvek,112,"2,213",5.06%,7.5
blackout new york 2019,110,205,53.66%,1.0
rally bohemia,107,"8,207",1.30%,2.2
vinohradská 12,106,143,74.13%,2.0
řecko chalkidiki,104,"1,936",5.37%,3.2
strycova ctyrhra,103,626,16.45%,3.0
vzácné mince,103,271,38.01%,1.0
ed sheeran koncert,102,"1,336",7.63%,4.5
ed sheeran v praze,102,755,13.51%,5.6
wimbledon 2019,99,"1,793",5.52%,1.1
kdy hraje strycova,98,445,22.02%,1.4
jaroslav skalický nemoc,97,545,17.80%,4.4
brexit,96,"1,259",7.63%,5.1
černožice,96,883,10.87%,1.9
roman kreuziger,96,"2,187",4.39%,3.0
český rozhlas,95,"7,463",1.27%,4.6
fireflies,94,535,17.57%,2.7
nehoda dub,94,177,53.11%,1.2
nehoda na olomoucku,94,163,57.67%,1.2
skalický jaroslav,89,262,33.97%,1.3
žralok chorvatsko,89,812,10.96%,4.4
new york blackout 2019,87,177,49.15%,1.0
skalicky jaroslav,87,276,31.52%,1.1
koncerty praha,86,"1,584",5.43%,2.8
legios,86,934,9.21%,5.2
ponorka drogy,86,149,57.72%,1.0
radiožurnál sport,85,133,63.91%,1.3
slavkov open 2019,84,"1,054",7.97%,1.1
strycova wimbledon 2019,84,"3,172",2.65%,6.5
žraloci v chorvatsku,82,446,18.39%,2.2
ed sheeran praha 8.7,81,535,15.14%,1.0
puma na útěku,81,"1,466",5.53%,5.4
okamžité platby,79,253,31.23%,2.5
střelba v kostelci nad labem,79,383,20.63%,1.8
ponorka,78,"1,404",5.56%,2.4
střelba v rychnově nad kněžnou,78,425,18.35%,2.8
peter sagan,77,"1,511",5.10%,2.1
cernobyl,76,"2,152",3.53%,4.4
teorie velkého třesku,75,"6,009",1.25%,9.7
nehoda vlak hradec králové,74,201,36.82%,1.4
rychnov nad kněžnou střelba,73,"2,827",2.58%,3.9
zprávy ze světa,72,"1,497",4.81%,5.7
josef koutecký,71,"2,205",3.22%,6.5
dub nad moravou,70,479,14.61%,1.8
chorvatsko žralok,69,530,13.02%,4.2
ed sheeran praha kapacita,69,374,18.45%,2.2
rozhlas zprávy,69,77,89.61%,1.0
sting,69,"1,822",3.79%,6.7
strýcová čtyřhra,69,302,22.85%,2.0
sucho,69,860,8.02%,5.4
boris ščerbina,68,461,14.75%,2.4
bioparox,67,263,25.48%,6.3
edsheeran,67,697,9.61%,2.9
rychnov strelba,67,217,30.88%,1.3
,"59,116","1,548,199",3.82%,6.5

Week Index,Clicks
0000,"50,736"
0001,"8,380"
,"59,116"
