# ----------------------------------------
# iRozhlas
# Queries
# 20190729-20190804
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
počasí,"1,424","251,902",0.57%,2.7
rozhlas,571,"2,878",19.84%,3.4
nehoda humpolec,474,"2,581",18.36%,3.6
humpolec nehoda,437,"2,013",21.71%,3.4
slunovrat,418,"10,102",4.14%,6.6
nehoda humpolec kočárek,349,"4,493",7.77%,2.1
graffiti karluv most,314,"3,891",8.07%,6.9
karluv most graffiti,262,"2,914",8.99%,6.4
pocasi,260,"24,082",1.08%,2.4
horolezci norsko,251,"1,134",22.13%,1.9
i rozhlas,240,267,89.89%,1.0
sibiř požár,208,"1,044",19.92%,3.7
graffiti na karlově mostě,201,"1,448",13.88%,3.8
perseidy 2019,198,"3,730",5.31%,6.9
trollveggen,196,"4,327",4.53%,3.1
rammstein,192,"2,737",7.01%,6.8
dlouhodobá předpověď počasí srpen,191,"1,886",10.13%,2.7
nehoda v humpolci,191,"1,027",18.60%,3.8
slunovrat recenze,190,568,33.45%,1.5
asijský kapr,187,767,24.38%,1.0
vinohradská 12,184,242,76.03%,2.0
karlův most graffiti,177,"2,212",8.00%,6.4
most petrov nad desnou,174,445,39.10%,1.2
chernobyl russian version,172,371,46.36%,2.7
lanový most praha uzavírka,171,417,41.01%,2.0
brexit,166,"1,771",9.37%,4.3
vít novák,161,647,24.88%,1.7
humpolec,159,"1,427",11.14%,2.0
etiopie stromy,150,266,56.39%,1.0
peter sagan,147,"2,614",5.62%,4.9
velké pavlovice muž ve studni,147,"1,430",10.28%,1.2
miloslav černý,142,"2,037",6.97%,4.5
nehoda vlaku,140,882,15.87%,3.4
www.irozhlas,140,158,88.61%,1.0
požár v rusku,138,500,27.60%,2.5
vigantol,136,"1,592",8.54%,6.2
prague pride,132,"2,598",5.08%,1.3
požár na sibiři,130,"1,576",8.25%,5.9
požár sibiř,128,523,24.47%,2.8
zprávy z domova,128,695,18.42%,2.4
desetikoruna z roku 1993,126,261,48.28%,1.1
kapr asijský,126,600,21.00%,1.5
norsko horolezci,125,615,20.33%,1.3
slunovrat film,123,"1,625",7.57%,4.8
izurnal,117,139,84.17%,1.0
zprávy,112,"1,224",9.15%,14
irská pojistka,111,415,26.75%,1.1
vzácné mince,111,276,40.22%,1.0
jakub kalenský,109,458,23.80%,2.6
nehoda d1,109,655,16.64%,3.7
petrov nad desnou most,107,384,27.86%,1.2
rené schreier,106,"1,050",10.10%,2.6
nehoda vlaku s vápnem,102,273,37.36%,1.2
nehoda drobovice,99,736,13.45%,1.8
uzavírka lanový most,97,247,39.27%,2.2
registana,96,661,14.52%,2.8
průměrná mzda 2019,92,411,22.38%,2.3
whaley bridge,92,"1,808",5.09%,1.4
humpolec nehoda kočárek,91,"1,360",6.69%,2.2
irska pojistka brexit,89,236,37.71%,1.0
technoparty cizkov,89,565,15.75%,3.5
horolezci v norsku,88,273,32.23%,1.5
ranč bolka polívky,88,540,16.30%,6.4
vykolejení vlaku mariánské lázně,87,343,25.36%,1.4
muž ve studní velké pavlovice,85,"2,817",3.02%,2.2
odstranění graffiti karlův most,85,"2,713",3.13%,6.0
vykolejeni vlaku marianske lazne,85,286,29.72%,1.5
farma bolka polívky,84,"1,838",4.57%,7.9
neymar,84,"1,704",4.93%,1.9
d1,82,"1,598",5.13%,5.9
fireflies,81,431,18.79%,2.4
petr kellner,81,"1,060",7.64%,3.6
film slunovrat,80,666,12.01%,3.2
počasí srpen,79,298,26.51%,1.4
kotek cimrman,76,894,8.50%,4.0
pocasi srpen,75,207,36.23%,1.2
tour de france 2019,75,"1,332",5.63%,5.0
dálnice d1,74,"1,166",6.35%,5.5
marek prchal,74,"1,200",6.17%,4.5
odstranění graffiti karluv most,74,"3,544",2.09%,6.2
železniční nehoda,74,185,40.00%,1.5
ohen na sibiri,73,209,34.93%,2.7
catcalling vyznam,71,627,11.32%,3.3
farma olšany,71,267,26.59%,5.7
asteroid,70,505,13.86%,4.9
asteroid 2019,70,253,27.67%,2.9
d1 nehoda,70,497,14.08%,3.1
hong kong protesty,70,159,44.03%,1.7
vinohradska 12,70,104,67.31%,2.0
flyboard,69,"1,666",4.14%,2.2
rodičovský příspěvek,69,"1,947",3.54%,7.1
nehoda mariánské lázně,66,284,23.24%,1.8
doprava d1,65,"1,142",5.69%,3.1
rodičovský příspěvek 2020,65,"1,233",5.27%,6.7
český rozhlas,64,"7,172",0.89%,4.4
rusko demonstrace,64,114,56.14%,1.1
kellner,63,590,10.68%,3.0
nejoblíbenější jména,63,178,35.39%,1.1
zasypany ve studni,63,158,39.87%,1.6
černobyl,61,"1,960",3.11%,6.3
,"53,949","1,459,433",3.70%,5.9

Week Index,Clicks
0000,"44,740"
0001,"9,209"
,"53,949"
