# ----------------------------------------
# iRozhlas
# Queries
# 20190121-20190127
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
kvitova dnesni zapas,"1,603","6,887",23.28%,2.7
tenis online,"1,135","11,565",9.81%,2.0
nominace oscar 2019,576,"2,986",19.29%,2.1
skoda kamiq,538,"7,897",6.81%,3.2
kvitová online,342,"5,378",6.36%,2.0
zatmění měsíce 2019,331,"8,301",3.99%,7.4
alena zsuzsová,297,"6,402",4.64%,2.1
škoda kamiq,287,"2,982",9.62%,3.3
krasobruslení 2019,265,"2,488",10.65%,1.4
tenis,265,"2,405",11.02%,1.4
pliskova australian open 2019,252,"2,380",10.59%,2.1
ga pa ledecká,232,"2,520",9.21%,1.5
rozhlas,229,"2,820",8.12%,4.5
australian open,228,"6,409",3.56%,4.7
kvitová online přenos,222,"2,550",8.71%,2.0
petra kvitová,203,"11,829",1.72%,7.3
volby do evropského parlamentu,199,"1,458",13.65%,3.0
me krasobruslení 2019,174,"1,679",10.36%,1.6
brexit,170,"1,862",9.13%,3.6
tenis kvitová,165,"3,869",4.26%,5.0
kamiq,161,"1,968",8.18%,3.8
tenis kvitová online,156,"2,674",5.83%,3.7
nejčastější jména 2018,150,333,45.05%,1.4
i rozhlas,149,183,81.42%,1.2
nominace na oscary 2019,145,925,15.68%,2.7
jiří kubíček,136,456,29.82%,1.2
vigantol,134,648,20.68%,5.0
kvitova online,128,"2,110",6.07%,2.0
fireflies,127,568,22.36%,2.2
alan tomášek,123,555,22.16%,2.1
markéta davidová,122,"9,741",1.25%,5.7
zatmění měsíce 2019 živě,121,219,55.25%,1.0
zprávy,119,"3,005",3.96%,11
volby 2019,116,"1,084",10.70%,3.0
mistrovství evropy v krasobruslení 2019,112,"1,361",8.23%,1.3
online tenis,112,"1,217",9.20%,1.5
bioparox,111,636,17.45%,5.8
kvitová,109,"6,684",1.63%,7.7
tvrdý brexit,108,190,56.84%,1.6
australian open 2019,107,"2,150",4.98%,1.3
zatmění měsíce,107,"3,751",2.85%,5.4
nejoblíbenější jména,104,187,55.61%,1.0
nejvyšší budova světa,101,487,20.74%,1.0
zprávy z domova,101,"1,621",6.23%,4.6
me v krasobruslení 2019,98,893,10.97%,1.6
izurnal,97,127,76.38%,1.0
ennio morricone,96,"3,778",2.54%,5.7
mezislovanština,95,167,56.89%,1.0
australian open prize money,93,289,32.18%,5.5
oscary nominace,93,"1,868",4.98%,1.7
venezuela,93,"1,132",8.22%,3.3
tenis online kvitová,87,"1,974",4.41%,5.2
oscar nominace,85,"1,142",7.44%,2.2
ester ledecká,82,"2,113",3.88%,3.6
nominace na oscara 2019,82,749,10.95%,4.0
marie bastlová,80,276,28.99%,1.0
wsm invest limited,80,414,19.32%,4.8
odmeny na australian open 2019,79,100,79.00%,1.1
prize money australian open,79,166,47.59%,2.4
wsm,78,653,11.94%,7.1
babybox pelhřimov,77,163,47.24%,1.5
babybox,76,"1,680",4.52%,5.5
marketa davidova,76,"9,381",0.81%,7.1
biatlon,75,"1,993",3.76%,3.6
tenis australian open 2019,72,953,7.56%,1.3
kvitova finale australian open,71,"3,902",1.82%,7.0
marketa davidova biatlon,71,"5,600",1.27%,7.1
komedie 2018,70,"5,393",1.30%,7.9
radek kebrle,69,556,12.41%,4.4
karolina pliskova australian open,68,"2,008",3.39%,5.3
olynth ha,68,614,11.07%,2.4
nominace oscar,66,560,11.79%,1.2
upálení na václavském náměstí,66,206,32.04%,3.1
karel kryl norsko,65,160,40.62%,1.8
březina krasobruslení,63,486,12.96%,3.7
ennio morricone praha,63,697,9.04%,3.9
petra kvitova finale australian open,63,"3,038",2.07%,6.0
venezuela prezident,63,283,22.26%,3.7
finale australian open 2019,62,"5,590",1.11%,5.7
vzácné mince,62,188,32.98%,1.3
radkin honzák,59,"2,287",2.58%,6.3
libuše palachová,58,250,23.20%,5.1
makedonie,58,"1,820",3.19%,4.4
nosní sprej olynth,58,"2,872",2.02%,3.9
rudolf kučera,58,364,15.93%,5.3
jackson maine,57,890,6.40%,4.9
církevní restituce,56,873,6.41%,4.2
spadlo letadlo,56,95,58.95%,2.2
český rozhlas,55,"7,897",0.70%,6.4
tomáš horáček,55,330,16.67%,1.5
volby do evropského parlamentu 2019 kandidáti,55,130,42.31%,1.1
zpravy,55,"1,063",5.17%,10
volby do evropského parlamentu 2019,54,316,17.09%,2.3
kvitova,52,"3,244",1.60%,7.6
pervitin,52,"2,106",2.47%,8.3
plíšková williamsová záznam,52,288,18.06%,2.1
živé přenosy tenis,51,"2,332",2.19%,7.8
baxa zeman,50,202,24.75%,2.6
dite v babyboxu,49,100,49.00%,2.9
oscar 2019 nominace,49,433,11.32%,4.0
,"44,866","1,482,139",3.03%,6.0

Week Index,Clicks
0000,"38,475"
0001,"6,391"
,"44,866"
