# ----------------------------------------
# iRozhlas
# Queries
# 20190204-20190210
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
21 savage,"1,175","5,015",23.43%,1.5
most,"1,173","42,764",2.74%,4.1
sablikova zavod dnes,"1,001","3,143",31.85%,1.8
biatlon kanada,820,"3,113",26.34%,2.7
farma bolka polívky,691,"6,331",10.91%,8.3
serial most,552,"15,265",3.62%,2.8
matti nykänen,447,"7,901",5.66%,4.1
sala,412,"6,000",6.87%,7.0
most!,400,"9,228",4.33%,3.4
u moťáka,391,"8,329",4.69%,3.7
petr oliva,381,"6,003",6.35%,3.4
biatlon canmore,363,"2,252",16.12%,1.3
biatlon program,312,"1,837",16.98%,1.1
jizerská 50,299,"9,241",3.24%,2.8
rozhlas,292,"2,760",10.58%,3.5
restaurace u moťáka,276,"5,990",4.61%,4.1
spalnicky,244,"2,311",10.56%,1.1
spalničky,217,"4,347",4.99%,1.1
rychlobruslení,213,"3,452",6.17%,6.3
venezuela krize,205,864,23.73%,2.1
seriál most,193,"8,496",2.27%,4.2
martin hofmann,186,"9,547",1.95%,2.8
zprávy,175,"6,591",2.66%,8.6
předpověď počasí únor,172,"2,154",7.99%,2.1
martina sáblíková,163,"7,344",2.22%,4.3
i rozhlas,161,188,85.64%,1.1
biatlon,160,"1,530",10.46%,4.0
jizerská padesátka,160,"1,490",10.74%,2.1
severka most,158,"1,219",12.96%,2.7
fireflies,153,616,24.84%,2.0
csfd,151,"75,399",0.20%,2.7
ms v rychlobruslení 2019,144,"1,668",8.63%,2.9
flamengo,139,592,23.48%,3.3
nemoc šílených krav,139,"3,130",4.44%,3.6
nejčastější jména 2018,138,279,49.46%,1.4
mistrovství světa v rychlobruslení 2019,135,686,19.68%,1.5
volby 2019,126,803,15.69%,2.6
spalnicky 2019,124,411,30.17%,3.3
brexit,120,682,17.60%,3.2
izurnal,112,131,85.50%,1.0
nejoblíbenější jména,112,220,50.91%,1.0
hnutí hlas,110,799,13.77%,3.6
superbowl,109,903,12.07%,2.0
dycky most,103,"3,679",2.80%,1.1
sablikova ms 2019,103,919,11.21%,2.0
kauza metanol,102,836,12.20%,4.8
metanol kauza,102,"1,182",8.63%,4.6
sáblíková,100,"4,665",2.14%,5.0
na střeše,99,"5,040",1.96%,5.0
sparta – bohemians,96,"1,210",7.93%,2.4
český rozhlas,94,"8,029",1.17%,4.9
volby do evropského parlamentu,94,"1,121",8.39%,3.7
vzácné mince,91,253,35.97%,1.2
medvěd beskydy,89,373,23.86%,3.1
sala letadlo,87,759,11.46%,4.6
zprávy z domova,87,"1,237",7.03%,4.3
matti nykanen,86,"1,536",5.60%,7.2
nejvyšší budova světa,86,479,17.95%,1.0
emiliano sala,84,725,11.59%,5.7
sablikova,78,"2,923",2.67%,3.4
ms rychlobruslení 2019,75,"1,853",4.05%,2.6
biatlon kanada 2019,74,399,18.55%,4.1
bioparox,74,612,12.09%,5.7
petr oliva hlas,74,"1,459",5.07%,2.8
radim žondra,74,"1,728",4.28%,5.3
nehoda holice,72,120,60.00%,1.6
sáblíková ms 2019,72,479,15.03%,1.2
sáblíková ms 2019 video,71,533,13.32%,1.6
u motaka,68,"1,333",5.10%,3.8
zoot insolvence,68,441,15.42%,3.7
jackson maine,66,967,6.83%,4.4
matti nykänen smrt,66,261,25.29%,2.7
most serial,65,"4,775",1.36%,4.5
zpravy,62,"1,198",5.18%,9.9
restaurace severka most,61,543,11.23%,5.0
tři oříšky pro popelku,61,"6,340",0.96%,4.4
tvrdý brexit,60,133,45.11%,1.3
babiš černošice,59,233,25.32%,1.4
canmore,59,"2,863",2.06%,2.3
polské maso,58,463,12.53%,4.5
sparta bohemians,58,"3,179",1.82%,4.5
most severka,57,336,16.96%,2.0
roman moťovský,55,429,12.82%,4.7
transgas demolice,55,120,45.83%,1.1
holice nehoda,54,103,52.43%,1.2
most seriál,54,"1,873",2.88%,4.3
ester ledecká super g,52,"2,870",1.81%,5.8
poslední aristokratka film,52,903,5.76%,6.0
epidemie spalniček,50,191,26.18%,3.5
wellbutrin výpadek,50,75,66.67%,1.2
hnuti hlas,49,462,10.61%,3.8
sáblíková 5000m ms 2019 video,49,228,21.49%,1.7
bohemians,48,753,6.37%,3.4
jizerska 50,48,"1,449",3.31%,2.5
sala emiliano,48,321,14.95%,1.3
sablikova ms 2019 video,47,345,13.62%,2.6
pikok,46,357,12.89%,3.8
zprávy rozhlas,46,50,92.00%,1.0
kauza vidkun,45,111,40.54%,1.7
markéta davidová,45,"4,587",0.98%,3.8
,"44,975","1,299,211",3.46%,5.8

Week Index,Clicks
0000,"37,583"
0001,"7,392"
,"44,975"
