# ----------------------------------------
# iRozhlas
# Queries
# 20190819-20190825
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
amazonský prales,"1,644","18,466",8.90%,3.6
billie eilish,"1,063","24,284",4.38%,7.7
billie eilish praha,"1,057","10,273",10.29%,3.5
rozhlas,869,"2,941",29.55%,2.8
adam ondra,629,"5,385",11.68%,5.5
rick dalton,621,"2,935",21.16%,3.3
požár na sibiři,559,"4,212",13.27%,2.4
tatry blesk,494,"2,454",20.13%,4.4
blesk v tatrách,487,"1,063",45.81%,1.3
tatry blesky,382,"6,535",5.85%,3.2
koncert metallica letňany,337,"2,725",12.37%,1.4
tatry,314,"2,475",12.69%,2.8
metallica praha,312,"2,588",12.06%,5.8
amazonie,302,"2,902",10.41%,2.5
amazonie požár,295,"1,623",18.18%,1.8
bouře v tatrách,276,698,39.54%,1.1
pozar amazonie,263,"1,879",14.00%,1.9
vinohradská 12,259,338,76.63%,1.9
dopravní nehoda třešť,249,"1,690",14.73%,1.0
titanic,243,"5,283",4.60%,3.1
tatry bouřka,240,"1,180",20.34%,1.8
i rozhlas,236,259,91.12%,1.0
vigantol,236,"1,512",15.61%,4.6
sibir v plamenech,229,"2,791",8.20%,6.3
blesk tatry,224,"1,052",21.29%,3.7
boure v tatrach,223,571,39.05%,1.3
amazonský prales požár,217,"2,710",8.01%,2.2
neštěstí v tatrách,215,427,50.35%,1.3
amazonsky prales,210,"2,351",8.93%,4.8
rusko vybuch,209,752,27.79%,2.4
smartwings,205,"3,446",5.95%,3.3
požár amazonie,191,"1,322",14.45%,1.8
požár sibiř,187,"1,348",13.87%,2.6
požár v amazonii,185,"1,462",12.65%,2.8
blesk,183,"92,547",0.20%,3.3
výbuch v rusku,181,429,42.19%,1.8
g7,169,"2,764",6.11%,4.1
nestesti v tatrach,169,335,50.45%,1.5
blesk v tatrach,163,553,29.48%,2.8
amazon pozar,154,313,49.20%,1.3
bourka v tatrach,150,"1,147",13.08%,3.1
zdeněk blahut,150,"1,493",10.05%,2.0
nehoda třešť,148,550,26.91%,2.6
požár amazonský prales,147,"2,294",6.41%,1.6
jodové tablety,142,"3,286",4.32%,3.0
koncert billie eilish,138,"2,334",5.91%,4.0
vinohradska 12,137,178,76.97%,2.0
brexit datum,135,309,43.69%,1.5
zprávy z domova,128,688,18.60%,2.8
lidl mák,127,176,72.16%,1.2
pozar v amazonii,127,"1,048",12.12%,2.5
izurnal,125,145,86.21%,1.0
amazonsky prales pozar,124,654,18.96%,2.1
billie eilish tourettův syndrom,116,"3,778",3.07%,3.1
trump gronsko,116,645,17.98%,4.7
lidl mak,115,186,61.83%,1.7
rodičovský příspěvek 2020,115,"1,342",8.57%,4.5
21.8.1969,114,633,18.01%,2.0
dopravní nehoda čenkov,114,828,13.77%,1.1
koněv,113,"3,193",3.54%,3.0
bouřka v tatrách,112,"1,187",9.44%,4.1
rodičovský příspěvek,112,"2,516",4.45%,6.6
černošice vila radovana krejčíře,110,"5,857",1.88%,5.4
vybuch rusko,110,413,26.63%,2.5
banát,109,"1,179",9.25%,2.4
blesk zabil v tatrach,108,704,15.34%,5.8
letní sídlo edvarda beneše,106,161,65.84%,1.0
amazonsky prales hori,104,"1,160",8.97%,4.7
brazilie pozar,103,277,37.18%,1.4
tatry bourka,101,437,23.11%,2.0
průměrná mzda,100,828,12.08%,3.1
zakopane,100,578,17.30%,1.7
metallica praha 2019,98,863,11.36%,6.4
volyně,98,483,20.29%,2.5
polsko blesk,97,354,27.40%,4.2
průměrná mzda 2019,97,449,21.60%,2.1
nehoda u sudoměřic,96,181,53.04%,1.2
nehoda sudomerice,95,160,59.38%,1.3
krvavá nevěsta,94,"8,882",1.06%,7.4
sibiř požár,94,"1,299",7.24%,3.0
vzácné mince,91,241,37.76%,1.0
blake schilb,88,555,15.86%,2.9
amazonie pozar,87,433,20.09%,2.2
metallica letnany,87,355,24.51%,3.0
brazílie,86,695,12.37%,2.0
milion chvilek,86,"3,971",2.17%,6.7
zprávy,86,783,10.98%,18
požáry amazonie,84,"1,917",4.38%,1.2
hoří amazonie,82,634,12.93%,4.2
irská pojistka,82,"1,957",4.19%,7.1
pozar na sibiri,81,428,18.93%,1.9
billie eilish koncert,80,"2,136",3.75%,5.4
radiace rusko,80,268,29.85%,2.3
www.irozhlas,80,84,95.24%,1.0
tragedie v tatrach,79,195,40.51%,1.2
blesky tatry,78,"1,975",3.95%,3.8
krejčířova vila,78,"3,808",2.05%,4.6
amazonské pralesy,77,341,22.58%,2.3
bourka tatry,77,262,29.39%,2.0
kanárské ostrovy požár,77,172,44.77%,1.4
,"66,392","1,582,694",4.19%,6.0

Week Index,Clicks
0000,"57,885"
0001,"8,507"
,"66,392"
