# ----------------------------------------
# iRozhlas
# Queries
# 20190101-20190106
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
ohňostroj praha,"2,329","12,210",19.07%,2.4
turné čtyř můstků,996,"4,321",23.05%,2.7
novorocni ohnostroj praha,892,"2,832",31.50%,2.0
ohnostroj praha,769,"3,136",24.52%,2.3
novoroční ohňostroj praha 2019,667,"18,321",3.64%,2.5
thajsko boure,475,"2,959",16.05%,5.0
sčítání ptactva,466,"2,987",15.60%,1.7
pabuk,389,"3,177",12.24%,6.4
novoroční ohňostroj praha 2019 online,385,984,39.13%,1.2
novoroční ohňostroj,362,"4,607",7.86%,2.9
kubera projev,353,"1,972",17.90%,2.6
thajsko,344,"4,327",7.95%,4.5
ohňostroj praha 2019,331,"6,769",4.89%,3.2
novorocni ohnostroj 2019,280,"11,267",2.49%,3.4
novoroční ohňostroj praha,271,858,31.59%,1.4
novorocni ohnostroj,253,"1,332",18.99%,1.3
ohnostroj,241,"5,198",4.64%,3.3
praha ohnostroj,229,"1,227",18.66%,2.7
ohnostroj praha online,228,788,28.93%,1.6
turné čtyř můstků kvalifikace,225,"1,300",17.31%,1.1
rozhlas,200,"2,197",9.10%,2.7
skoky na lyžích 2019,200,476,42.02%,1.1
pražský novoroční ohňostroj,191,"3,002",6.36%,2.3
skoky na lyžích bischofshofen 2019,178,262,67.94%,1.0
scitani ptactva,173,"1,064",16.26%,4.6
skoky na lyžích,173,"1,144",15.12%,2.7
pravoslavné vánoce,170,649,26.19%,2.3
nejčastější jména 2018,168,303,55.45%,1.1
tropická bouře pabuk,166,"7,515",2.21%,4.6
i rozhlas,165,188,87.77%,1.0
ultima thule,164,"2,663",6.16%,4.6
thajsko počasí,163,"1,369",11.91%,2.7
beautiful boy,154,"4,723",3.26%,5.5
bischofshofen,150,843,17.79%,1.1
praha ohnostroj 2019,148,657,22.53%,2.0
pabuk thajsko,147,"1,294",11.36%,3.7
thajsko bouře,146,"1,253",11.65%,4.8
praha ohnostroj 2019 online,142,439,32.35%,1.1
ohňostroj,138,"2,879",4.79%,3.5
přeštice výbuch,138,"2,404",5.74%,1.8
největší slovák,136,"1,328",10.24%,5.2
projev předsedy senátu,136,328,41.46%,1.3
nejoblíbenější jména,133,280,47.50%,1.0
ohňostroj praha 2019 online,130,318,40.88%,1.0
turné čtyř můstků 2019 program,130,208,62.50%,1.0
radkin honzák,127,"1,311",9.69%,4.5
volby 2019,124,769,16.12%,3.2
pravoslavné vánoce 2019,118,325,36.31%,2.4
bouře thajsko,116,573,20.24%,3.6
scitani ptaku,116,514,22.57%,1.7
thajsko pabuk,115,"1,475",7.80%,2.9
ejpovický tunel,114,474,24.05%,3.0
český rozhlas,113,"6,651",1.70%,3.5
nejvyšší budova světa,110,701,15.69%,2.0
turné čtyř můstků 2019,104,375,27.73%,2.3
digoxin,102,"1,040",9.81%,4.8
novorocni ohnostroj 2019 online,100,301,33.22%,1.0
novoroční projev kubery,99,532,18.61%,2.7
projev kubery,98,429,22.84%,2.0
scitani ptactva na krmitku,95,336,28.27%,1.0
skoky na lyžích turné čtyř můstků,95,275,34.55%,3.1
boure thajsko,94,771,12.19%,4.5
nejvetsi slovak,94,459,20.48%,4.2
boure pabuk,93,604,15.40%,3.8
zprávy z domova,93,"1,211",7.68%,5.1
izurnal,92,117,78.63%,1.0
novoroční ohnostroj,91,557,16.34%,2.1
polsko úniková hra,91,253,35.97%,1.4
sčítání ptáků,91,687,13.25%,3.0
ptačí hodinka,90,"1,102",8.17%,2.1
zkáza dejvického divadla,90,"1,932",4.66%,4.9
bouře pabuk,88,455,19.34%,3.5
ohnostroj online,88,331,26.59%,1.6
ohnostroj praha 2019 online,88,241,36.51%,1.1
výbuch přeštice,88,"1,606",5.48%,1.5
nejoblíbenější jména 2018,86,366,23.50%,2.2
pražský ohňostroj 2019,86,545,15.78%,2.1
zprávy,83,"3,812",2.18%,8.1
novoroční ohnostroj praha,82,305,26.89%,2.3
ohňostroj praha online,80,255,31.37%,1.1
turné 4 můstků bischofshofen,80,117,68.38%,1.0
bioparox,79,669,11.81%,6.3
turné 4 můstků,77,208,37.02%,1.3
vondráček projev,77,146,52.74%,1.3
online ohnostroj praha,74,180,41.11%,1.2
komedie 2018,73,"5,123",1.42%,7.6
nejlepší filmy 2018,73,"6,242",1.17%,7.3
kvalifikace bischofshofen,72,114,63.16%,1.1
projev vondráčka,70,124,56.45%,1.1
ohňostroj praha 2019 živě,69,518,13.32%,2.9
kvalifikace skoky na lyžích,68,161,42.24%,2.2
odkud bude videt ohnostroj 2019,68,128,53.12%,1.0
pervitin,68,"2,103",3.23%,7.9
prazsky ohnostroj 2019,68,"1,007",6.75%,3.1
boure v thajsku,67,581,11.53%,5.2
nejčastější jména,67,369,18.16%,2.6
ohnostroj praha 2019,67,998,6.71%,3.4
počítání ptáků,66,98,67.35%,1.1
předseda senátu kubera,66,678,9.73%,1.4
tropická bouře thajsko,65,429,15.15%,4.1
,"48,452","1,019,778",4.75%,6.2

Week Index,Clicks
0000,"40,908"
0001,"7,544"
,"48,452"
