# ----------------------------------------
# iRozhlas
# Queries
# 20190325-20190331
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
rammstein deutschland,"1,903","7,192",26.46%,1.8
článek 13,"1,271","23,580",5.39%,1.4
rozhlas,"1,236","3,094",39.95%,2.6
rammstein,"1,204","6,438",18.70%,1.5
změna času,933,"8,377",11.14%,3.4
slovensko volby,913,"6,219",14.68%,4.3
daniel nekonečný,742,"33,521",2.21%,7.2
rodičovský příspěvek,617,"4,150",14.87%,3.0
dan nekonečný,348,"14,593",2.38%,6.4
rammstein - deutschland,346,"1,307",26.47%,1.7
radkin honzák,325,"5,961",5.45%,4.6
rodičovský příspěvek 2019,310,"1,309",23.68%,1.3
rodicovsky prispevek navyseni,306,"1,028",29.77%,1.5
volby na slovensku,288,"2,098",13.73%,2.9
regina květoňová,277,"1,216",22.78%,2.0
volby slovensko,253,"2,221",11.39%,5.2
dan nekonečný koncerty 2019,252,"1,788",14.09%,2.1
prezidentské volby slovensko,235,"3,600",6.53%,5.7
letní čas,229,"7,356",3.11%,6.3
volby ukrajina,211,"1,408",14.99%,3.6
i rozhlas,191,220,86.82%,1.0
brexit,176,"1,806",9.75%,4.0
letni cas,164,"2,667",6.15%,6.5
izurnal,155,185,83.78%,1.0
michael jackson,148,"1,127",13.13%,1.3
deutschland rammstein,140,"1,205",11.62%,1.9
venezuela,133,"3,364",3.95%,4.5
zvýšení rodičovského příspěvku,132,356,37.08%,2.7
rodicovsky prispevek,125,798,15.66%,2.7
vigantol,122,"1,495",8.16%,8.4
změna času zrušení,120,515,23.30%,1.0
lukáš nečesaný,119,"1,869",6.37%,4.6
střídání času,117,"1,141",10.25%,2.5
zprávy,114,"6,234",1.83%,9.4
rodičovský příspěvek 2020,113,381,29.66%,1.1
bioparox,111,443,25.06%,5.2
konec střídání času,111,439,25.28%,2.5
zpravy,111,"4,596",2.42%,8.0
volby na ukrajině 2019,110,552,19.93%,3.0
volby ukrajina 2019,110,592,18.58%,4.3
čaputová šefčovič,109,"2,420",4.50%,4.5
nhl praha,108,530,20.38%,3.2
nhl v praze vstupenky,108,602,17.94%,2.4
šefčovič čaputová,104,"2,415",4.31%,3.1
volby do evropského parlamentu,102,"3,442",2.96%,5.2
daniel nekonecny,100,"3,543",2.82%,6.7
volby na slovensku 2019 online,100,374,26.74%,1.1
rodičovský příspěvek zvýšení,99,311,31.83%,2.8
boeing 737 max,97,"1,428",6.79%,3.8
krvácej pro trůn,97,861,11.27%,2.4
kdo tady blbne,92,762,12.07%,2.1
zmena casu,92,"1,396",6.59%,2.4
ukrajina volby,91,826,11.02%,4.6
fireflies,89,433,20.55%,2.5
nejoblíbenější jména,89,169,52.66%,1.0
fantastická zvířata,88,"5,406",1.63%,5.8
prezidentské volby ukrajina 2019,87,438,19.86%,2.5
ukrajina volby 2019,87,480,18.12%,2.3
zprávy z domova,86,"1,267",6.79%,4.2
lukas necesany,82,813,10.09%,5.2
slovenské volby,80,"2,608",3.07%,6.3
tenis miami 2019,76,"1,203",6.32%,2.1
listky na nhl v praze 2019,74,268,27.61%,1.8
slovensko volby online,72,358,20.11%,2.1
nečesaný,71,"1,361",5.22%,6.8
volodymyr zelenskyj,71,"1,427",4.98%,3.7
změna času letní čas,70,"1,591",4.40%,1.4
navýšení rodičovského příspěvku,68,257,26.46%,3.7
jan františek uher,66,891,7.41%,2.4
ukrajina,66,"3,290",2.01%,5.2
prezidentske volby slovensko,65,572,11.36%,4.8
babiš,63,778,8.10%,5.9
slovensko prezidentské volby,63,"1,137",5.54%,6.5
šum svistu,63,"3,682",1.71%,3.3
brunej,62,"3,414",1.82%,3.4
český rozhlas,62,"7,220",0.86%,4.6
izrael,62,"1,581",3.92%,4.9
platy učitelů,62,451,13.75%,2.6
manželství pro všechny,61,217,28.11%,2.1
volby na ukrajině,61,396,15.40%,3.4
manželství homosexuálů,60,315,19.05%,1.7
nový zéland,60,"1,071",5.60%,2.7
csfd,59,"58,268",0.10%,3.4
český lev 2019 vítězové,58,"1,456",3.98%,4.6
karolína milerová,58,"1,235",4.70%,5.0
marta nováková,58,"1,013",5.73%,2.9
tvrdý brexit,57,240,23.75%,3.5
eurovolby,56,355,15.77%,4.2
vzácné mince,56,127,44.09%,1.0
nhl v praze,54,"1,125",4.80%,6.7
rozhlas zprávy,54,56,96.43%,1.0
volebni ucast slovensko 2019,54,174,31.03%,1.9
wta miami,53,"1,367",3.88%,2.5
duka,52,271,19.19%,2.5
volby prezidenta slovensko,52,"7,836",0.66%,9.1
nejvyšší budova světa,51,355,14.37%,1.0
prezidentské volby slovensko 2019,51,"1,033",4.94%,4.6
sk slavia praha,51,"1,103",4.62%,2.6
ukrajinské volby 2019,51,201,25.37%,2.6
jiří stráský,50,162,30.86%,1.5
,"52,833","1,581,167",3.34%,5.4

Week Index,Clicks
0000,"43,977"
0001,"8,856"
,"52,833"
