# ----------------------------------------
# iRozhlas
# Queries
# 20191028-20191103
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
jitka šuranská,"2,646","27,758",9.53%,7.3
jitka šuranská nemoc,"1,862","7,445",25.01%,1.7
openload,985,"3,811",25.85%,1.5
marcel puvák,941,"7,434",12.66%,4.2
marcel puvak,638,"4,944",12.90%,5.4
poslední aristokratka,491,"30,114",1.63%,7.6
počasí,443,"350,035",0.13%,6.5
rozhlas,395,"3,240",12.19%,3.2
jitka suranska nemoc,384,"1,716",22.38%,1.4
vinohradská 12,377,492,76.63%,1.0
jitka suranska,361,"3,703",9.75%,9.4
stávka učitelů,331,"11,308",2.93%,6.4
epstein,313,"2,840",11.02%,3.4
jan masaryk,313,"5,728",5.46%,4.1
netflix,313,"35,926",0.87%,2.4
jana masaryka,271,"1,909",14.20%,1.2
jelení příkop,261,741,35.22%,4.5
primark praha,252,"2,499",10.08%,7.2
houslistka jitka šuranská,243,"6,723",3.61%,8.5
účtenkovka,220,"25,994",0.85%,2.7
csfd,217,"149,080",0.15%,2.4
i rozhlas,206,248,83.06%,1.0
streamango,201,964,20.85%,6.5
nehoda barrandov,195,421,46.32%,1.2
jana drbohlavová,192,"10,025",1.92%,8.3
volební preference,182,463,39.31%,2.8
kněz dětmarovice,172,507,33.93%,2.2
www.irozhlas,168,174,96.55%,1.0
státní vyznamenání 2019,159,"3,874",4.10%,4.7
šuranská,159,"1,756",9.05%,8.1
zprávy z domova,156,811,19.24%,2.2
marcel puvák kněz,150,"3,094",4.85%,3.0
puvak marcel,141,749,18.83%,3.8
marcel puvák dětmarovice,138,"1,621",8.51%,1.8
brexit,132,"3,431",3.85%,6.3
roman kraus,129,382,33.77%,1.6
explosia,125,"1,693",7.38%,5.7
rozdeleni svobodou,124,170,72.94%,1.0
conor mcgregor,121,"2,098",5.77%,6.5
izurnal,116,139,83.45%,1.0
vinohradska 12,116,150,77.33%,1.1
platy učitelů 2020,114,788,14.47%,2.0
rodičovský příspěvek,111,850,13.06%,2.5
vzácné mince,111,307,36.16%,1.0
cena za štěstí,109,"10,363",1.05%,9.3
puvak,109,901,12.10%,3.9
stávka školy,109,"5,984",1.82%,3.8
zprávy,109,819,13.31%,17
rozděleni svobodou,105,127,82.68%,1.0
dan přibáň,104,631,16.48%,3.8
jitka šuranská trio,102,984,10.37%,9.1
ecoquantum saver,101,190,53.16%,3.4
pocasi,100,"26,549",0.38%,6.3
suranska nemoc,97,271,35.79%,1.1
knez z detmarovic,96,358,26.82%,2.3
topserialy,92,"2,549",3.61%,2.6
jan masaryk smrt,91,861,10.57%,3.0
puvák,90,818,11.00%,3.0
vigantol,90,"2,031",4.43%,6.8
zeman zdravotní stav,90,427,21.08%,1.6
kněz marcel puvák,89,"1,903",4.68%,2.8
bioparox,88,347,25.36%,5.2
barrandov nehoda,86,140,61.43%,1.7
knez detmarovice,85,331,25.68%,5.7
stávka učitelů 2019,85,"3,364",2.53%,6.7
vyznamenání 2019,85,"1,974",4.31%,4.0
k barrandovu,82,150,54.67%,2.0
bohdan pomahač,80,"1,281",6.25%,3.9
drbohlavová,77,"3,627",2.12%,8.4
jeleni prikop vstup,77,88,87.50%,1.1
výbuch explosia pardubice,76,"2,199",3.46%,4.5
hana lipovská,75,779,9.63%,4.8
vojenská přísaha 2019,75,291,25.77%,2.5
desetikoruna 1993,74,195,37.95%,1.8
suranska jitka,73,585,12.48%,7.1
synthesia pardubice vybuch,73,357,20.45%,3.5
zeman,73,"4,429",1.65%,8.2
nejoblíbenější jména,72,281,25.62%,2.0
platy učitelů,72,"2,247",3.20%,5.8
šibík výstava,71,136,52.21%,1.0
smrt jana masaryka,70,509,13.75%,3.9
detmarovice knez,68,212,32.08%,4.2
dobroslav trnka,68,398,17.09%,5.2
durynsko,68,"1,500",4.53%,2.9
prisaha vojaku 2019,67,185,36.22%,1.1
herečka jana drbohlavová,66,"5,647",1.17%,9.0
jitka šuranska,66,513,12.87%,7.6
knez marcel puvak,66,688,9.59%,3.3
pardubice vybuch,66,332,19.88%,2.9
eco quantum saver,65,218,29.82%,2.8
jeleni prikop,65,173,37.57%,5.2
zemrela houslistka,65,391,16.62%,3.3
vojenská přísaha,64,495,12.93%,1.5
jordie lunn,63,127,49.61%,2.7
státní vyznamenání 2018,63,144,43.75%,1.0
vybuch v pardubicich,63,132,47.73%,1.0
jan masaryk nahravka,62,139,44.60%,1.1
jaromír jágr,62,"1,419",4.37%,4.7
zemřela houslistka,62,387,16.02%,3.6
miloš zeman,61,"8,216",0.74%,8.5
,"60,651","2,119,840",2.86%,6.5

Week Index,Clicks
0000,"52,924"
0001,"7,727"
,"60,651"
