# ----------------------------------------
# iRozhlas
# Queries
# 20190225-20190303
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
seznam,"1,040","499,319",0.21%,3.3
rozhlas,824,"2,548",32.34%,2.5
počasí,525,"40,223",1.31%,2.1
bedřich smetana,452,"43,661",1.04%,2.0
sáblíková,402,"4,560",8.82%,4.6
sablikova svetovy rekord,358,"3,920",9.13%,1.4
sablikova,272,"2,611",10.42%,3.3
martina sáblíková,251,"6,000",4.18%,4.7
jiří pomeje,193,"10,562",1.83%,6.3
google,184,"105,503",0.17%,3.0
nejoblíbenější jména,163,288,56.60%,1.0
pozar michle,162,308,52.60%,1.0
spacex,157,"2,373",6.62%,2.1
požár michle,155,419,36.99%,1.2
sáblíková 2019,154,725,21.24%,3.2
severka most,151,"2,107",7.17%,3.7
vasův běh,151,"1,747",8.64%,2.6
první jarní den 2019,143,"1,229",11.64%,1.3
ulozto,140,"121,575",0.12%,3.9
i rozhlas,135,169,79.88%,1.1
prezidentské volby slovensko,125,790,15.82%,2.5
zprávy,124,"3,792",3.27%,8.8
vstupenky česko brazílie,122,654,18.65%,2.4
volby do evropského parlamentu 2019,120,"1,893",6.34%,3.1
nejčastější jména 2018,118,267,44.19%,1.6
izurnal,114,135,84.44%,1.0
česko brazílie,113,"1,024",11.04%,4.2
peta,109,"2,324",4.69%,5.2
michelinská hvězda,106,"1,046",10.13%,3.8
jackson maine,104,"1,180",8.81%,3.6
michal šnajdr,101,735,13.74%,4.4
dycky most,98,"4,492",2.18%,4.3
rychlobruslení,94,"1,445",6.51%,2.5
fireflies,93,449,20.71%,2.2
me v atletice 2019,91,979,9.30%,1.2
most,89,"19,226",0.46%,9.2
most posledni dil,89,"1,718",5.18%,4.0
cesko brazilie vstupenky,84,330,25.45%,2.3
pilsen steel,84,216,38.89%,3.2
zprávy z domova,80,"1,233",6.49%,5.2
slovensko prezidentské volby,79,354,22.32%,2.7
nejvyšší budova světa,78,457,17.07%,1.0
brankář chelsea,76,193,39.38%,2.1
ester ledecká,75,"2,211",3.39%,3.2
karel kryl,75,"5,166",1.45%,6.2
krevní doping,73,"1,069",6.83%,3.9
restaurace severka most,70,"1,043",6.71%,1.9
biatlon,69,918,7.52%,2.0
karlov,68,276,24.64%,1.2
sáblíková ms,68,793,8.58%,3.0
první jarní den,66,"2,531",2.61%,4.1
zelená kniha,65,"8,598",0.76%,5.7
csfd,64,"73,156",0.09%,2.1
vzácné mince,63,199,31.66%,1.1
halové mistrovství evropy v atletice 2019,61,613,9.95%,1.3
transgas demolice,61,169,36.09%,1.2
doping,60,351,17.09%,2.5
rychlobruslení ms 2019,59,"1,439",4.10%,1.9
eurovolby 2019,57,511,11.15%,4.1
český rozhlas,56,"7,662",0.73%,4.6
chelsea,56,"1,197",4.68%,4.3
petra kvitová,55,"1,236",4.45%,4.5
výpadek eet,55,122,45.08%,2.6
space x,53,601,8.82%,3.6
sledovanost most,52,497,10.46%,3.9
jaromír landsman,51,560,9.11%,1.9
most sledovanost,51,506,10.08%,4.3
lanovka karlov,50,78,64.10%,1.9
poltoranin,49,240,20.42%,10
pomeje,48,"4,542",1.06%,8.2
volby 2019,48,"1,456",3.30%,5.0
volby prezidenta slovensko,47,283,16.61%,2.6
karlov lanovka,46,90,51.11%,2.1
zpravy,45,"1,304",3.45%,10
babiš,44,586,7.51%,3.2
michle pozar,44,84,52.38%,1.0
prezidentske volby 2019,44,565,7.79%,2.2
volby do evropského parlamentu 2019 kandidáti,44,230,19.13%,1.8
jiří pecha,43,"3,544",1.21%,8.2
ms sáblíková,43,695,6.19%,1.9
rozhlas zprávy,43,50,86.00%,1.0
severka,43,650,6.62%,5.4
brexit,42,608,6.91%,3.5
most severka,42,566,7.42%,3.8
nejčastější jména,42,378,11.11%,3.5
volby do evropského parlamentu,42,772,5.44%,4.9
ivan david,41,690,5.94%,1.8
kauza metanol,41,129,31.78%,2.5
kepa arrizabalaga,41,679,6.04%,5.2
sáblíková program,41,191,21.47%,1.6
vltava,41,494,8.30%,3.5
91. ročník udílení oscarů,40,"7,892",0.51%,7.5
droga krokodýl,40,180,22.22%,1.8
tvrdý brexit,40,101,39.60%,1.1
alena zsuzsová,39,348,11.21%,4.0
čaputová,39,"1,207",3.23%,5.8
michelinská hvezda,39,437,8.92%,3.8
uložto,39,"29,256",0.13%,4.0
česko brazílie vstupenky,38,317,11.99%,4.3
pervitin,38,"1,847",2.06%,9.6
,"36,941","2,090,354",1.77%,4.9

Week Index,Clicks
0000,"30,266"
0001,"6,675"
,"36,941"
