# ----------------------------------------
# iRozhlas
# Queries
# 20191104-20191110
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
stávka učitelů,626,"19,214",3.26%,7.2
vemola vs attila datum,565,"1,412",40.01%,1.3
vzácné mince,552,"4,313",12.80%,3.7
vzacna 10 koruna,496,839,59.12%,1.1
rozhlas,407,"3,243",12.55%,3.4
mma,406,"5,237",7.75%,4.9
stávka učitelů 2019 seznam skol,370,"1,805",20.50%,1.5
primark praha,352,"2,309",15.24%,6.0
seznam stavkujicich skol,341,637,53.53%,2.0
vinohradská 12,315,442,71.27%,1.0
seznam stávkujících škol,290,647,44.82%,1.6
ženská na vrcholu,287,"13,505",2.13%,6.3
bitcoin revolution,252,509,49.51%,4.6
stávka učitelů seznam škol,245,"1,366",17.94%,3.9
i rozhlas,242,281,86.12%,1.0
andre gomes,233,"1,314",17.73%,1.3
desetikoruna 1993,222,817,27.17%,2.2
csfd,199,"127,950",0.16%,2.2
platy učitelů,194,"1,642",11.81%,4.2
rozděleni svobodou,182,243,74.90%,1.0
petr pavel,173,"11,768",1.47%,7.8
rozdeleni svobodou,166,241,68.88%,1.0
vevio recenze obchodu,161,"2,494",6.46%,7.0
zprávy z domova,152,816,18.63%,2.3
www.irozhlas,151,163,92.64%,1.0
izurnal,147,170,86.47%,1.0
seznam skol stavka,145,472,30.72%,1.8
kandidáti na prezidenta,143,383,37.34%,2.1
ženská na vrcholu recenze,138,573,24.08%,3.3
mma zapas,130,540,24.07%,1.5
seznam škol ve stávce,129,388,33.25%,2.7
jaroslav flegr rh faktor,127,274,46.35%,1.9
šibík výstava,124,228,54.39%,1.0
brexit,123,"1,345",9.14%,3.1
10 kč 1993,120,232,51.72%,1.1
vinohradska 12,119,154,77.27%,1.1
zprávy,119,"2,489",4.78%,9.8
bioparox,112,385,29.09%,4.8
epstein,112,"2,228",5.03%,4.9
zenska na vrcholu,107,"4,143",2.58%,7.3
vzácná desetikoruna 1995,104,206,50.49%,1.5
stávka učitelů 2019,100,"2,510",3.98%,6.0
černý kašel,97,"2,039",4.76%,8.8
stávka učitelů 2019 seznam škol,97,553,17.54%,4.1
desetikoruna 1995,94,220,42.73%,1.8
průměrný plat,91,678,13.42%,3.8
reverse charge,90,452,19.91%,3.5
17. listopad 1989,89,"3,875",2.30%,7.9
kandidáti na prezidenta 2023,88,195,45.13%,1.8
stavka ucitelu seznam skol,88,497,17.71%,3.4
dan přibáň,87,512,16.99%,3.7
vevio,87,"4,534",1.92%,7.1
zenska na vrcholu recenze,87,368,23.64%,3.4
explosia pardubice,83,423,19.62%,5.6
seznam stavkujicich skol 2019,76,186,40.86%,2.1
desetikoruna z roku 1995,74,131,56.49%,1.0
cena za štěstí,72,"5,261",1.37%,9.2
volby 2020,69,"1,026",6.73%,2.7
vzácné desetikoruny,69,291,23.71%,4.1
mince 10 kč,68,144,47.22%,1.0
průměrný plat učitele,68,"1,753",3.88%,8.3
vzácné české mince,68,189,35.98%,1.6
státní vyznamenání 2019,67,477,14.05%,2.6
školské odbory stávka,65,"2,686",2.42%,4.1
ecoquantum saver,64,128,50.00%,2.7
filip pešán,64,194,32.99%,1.0
julius rigo,63,173,36.42%,1.8
rozděleni svobodou kalkulačka,63,67,94.03%,1.0
zeman,63,"3,300",1.91%,6.4
explosia,62,657,9.44%,5.0
marcel puvák,62,"1,343",4.62%,7.7
jan masaryk,61,"1,742",3.50%,5.0
volební preference,60,376,15.96%,4.6
ibrahimovic,59,442,13.35%,3.4
stavka skol seznam,59,315,18.73%,3.6
český rozhlas,57,"9,346",0.61%,4.8
eco quantum saver,57,165,34.55%,3.3
karenční doba,57,692,8.24%,4.6
žena na vrcholu,57,"1,512",3.77%,5.3
vigantol,56,"1,929",2.90%,6.7
seznam stávkujících škol 2019,54,125,43.20%,1.3
conor mcgregor,53,"2,997",1.77%,9.5
zprávy ze světa,53,"1,697",3.12%,6.8
ekonomika,52,"1,351",3.85%,7.3
fake news,52,640,8.12%,4.3
životní minimum 2020,52,291,17.87%,2.7
10 kc 1993,51,118,43.22%,1.4
vzacne mince,51,303,16.83%,3.1
andré gomes,50,336,14.88%,1.3
streamango,50,415,12.05%,23
marcel puvak,49,827,5.93%,7.7
openload,49,298,16.44%,2.7
desetikoruna 2000,48,109,44.04%,1.0
jelení příkop,48,206,23.30%,9.5
první republika 4,48,147,32.65%,3.2
rozhlas zprávy,48,53,90.57%,1.0
stávka škol seznam,48,242,19.83%,3.9
žena na vrcholu recenze,48,216,22.22%,2.3
10 kč 1995,47,150,31.33%,3.1
son faul,46,343,13.41%,6.4
,"50,544","1,638,594",3.08%,6.8

Week Index,Clicks
0000,"42,208"
0001,"8,336"
,"50,544"
