# ----------------------------------------
# iRozhlas
# Queries
# 20190610-20190616
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
robert bobroczky,"1,231","5,992",20.54%,2.9
žralok v chorvatsku,"1,190","8,285",14.36%,2.9
žralok mako,695,"9,460",7.35%,3.0
chorvatsko žralok,602,"4,675",12.88%,2.2
zprávy,570,"6,813",8.37%,3.7
rozhlas,503,"2,815",17.87%,3.3
makarská riviéra žralok,459,"2,159",21.26%,1.0
lidice,429,"13,364",3.21%,5.4
žralok chorvatsko,412,"3,420",12.05%,2.5
softball mistrovství světa,373,"2,925",12.75%,1.1
puma americká jindřichův hradec,337,"3,146",10.71%,1.0
dana drábová černobyl,316,"4,068",7.77%,2.3
demonstrace letná,303,"1,625",18.65%,2.1
zralok mako makarska,303,"3,019",10.04%,1.1
dálnice d1 nehoda,295,"1,945",15.17%,1.2
demonstrace proti babišovi,262,"1,872",14.00%,3.2
i rozhlas,249,287,86.76%,1.0
žralok v chorvatsku 2019,217,"1,089",19.93%,3.1
zralok chorvatsko,205,"1,570",13.06%,3.7
žraloci v chorvatsku,201,666,30.18%,2.3
desetikoruna z roku 1993,197,466,42.27%,1.1
nehoda znojmo,188,280,67.14%,1.2
zdeněk šafránek,188,"1,855",10.13%,3.3
vyherce eurojackpot 2019,177,427,41.45%,1.0
eurojackpot,176,"6,620",2.66%,4.8
puma americká,175,"2,250",7.78%,1.1
zralok v chorvatsku,166,"1,280",12.97%,3.4
zralok makarska,162,887,18.26%,3.3
babiš,156,"1,995",7.82%,5.1
parlamentní listy,154,"25,263",0.61%,4.1
makarska zralok,153,880,17.39%,2.7
demonstrace praha,151,855,17.66%,1.6
výhra eurojackpot,150,409,36.67%,1.1
aktip,145,687,21.11%,2.9
hong kong demonstrace,143,295,48.47%,1.3
letná demonstrace,141,516,27.33%,1.6
vzácné mince,133,394,33.76%,1.1
izurnal,132,157,84.08%,1.0
nehoda d1,118,905,13.04%,3.3
www.irozhlas,115,121,95.04%,1.0
zraloky chorvatsko,113,"6,408",1.76%,8.0
vigantol,111,"1,433",7.75%,6.4
demonstrace letna,109,591,18.44%,1.6
festival votvírák,109,942,11.57%,1.0
jiří stránský,108,"8,396",1.29%,5.4
nehoda litovel,108,179,60.34%,1.0
drábová černobyl,107,384,27.86%,2.9
vinohradská 12,106,161,65.84%,2.0
fireflies,105,526,19.96%,2.7
10 kč 1993,104,204,50.98%,1.1
demonstrace,102,"1,278",7.98%,4.1
votvírák,101,"1,269",7.96%,1.0
zprávy z domova,101,"1,180",8.56%,4.3
david rath,100,"1,498",6.68%,3.3
ananenko bezpalov baranov,98,246,39.84%,3.2
valerij legasov,97,"3,894",2.49%,7.7
nabarvené ptáče,96,"1,005",9.55%,1.7
žralok makarska,96,595,16.13%,4.0
chorvatsko zralok,95,563,16.87%,4.3
puma jindrichuv hradec,94,228,41.23%,1.4
perseidy 2019,92,231,39.83%,2.4
milion chvilek,90,"3,914",2.30%,3.5
rodičovský příspěvek,89,944,9.43%,5.4
zralok v chorvatsku 2019,89,614,14.50%,3.1
babis,83,908,9.14%,5.3
čaputová projev,81,125,64.80%,1.1
froome nehoda,81,575,14.09%,3.5
zralok mako,81,"1,984",4.08%,4.7
puma na jindrichohradecku,79,259,30.50%,2.1
rath,79,891,8.87%,3.7
eurojackpot výhra,78,246,31.71%,1.2
nehoda u litovle,78,141,55.32%,1.2
protesty proti babišovi,78,538,14.50%,3.0
žralok,78,"1,537",5.07%,4.0
zralok na makarske,77,512,15.04%,3.4
chorvatsko,76,"4,430",1.72%,2.9
mariánský sloup,75,"2,314",3.24%,5.2
chris froome,73,742,9.84%,2.8
zpravy,73,"1,629",4.48%,7.1
blackout argentina,70,297,23.57%,4.0
dotace na elektromobil,70,185,37.84%,1.7
letná,68,713,9.54%,2.6
nejoblíbenější jména,68,200,34.00%,1.0
vzácné desetikoruny,68,115,59.13%,1.0
bioparox,67,281,23.84%,5.3
boris ščerbina,67,"1,200",5.58%,7.7
desetikoruna 2000,67,152,44.08%,1.6
eurojackpot výhry,66,403,16.38%,1.5
zralok na makarske riviere,66,161,40.99%,1.3
žraloka mako,66,519,12.72%,1.1
žralok na makarské,65,390,16.67%,3.0
potapeci cernobyl,64,106,60.38%,2.4
rodičovský příspěvek 2020,64,324,19.75%,3.9
michelinská hvězda,63,272,23.16%,1.8
froome,62,818,7.58%,4.5
milion chvilek letná,62,239,25.94%,3.6
desetikoruna,61,281,21.71%,1.8
vyhrál eurojackpot,61,"3,460",1.76%,3.4
filip pešán,60,"1,587",3.78%,2.6
hong kong protesty,60,203,29.56%,3.3
,"52,866","1,438,346",3.68%,5.8

Week Index,Clicks
0000,"44,036"
0001,"8,830"
,"52,866"
