# ----------------------------------------
# iRozhlas
# Queries
# 20191216-20191222
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
irozhlas,"5,797","6,327",91.62%,1.0
irozhlas cz,"1,243","1,335",93.11%,1.0
irozhlas.cz,"1,165","1,289",90.38%,1.0
brno lidická,959,"2,672",35.89%,1.4
lidická brno,790,"2,672",29.57%,1.5
brno,637,"7,530",8.46%,2.6
vevio,619,"5,931",10.44%,1.6
brno lidicka,550,"1,750",31.43%,1.5
rozhlas,520,"3,381",15.38%,3.6
vevio obchod recenze,512,"1,645",31.12%,1.7
lidicka brno,497,"2,026",24.53%,1.7
ronaldo vyskok,438,"1,285",34.09%,3.4
sireny,417,908,45.93%,1.1
brno nehoda tramvaje,391,"3,581",10.92%,2.0
presov vybuch,354,"1,239",28.57%,2.7
nehoda tramvaje brno,351,"3,049",11.51%,1.8
zprávy brno,341,758,44.99%,3.5
star wars,335,"9,361",3.58%,3.0
i rozhlas,321,360,89.17%,1.0
sirény,310,904,34.29%,1.2
milion chvilek,302,"8,883",3.40%,5.1
vinohradská 12,284,398,71.36%,1.0
sireny ostrava,278,690,40.29%,1.1
prešov,273,"5,416",5.04%,5.6
trump,258,"1,399",18.44%,3.3
brno zprávy,247,595,41.51%,3.3
nemocnice benešov,243,"1,523",15.96%,4.1
vybuch v presove,235,753,31.21%,2.3
zprávy,231,"3,113",7.42%,6.3
střelba v brně,225,"1,495",15.05%,3.2
sirény praha,220,735,29.93%,2.3
zima,217,"223,083",0.10%,7.4
prešov výbuch,211,618,34.14%,1.8
vevio recenze,202,648,31.17%,2.1
lidická,199,"1,316",15.12%,2.8
presov,198,"3,587",5.52%,6.5
babiš,192,"3,266",5.88%,5.0
lucie šafářová,192,"3,196",6.01%,6.7
csfd,185,"135,046",0.14%,2.5
nehoda brno,181,"1,125",16.09%,3.7
ostrava nemocnice,178,"1,154",15.42%,4.5
star wars vzestup skywalkera,177,"5,265",3.36%,4.4
dopravní nehoda brno konečného náměstí,162,"1,900",8.53%,1.0
policie brno,161,537,29.98%,3.7
demolice prešov,150,"1,380",10.87%,4.6
lidicka,146,"1,204",12.13%,2.8
arriva,145,"4,889",2.97%,4.1
brno strelba,138,"1,643",8.40%,5.6
greta thunberg,138,"1,993",6.92%,1.7
monika babisova,138,"1,253",11.01%,4.8
ester ledecká,137,"2,961",4.63%,2.5
impeachment,137,"2,425",5.65%,3.3
vzácné mince,135,337,40.06%,1.0
česko zasáhne silný vítr,131,"1,939",6.76%,1.1
zimní slunovrat,130,"2,740",4.74%,3.7
vinohradska 12,129,162,79.63%,1.1
star wars 9,126,"1,989",6.33%,2.1
monika babišová,124,"7,221",1.72%,8.6
střelba brno,123,842,14.61%,3.6
plekanec,121,"1,461",8.28%,5.0
novoroční ohňostroj,116,341,34.02%,2.8
primark praha,113,965,11.71%,2.8
navyseni rodicovske,110,303,36.30%,1.7
benešov nemocnice,109,325,33.54%,2.8
dopravní nehoda brno,108,348,31.03%,1.7
arriva vlaky,107,"4,499",2.38%,6.8
schválení rodičovského příspěvku,105,403,26.05%,1.8
australie pozary,104,269,38.66%,2.5
rick dalton,103,658,15.65%,5.8
rodičovský příspěvek,103,887,11.61%,2.5
zvýšení rodičovského příspěvku,103,"1,080",9.54%,3.8
www.irozhlas,102,106,96.23%,1.0
brno lidická policie,101,"2,850",3.54%,2.5
nehoda d1,101,574,17.60%,4.7
výbuch prešov,101,330,30.61%,2.2
benešovská nemocnice,99,499,19.84%,3.8
brno aktuálně,97,728,13.32%,7.3
navyseni rodicovskeho prispevku,97,328,29.57%,1.1
brno nehoda,96,712,13.48%,3.3
izurnal,96,116,82.76%,1.0
residomo,96,"1,259",7.63%,4.0
koalice praha 1,95,418,22.73%,2.3
navýšení rodičovského příspěvků,95,516,18.41%,1.7
sportovec roku 2019,92,"9,749",0.94%,9.0
sireny praha,91,299,30.43%,3.2
záplavy itálie,91,600,15.17%,1.1
brno policie lidická,89,"1,909",4.66%,1.8
lidická brno policie,89,"1,285",6.93%,1.3
navyseni rodicovske 2020,88,345,25.51%,1.3
babišová instagram,86,443,19.41%,2.1
brno střelba,85,432,19.68%,3.9
donald trump,85,"1,370",6.20%,3.1
vzestup skywalkera,85,"2,221",3.83%,4.2
ostrava fakultní nemocnice,83,916,9.06%,3.3
filip milion chvilek,80,182,43.96%,1.2
lukáš vondráček,80,616,12.99%,4.7
filmy 2019,79,"9,504",0.83%,6.5
nehoda v brně,79,313,25.24%,2.6
residomo prodej bytu,78,301,25.91%,3.2
vojtěch filip,78,608,12.83%,3.4
,"69,466","1,685,429",4.12%,6.6

Day Index,Clicks
12/16/19,"21,046"
12/17/19,"23,043"
12/18/19,"18,429"
12/19/19,"17,537"
12/20/19,"23,121"
12/21/19,"12,285"
12/22/19,"12,186"
,"127,647"
