# ----------------------------------------
# iRozhlas
# Queries
# 20190506-20190512
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
10 kč 1993,"1,126","4,566",24.66%,4.2
vzácné mince,"1,069","2,785",38.38%,1.1
rozhlas,805,"2,540",31.69%,3.1
vzacne 10kc,565,"1,265",44.66%,1.1
facebook,481,"939,948",0.05%,2.6
volby do evropského parlamentu,428,"19,184",2.23%,6.0
demonstrace praha,426,"1,021",41.72%,1.7
chernobyl hbo,421,"3,216",13.09%,3.9
černobyl,407,"12,682",3.21%,3.4
vzácné mince v oběhu,350,942,37.15%,1.0
ano vytrollíme europarlament,345,"4,741",7.28%,6.5
eurovolby 2019,336,"4,118",8.16%,2.5
vzácné české mince,321,820,39.15%,1.2
varian fry,310,756,41.01%,1.9
mince z roku 1993,296,"1,055",28.06%,2.1
vzacne mince,269,747,36.01%,1.7
suchoj superjet 100,251,"4,164",6.03%,5.6
radiožurnál sport,250,"1,241",20.15%,2.4
hbo chernobyl,235,"1,122",20.94%,3.8
avengers endgame,233,"9,019",2.58%,3.0
barbora snopková haberová,231,"5,322",4.34%,1.1
zprávy,224,"3,718",6.02%,4.9
i rozhlas,213,280,76.07%,1.0
eurovolby,209,"2,470",8.46%,3.5
desetikoruna 2000,186,636,29.25%,2.2
10 koruna 1993,185,"1,141",16.21%,4.7
mince 10 kč,179,486,36.83%,2.7
barbora haberová snopková,177,"1,235",14.33%,1.1
cernobyl hbo,176,"1,537",11.45%,5.8
marie benešová,170,"3,345",5.08%,4.1
chernobyl 2019,167,"1,926",8.67%,3.1
cernobyl 2 dil,166,402,41.29%,1.1
desetikoruna,164,994,16.50%,4.4
kaapo kakko,164,"2,008",8.17%,2.7
avengers endgame tržby,162,"1,808",8.96%,4.4
jakub vrána,157,"22,006",0.71%,4.1
desetikoruna 1993,151,"10,236",1.48%,7.2
cenné mince,146,332,43.98%,1.0
mince 10 kč 1993,132,296,44.59%,1.7
chernobyl 2019 online,129,"2,529",5.10%,3.7
vigantol,124,"2,278",5.44%,7.2
vzacna 20kc,121,"1,175",10.30%,3.1
josef šural,120,"3,268",3.67%,4.4
vzacna 10kc 1993,114,"4,089",2.79%,8.1
vzácná dvacetikoruna 2000,114,"1,193",9.56%,2.4
izurnal,113,143,79.02%,1.0
serial cernobyl,113,883,12.80%,4.6
pankrac servac bonifac,112,"1,112",10.07%,3.7
živé terče,112,"8,260",1.36%,9.2
10kc 1993,111,"1,233",9.00%,7.1
filip pešán,110,657,16.74%,2.6
eurovolby 2019 kandidátky,106,191,55.50%,1.0
letadlo moskva,105,545,19.27%,1.8
iker casillas,101,777,13.00%,3.5
desetikoruna 1993 cena,100,"2,460",4.07%,4.9
cenné desetikoruny,97,133,72.93%,1.0
marie benešové,97,"2,557",3.79%,4.2
černobyl online,96,562,17.08%,3.2
bioparox,95,333,28.53%,4.7
koho volit do europarlamentu,95,174,54.60%,1.6
nejoblíbenější jména,94,248,37.90%,1.1
vzácné 10 koruny,93,152,61.18%,1.1
vzácné mince desetikoruna,93,939,9.90%,2.8
seriál černobyl,92,650,14.15%,4.1
bartosak trinec,91,648,14.04%,2.6
františek vrábel,91,507,17.95%,1.1
archie,89,"2,073",4.29%,5.3
fireflies,89,479,18.58%,2.5
piráti eurovolby,89,290,30.69%,1.2
koho volit do evropského parlamentu,88,174,50.57%,1.3
jitka obzinová,87,"4,658",1.87%,5.7
černobyl hbo,85,907,9.37%,4.0
osvobození prahy,84,859,9.78%,2.4
černobyl serial,83,849,9.78%,5.4
jessikka aro,83,813,10.21%,4.3
nagano 1998,83,"2,080",3.99%,4.0
rodičovský příspěvek,81,774,10.47%,3.6
eurovolby kandidáti,79,324,24.38%,4.3
kandidátky eurovolby,79,103,76.70%,1.0
slovensko usa,78,"1,005",7.76%,1.6
černobyl seriál,76,699,10.87%,4.5
šural,76,"1,557",4.88%,3.0
endgame vs avatar,75,234,32.05%,2.3
vojenská přehlídka moskva 2019,74,939,7.88%,6.3
vzácné desetikoruny,74,859,8.61%,4.1
letadlo rusko,71,340,20.88%,2.1
vzácné české mince v oběhu,71,196,36.22%,1.0
jiří pejpal,70,126,55.56%,1.0
bartosak,69,"4,030",1.71%,4.6
marie benesova,69,"1,329",5.19%,5.0
barbora snopkova haberova,68,"1,234",5.51%,1.6
boeing,68,675,10.07%,3.2
vzácné mince čr,68,164,41.46%,1.0
barbora snopkova haberová,67,"2,111",3.17%,1.2
trollí farma petrohrad,67,107,62.62%,1.0
barbora snopkova,66,"1,160",5.69%,1.5
zprávy z domova,66,923,7.15%,4.6
desetikoruna za 30000,65,91,71.43%,1.3
slovensko finsko,65,"1,599",4.07%,1.3
vigantol kapky,65,400,16.25%,3.2
,"56,855","2,556,878",2.22%,4.6

Week Index,Clicks
0000,"49,302"
0001,"7,553"
,"56,855"
