# ----------------------------------------
# iRozhlas
# Queries
# 20190211-20190217
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
seznam,722,"861,277",0.08%,3.8
most,681,"19,836",3.43%,3.3
rozhlas,570,"2,768",20.59%,3.3
serial most,500,"6,107",8.19%,2.5
léto s gentlemanem recenze,374,"1,201",31.14%,1.4
biatlon,342,"2,942",11.62%,2.1
léto s gentlemanem,334,"6,089",5.49%,5.4
emiliano sala,232,"1,297",17.89%,1.2
zprávy,209,"5,724",3.65%,7.6
ester ledecká,208,"3,411",6.10%,3.0
jaromír hanzlík,197,"8,207",2.40%,1.2
leto s gentlemanem recenze,196,782,25.06%,1.4
počasí,187,"25,769",0.73%,2.2
i rozhlas,176,214,82.24%,1.2
lukáš nečesaný,174,"1,689",10.30%,2.8
filipovice,173,544,31.80%,1.8
podvodné emaily,158,327,48.32%,2.3
brexit,129,926,13.93%,1.6
sala,129,"1,011",12.76%,4.3
most!,127,"2,868",4.43%,3.3
leto s gentlemanem,126,"2,733",4.61%,4.1
volby 2019,122,"1,097",11.12%,3.3
nejoblíbenější jména,110,213,51.64%,1.0
zdeněk godla,109,"2,042",5.34%,2.8
fireflies,106,495,21.41%,2.3
seriál most,100,"3,851",2.60%,4.0
izurnal,98,131,74.81%,1.0
nejčastější jména 2018,94,253,37.15%,1.6
vzácné mince,94,193,48.70%,1.1
biatlon kanada,91,612,14.87%,3.8
filipovice lanovka,91,339,26.84%,1.2
pustevny stezka,87,849,10.25%,2.7
spalničky,87,"1,538",5.66%,1.5
berlinale 2019,86,264,32.58%,1.5
21 savage,85,393,21.63%,1.2
martin kovář,85,"1,704",4.99%,5.5
zprávy z domova,85,"1,326",6.41%,4.6
nečesaný lukáš,83,430,19.30%,2.3
bioparox,80,615,13.01%,6.4
nejvyšší budova světa,80,521,15.36%,1.0
miroslav murček,79,222,35.59%,2.4
první jarní den,79,"1,217",6.49%,1.0
výhružné emaily,75,135,55.56%,1.9
lukas necesany,72,411,17.52%,2.8
stezka pustevny,70,544,12.87%,2.3
český rozhlas,69,"7,775",0.89%,4.6
zpravy,68,"1,162",5.85%,10
kaplička sobín,67,142,47.18%,1.5
radek pokluda,66,692,9.54%,2.4
metro c,65,557,11.67%,4.4
ledecká,62,701,8.84%,4.0
ledecka zavody,61,151,40.40%,2.4
tvrdý brexit,61,151,40.40%,1.2
franta most,60,254,23.62%,1.1
jagr,59,976,6.05%,5.5
jackson maine,54,925,5.84%,4.4
jaromír jágr,54,"3,655",1.48%,5.5
most herci,53,"3,325",1.59%,4.5
schwarzplan,52,117,44.44%,7.4
fed cup,51,555,9.19%,2.1
huawei,48,"2,020",2.38%,1.7
podvodný email,48,140,34.29%,3.0
radio retro,48,505,9.50%,4.2
rozhlas zprávy,47,53,88.68%,1.0
transgas demolice,47,253,18.58%,2.4
simona vrzalová,46,531,8.66%,3.7
necesany,45,446,10.09%,4.6
fed cup 2019,44,236,18.64%,2.9
letos na jaře budou čeští občané volit poslance do evropského parlamentu. kolik jich z voleb vzejde?,44,87,50.57%,1.3
martin hofmann rozhovor,44,175,25.14%,3.1
slovník komunistických funkcionářů,44,103,42.72%,1.3
vojenská policie,44,398,11.06%,3.9
vyhruzny email z me adresy,44,204,21.57%,6.0
nečesaný,43,718,5.99%,6.3
vemola,43,"1,956",2.20%,8.4
výhružné e maily bitcoin,43,114,37.72%,2.1
kauza nečesaný,41,178,23.03%,3.0
sobín kaplička,41,110,37.27%,1.4
výhružný email,41,73,56.16%,1.0
zprávy ze světa,41,"1,270",3.23%,5.9
emma smetana,40,"3,958",1.01%,3.8
cena hanzelky a zikmunda,39,51,76.47%,1.7
fed cup baráž,39,62,62.90%,1.1
michal hašek,38,420,9.05%,2.4
most serial,38,"1,509",2.52%,4.8
pavel kříž vojenská policie,38,149,25.50%,3.0
recenze léto s gentlemanem,38,148,25.68%,1.1
volby do evropského parlamentu,38,"1,411",2.69%,4.7
martin kovář plagiát,37,266,13.91%,3.1
miroslav zikmund,37,"17,499",0.21%,5.6
this is america,37,"1,054",3.51%,4.1
vyhruzny email,37,69,53.62%,1.0
ledecká snowboard,36,107,33.64%,1.0
pocasi,36,"1,739",2.07%,2.2
i.rozhlas.cz,35,44,79.55%,2.0
islámský stát,35,392,8.93%,2.2
martin hofmann,35,"2,469",1.42%,6.4
medvěd beskydy,35,183,19.13%,2.7
ukrajina,35,"2,302",1.52%,7.5
babiš,34,466,7.30%,6.9
,"35,051","2,024,027",1.73%,5.1

Week Index,Clicks
0000,"30,400"
0001,"4,651"
,"35,051"
