# ----------------------------------------
# iRozhlas
# Queries
# 20190701-20190707
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
ed sheeran praha,"1,417","27,241",5.20%,3.5
mexiko kroupy,805,"4,817",16.71%,1.1
ed sheeran,746,"25,405",2.94%,5.7
rozhlas,719,"2,939",24.46%,3.1
profesor josef koutecký,282,"4,357",6.47%,2.1
kroupy v mexiku,232,"1,380",16.81%,2.0
koncert ed sheeran praha,218,"3,273",6.66%,3.4
zemětřesení los angeles,215,"2,950",7.29%,2.2
perseidy 2019,214,831,25.75%,2.7
i rozhlas,206,230,89.57%,1.0
desetikoruna z roku 1993,200,359,55.71%,1.0
robert bobroczky,192,"1,351",14.21%,12
mexico kroupy,187,458,40.83%,1.1
rodičovský příspěvek,187,"2,710",6.90%,6.4
mexiko krupobití,178,"1,990",8.94%,2.0
zatmění slunce,174,"1,835",9.48%,4.2
kroupy mexiko,167,876,19.06%,1.1
vigantol,164,"1,558",10.53%,6.2
www.irozhlas,158,177,89.27%,1.0
stanciu slavia,154,"1,901",8.10%,3.1
roman kreuziger,149,"1,397",10.67%,3.0
izurnal,139,161,86.34%,1.0
volební průzkum,134,225,59.56%,1.2
vzácné mince,131,339,38.64%,1.1
zatmění slunce 2019,131,768,17.06%,1.8
výluka metra c,129,883,14.61%,3.4
sk slavia praha,128,"1,315",9.73%,2.8
stanciu,125,"3,900",3.21%,7.0
trikolora,125,"1,767",7.07%,4.7
rock for people,124,"6,227",1.99%,2.0
předseda evropské komise,123,483,25.47%,2.6
zprávy,122,882,13.83%,17
kypr,119,"2,057",5.79%,3.6
rodičovský příspěvek 2020,119,983,12.11%,4.8
tour de france,115,"2,843",4.05%,3.7
uplne zatmeni slunce,110,991,11.10%,1.6
františek čuba,107,"1,969",5.43%,4.7
josef koutecký,107,"5,163",2.07%,7.9
průměrná mzda 2019,107,359,29.81%,1.7
heavy machinery,101,400,25.25%,2.7
legios loco louny,101,"1,858",5.44%,2.0
evropská komise,99,711,13.92%,4.1
volební preference,98,262,37.40%,3.4
legios,97,"1,216",7.98%,4.9
zemetreseni kalifornie,97,"1,164",8.33%,4.5
vinohradská 12,94,145,64.83%,2.0
žraloci v chorvatsku,93,946,9.83%,4.1
zemětřesení,92,"1,230",7.48%,4.7
ed sheeran letnany,90,"1,374",6.55%,2.3
fireflies,90,518,17.37%,2.6
češi na tour de france 2019,88,198,44.44%,1.2
rozhlas zprávy,88,102,86.27%,1.0
jan hus,87,"6,498",1.34%,9.7
zprávy z domova,87,809,10.75%,3.9
boris ščerbina,84,563,14.92%,2.4
letnany koncert ed sheeran,83,"1,562",5.31%,2.3
rath,83,578,14.36%,4.5
peter sagan,78,"1,487",5.25%,2.0
metro praha,76,"3,989",1.91%,3.0
mexiko,76,632,12.03%,1.7
dlouhodobá předpověď počasí červenec,75,911,8.23%,1.9
vladimír kučera,74,"2,443",3.03%,7.8
emanuela orlandiová,73,210,34.76%,1.6
kapitán demo,73,"3,141",2.32%,8.8
teorie velkého třesku,72,"4,882",1.47%,8.3
jiří burian,71,"2,533",2.80%,6.2
kreuziger,71,651,10.91%,3.0
legios loco,70,640,10.94%,4.9
youtube,70,"168,460",0.04%,4.0
zemětřesení kalifornie,70,"1,028",6.81%,5.0
bioparox,69,310,22.26%,5.7
stanciu do slavie,69,935,7.38%,2.5
vzacna 10 koruna,69,130,53.08%,1.2
akademik lomonosov,68,806,8.44%,3.5
metro c výluka,66,503,13.12%,3.1
profesor koutecký,62,502,12.35%,3.3
státní svátky obchody,62,"1,945",3.19%,2.8
výluka metra,62,360,17.22%,2.9
nejoblíbenější jména,60,158,37.97%,1.1
copa america,59,"3,545",1.66%,2.1
unesco,59,"1,041",5.67%,5.5
heavy machinery louny,58,303,19.14%,2.5
marcel kolaja,58,782,7.42%,3.9
volby do evropského parlamentu 2019,58,285,20.35%,2.3
vzácné desetikoruny,58,113,51.33%,1.0
aljaška počasí,56,242,23.14%,2.4
český rozhlas,56,"6,591",0.85%,4.8
david rath,56,"2,135",2.62%,5.8
venezuela,56,890,6.29%,1.8
ed sheeran koncert praha,55,731,7.52%,3.1
nicolae stanciu,55,"1,735",3.17%,4.9
tour de france 2019 češi,54,94,57.45%,1.1
úplné zatmění slunce,54,"1,787",3.02%,3.8
chvaletice,53,695,7.63%,2.5
žralok v chorvatsku,53,"2,851",1.86%,9.5
elektrárna chvaletice,52,470,11.06%,2.8
platon finance,52,121,42.98%,22
předseda evropského parlamentu,52,309,16.83%,2.5
černobyl,51,"5,438",0.94%,3.3
cyril a metoděj,51,"4,479",1.14%,4.6
,"49,670","1,645,145",3.02%,6.4

Week Index,Clicks
0000,"40,028"
0001,"9,642"
,"49,670"
