# ----------------------------------------
# iRozhlas
# Queries
# 20190218-20190224
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
rozhlas,738,"2,560",28.83%,2.7
ufc praha,576,"12,968",4.44%,5.0
ufc praha program,409,"7,089",5.77%,1.7
most,375,"17,932",2.09%,4.8
mma praha 2019,270,"1,694",15.94%,1.5
ufc,197,"3,730",5.28%,3.8
karlov,195,506,38.54%,1.7
pudilova,186,"3,283",5.67%,4.8
karlov lanovka,179,251,71.31%,1.4
lavina švýcarsko,164,"1,797",9.13%,4.3
i rozhlas,157,184,85.33%,1.1
vlak bez strojvedoucího,152,741,20.51%,2.9
me biatlon 2019,145,"1,845",7.86%,1.7
marta nováková,144,"9,999",1.44%,5.1
spalničky,144,"5,062",2.84%,1.5
předávání oscarů 2019,134,"1,230",10.89%,2.9
lanovky karlov,127,671,18.93%,1.2
lanovka karlov,118,168,70.24%,1.6
izurnal,114,139,82.01%,1.0
nejčastější jména 2018,114,235,48.51%,1.5
zprávy,111,"3,616",3.07%,9.2
jana adamcová,109,"2,010",5.42%,3.1
fireflies,108,492,21.95%,2.8
lucie pudilová,102,"1,924",5.30%,2.6
ujel vlak,101,156,64.74%,1.1
nejvyšší budova světa,97,540,17.96%,1.0
serial most,97,"4,538",2.14%,6.6
seriál most,95,"3,481",2.73%,5.1
transgas,94,"4,345",2.16%,8.2
kepa arrizabalaga,88,"1,139",7.73%,6.5
ibalgin laktoza,87,122,71.31%,1.2
csfd,84,"48,752",0.17%,2.3
apple pay moneta,83,369,22.49%,1.8
léto s gentlemanem recenze,82,762,10.76%,6.7
youtube,81,"273,155",0.03%,4.2
nejoblíbenější jména,80,153,52.29%,1.0
oscary 2019,80,798,10.03%,3.0
vlak jel bez strojvedoucího,79,"1,082",7.30%,4.2
ester ledecká,76,"2,603",2.92%,2.7
strojvedoucímu ujel vlak,76,102,74.51%,1.0
lubomír volný,75,869,8.63%,4.0
olomouc bomba,75,165,45.45%,1.2
moneta apple pay,73,450,16.22%,1.6
ski karlov,72,714,10.08%,2.9
český rozhlas,71,"7,513",0.95%,4.2
jackson maine,71,888,8.00%,4.5
kovář plagiát,71,242,29.34%,2.0
most!,70,"1,993",3.51%,5.8
karlov lanovka nehoda,69,106,65.09%,1.1
franta most,66,754,8.75%,3.7
první jarní den,66,"1,078",6.12%,1.7
zprávy z domova,66,"1,197",5.51%,5.9
pad lanovky karlov,64,92,69.57%,1.0
ibalgin,63,"1,109",5.68%,1.9
niki lauda,62,"2,411",2.57%,3.4
polské maso,61,250,24.40%,1.5
predavani oscarů 2019,61,734,8.31%,3.2
preockovani spalnicky dospeli,59,139,42.45%,3.0
bomba olomouc,56,117,47.86%,1.1
brexit,56,449,12.47%,2.6
martina navrátilová,55,922,5.97%,5.8
vladimír mikuláš,55,"1,592",3.45%,10
vzácné mince,55,158,34.81%,1.1
lucie pudilová ufc,54,"1,933",2.79%,4.1
spd moravskoslezský kraj,54,124,43.55%,3.1
martin kovář plagiát,53,378,14.02%,2.5
volby do evropského parlamentu 2019,53,919,5.77%,3.6
program ufc praha,52,920,5.65%,1.7
crans montana lavina,51,"2,345",2.17%,6.8
liam neeson,51,"2,042",2.50%,8.0
zpravy,51,"1,382",3.69%,9.5
mma praha,50,337,14.84%,1.6
radovan vítek,50,"1,082",4.62%,6.5
george mendonsa,49,383,12.79%,2.8
marta novakova,48,"1,621",2.96%,4.4
první jarní den 2019,47,492,9.55%,1.3
transgas demolice,46,223,20.63%,1.6
pudilová,45,910,4.95%,4.9
91. ročník udílení oscarů,44,"2,186",2.01%,4.7
berlinale 2019,44,192,22.92%,4.5
bioparox,44,531,8.29%,5.7
cesky ridic kamionu v nemecku,44,133,33.08%,1.3
peta,43,"2,315",1.86%,6.6
biatlon belorusko,42,244,17.21%,2.9
bomba v olomouci,42,119,35.29%,1.4
eurovolby 2019,42,445,9.44%,5.2
olomouc,42,907,4.63%,3.4
karel kryl,41,"6,212",0.66%,7.0
volby do evropského parlamentu,41,"1,187",3.45%,4.8
fico,40,355,11.27%,6.0
kauza metanol,40,197,20.30%,2.6
"ufc, 23. února",40,323,12.38%,4.0
ekonomika,39,"1,183",3.30%,6.6
hovězí maso z polska,39,173,22.54%,1.6
martin kovář,39,"2,159",1.81%,7.1
pustevny stezka,39,521,7.49%,3.6
chelsea,38,288,13.19%,2.1
požár michle,38,64,59.38%,1.4
biatlon me 2019 bělorusko,37,347,10.66%,1.4
boeing 767,37,908,4.07%,1.3
,"35,305","1,460,872",2.42%,5.9

Week Index,Clicks
0000,"29,451"
0001,"5,854"
,"35,305"
