# ----------------------------------------
# iRozhlas
# Queries
# 20190812-20190818
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
metallica praha 2019,"4,328","23,979",18.05%,2.1
metallica praha,"2,493","11,579",21.53%,2.9
požár na sibiři,"1,255","2,152",58.32%,1.2
perseidy 2019,928,"3,323",27.93%,2.7
adam ondra,836,"8,075",10.35%,3.9
koncert metallica letňany,791,"4,819",16.41%,1.0
rozhlas,784,"2,992",26.20%,3.3
perseidy 2019 maximum,717,"1,770",40.51%,2.2
metallica,711,"11,722",6.07%,4.4
sibiř požáry,641,"2,643",24.25%,1.0
provazochodkyně letní letná,639,"4,178",15.29%,1.0
provazochodkyně nad vltavou,569,"1,541",36.92%,1.4
perseidy,495,"4,806",10.30%,2.4
rick dalton,470,"2,654",17.71%,3.4
letní letná,452,"11,979",3.77%,2.4
metallica letnany,428,"1,845",23.20%,1.3
požár sibiř,382,"1,009",37.86%,4.5
výbuch v rusku,366,"1,129",32.42%,2.7
sibiř požár,342,"2,292",14.92%,6.9
barum rally 2019,335,"4,878",6.87%,3.0
sibiř,313,"1,655",18.91%,4.7
hong kong protesty,308,"1,076",28.62%,2.9
metallica praha 2019 program,263,"3,045",8.64%,4.8
provazochodkyne letni letna,258,805,32.05%,1.3
koncert metallica,245,"1,258",19.48%,1.4
provazochodkyne nad vltavou,243,881,27.58%,1.6
i rozhlas,242,270,89.63%,1.0
rusko vybuch,227,"1,346",16.86%,3.7
provazochodec praha,224,337,66.47%,1.3
vinohradská 12,196,296,66.22%,1.9
dopravní nehoda čenkov,195,"1,102",17.70%,1.0
sibir,184,634,29.02%,4.4
adam ondra japonsko,183,381,48.03%,1.0
hong kong,178,"3,185",5.59%,1.6
kvalita života,176,"1,888",9.32%,2.1
sibir v plamenech,172,604,28.48%,5.3
koncert metallica 2019,166,960,17.29%,1.1
provazochodkyne vltava,159,573,27.75%,1.7
severodvinsk,153,"1,676",9.13%,2.0
barum rally,150,"3,049",4.92%,2.3
metalica praha,150,739,20.30%,2.2
hoří sibiř,141,271,52.03%,1.0
prague pride,141,"1,874",7.52%,5.5
sibir pozar,140,653,21.44%,5.0
provazochodkyně nad vltavou online,139,181,76.80%,1.3
vít richter,136,612,22.22%,2.0
prague pride 2019,134,"1,356",9.88%,3.2
metallica prague 2019,133,"1,574",8.45%,4.7
pozar sibir,126,449,28.06%,4.7
průměrná mzda,126,937,13.45%,3.1
letňany koncert,125,539,23.19%,2.2
letní letná 2019,125,"1,498",8.34%,2.4
tenkrát v hollywoodu,125,"17,292",0.72%,7.5
babiš,122,"1,394",8.75%,6.0
ministr kultury,122,606,20.13%,1.5
greta thunberg jachta,115,"3,139",3.66%,1.8
izurnal,114,143,79.72%,1.0
provazochodkyně vltava,114,202,56.44%,1.0
stutox,114,985,11.57%,1.8
pozar na sibiri,111,253,43.87%,3.5
vigantol,109,"1,400",7.79%,5.9
zprávy,106,987,10.74%,17
oheň na sibiři,104,192,54.17%,1.1
www.irozhlas,104,120,86.67%,1.0
vinohradska 12,103,134,76.87%,2.0
stutox ii,102,"1,248",8.17%,1.8
koncert metallica praha,101,739,13.67%,5.9
průměrná mzda 2019,101,448,22.54%,2.3
letadlo rusko,98,295,33.22%,1.1
zprávy z domova,98,623,15.73%,2.9
provazochodkyně,97,429,22.61%,2.0
vzácné mince,96,281,34.16%,1.0
metallica v praze,95,615,15.45%,2.6
provazochodkyne praha,95,232,40.95%,1.9
metallica 2019,94,699,13.45%,2.7
sfc opava,92,525,17.52%,2.8
ural airlines,89,678,13.13%,2.0
provazochodkyne,87,378,23.02%,2.1
slunovrat,87,"8,523",1.02%,10
hong kong demonstrace,86,182,47.25%,1.2
protesty hong kong,86,200,43.00%,1.9
metallica koncert,85,473,17.97%,3.0
letni letna,84,"3,786",2.22%,2.8
vybuch v rusku,83,252,32.94%,3.6
brexit datum,80,167,47.90%,2.0
koncert metallica praha 2019,77,483,15.94%,3.6
požáry na sibiři,77,154,50.00%,1.0
fireflies,75,410,18.29%,2.3
rodičovský příspěvek,73,"2,501",2.92%,7.6
adil rami,71,585,12.14%,2.8
metallica letňany,71,486,14.61%,1.4
nehoda třešť,71,193,36.79%,1.9
pochod za práva zvířat,71,245,28.98%,1.4
provazochodkyne letni letna zive,71,99,71.72%,1.0
hori sibir,70,150,46.67%,4.0
letní letná provazochodkyně,70,140,50.00%,1.4
nejoblíbenější jména,70,183,38.25%,1.1
letňany,69,"1,063",6.49%,2.6
letni letna provazochodkyne,69,257,26.85%,1.6
sibiř hoří,69,157,43.95%,1.1
,"68,972","1,263,732",5.46%,6.4

Week Index,Clicks
0000,"54,805"
0001,"14,167"
,"68,972"
