# ----------------------------------------
# iRozhlas
# Queries
# 20190422-20190428
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
josef šural,"1,334","16,984",7.85%,7.3
avengers endgame,"1,120","25,373",4.41%,2.4
rozhlas,"1,028","2,852",36.04%,3.1
dominik feri,409,"5,522",7.41%,4.3
feri,363,"5,016",7.24%,5.0
šural,322,"6,560",4.91%,9.4
josef sural,282,"4,546",6.20%,7.9
czarotek 2019,247,728,33.93%,3.5
nadstavba fotbalové ligy,244,"3,006",8.12%,4.3
eurovolby,222,"1,207",18.39%,3.0
smartwings,192,"5,089",3.77%,2.8
i rozhlas,186,208,89.42%,1.1
endgame,179,"5,376",3.33%,4.3
požár plzeň,153,"1,054",14.52%,2.9
avengers: endgame,144,"6,984",2.06%,2.7
zprávy,144,"3,092",4.66%,9.0
avengers endgame recenze,141,"1,493",9.44%,4.1
avengers,132,"3,826",3.45%,1.5
david lama,130,"1,052",12.36%,8.6
kyjov drogy,124,365,33.97%,3.1
sucho 2019,120,753,15.94%,5.0
volby do evropského parlamentu 2019,117,"6,240",1.88%,5.2
technoparty,109,260,41.92%,1.7
amstel gold race 2019,108,363,29.75%,1.5
libor podmol,108,"1,327",8.14%,3.2
strojvedoucí vyskočil,106,795,13.33%,1.0
vigantol,104,"2,093",4.97%,6.9
volby do evropského parlamentu 2019 kandidáti,104,714,14.57%,3.8
kolem plzně hoří lesy,103,997,10.33%,1.7
irena michalcová,101,859,11.76%,1.4
izurnal,99,134,73.88%,1.0
spalničky,99,"2,572",3.85%,3.9
třetí pohlaví,98,472,20.76%,2.0
ropovod družba,97,"1,401",6.92%,3.2
pardubice,93,"2,085",4.46%,2.2
požár frenštát pod radhoštěm,93,152,61.18%,1.5
feri dominik,90,546,16.48%,2.9
fortuna liga nadstavba,88,934,9.42%,2.7
sri lanka utok,88,"1,001",8.79%,6.3
strojvedoucí vyskočil z vlaku,87,202,43.07%,1.0
nejoblíbenější jména,86,225,38.22%,1.1
bioparox,85,382,22.25%,5.1
poslanec feri,85,777,10.94%,1.7
zprávy z domova,84,967,8.69%,3.9
sural,83,"1,699",4.89%,11
eurovolby 2019,81,702,11.54%,3.6
teroristické útoky,79,619,12.76%,5.1
alanyaspor,78,707,11.03%,3.4
plzeň požár,78,278,28.06%,2.2
fireflies,77,427,18.03%,2.2
sri lanka,77,"1,139",6.76%,1.4
sri lanka utoky,76,"1,072",7.09%,4.8
technoparty uhy,74,138,53.62%,1.1
požár lesa,73,"1,612",4.53%,1.2
recenze avengers endgame,72,"1,998",3.60%,2.4
srí lanka,72,"1,025",7.02%,2.4
ukrajina volby,72,697,10.33%,2.7
vzácné mince,71,180,39.44%,1.0
požár frenštát,70,139,50.36%,1.2
nejvyšší budova světa,68,429,15.85%,1.0
pardubice všestrannost,68,111,61.26%,1.7
marie benešová,67,888,7.55%,3.8
pozar plzen,67,216,31.02%,1.7
ministr spravedlnosti,65,651,9.98%,3.5
požár javorník,65,94,69.15%,1.2
chotikovsky les,64,193,33.16%,1.1
tomáš kadlec,62,302,20.53%,3.1
zpravy,62,"3,052",2.03%,9.1
josef šural smrt,61,120,50.83%,2.1
požár chotíkov,61,204,29.90%,1.2
zeman,61,"1,500",4.07%,6.9
csfd,59,"103,335",0.06%,4.6
ukrajina,58,"3,866",1.50%,4.3
notre dame požár příčina,57,183,31.15%,2.0
starosta praha 4,57,173,32.95%,3.2
politický kompas,56,129,43.41%,2.9
pozar javornik,56,80,70.00%,2.6
drogy kyjov,55,168,32.74%,2.5
plzen pozar,55,122,45.08%,1.2
praha 4,55,520,10.58%,2.0
londýnský maraton 2019,54,222,24.32%,1.7
endgame recenze,53,359,14.76%,4.0
porodní plán,52,244,21.31%,1.6
sucho,51,536,9.51%,7.5
akce velikonoce 2019,50,306,16.34%,3.0
chotíkovský les,50,218,22.94%,1.0
farma bolka polívky 2019,50,84,59.52%,1.0
pavel zeman,50,932,5.36%,2.9
pardubice smrt jezdkyne,49,170,28.82%,2.5
vinohradská 12,49,90,54.44%,2.0
audiokniha roku,48,292,16.44%,2.4
libor podmol nehoda,48,239,20.08%,2.7
miloš říha,48,790,6.08%,4.8
srí lanka útok,48,283,16.96%,3.7
josef sural smrt,47,83,56.63%,2.1
nejčastější jména,47,461,10.20%,3.6
feri napadení,46,255,18.04%,2.7
zprávy ze světa,46,"1,733",2.65%,7.4
hasici vrtulnik,45,512,8.79%,1.5
nadstavba fortuna ligy,45,223,20.18%,1.9
,"44,233","1,317,900",3.36%,6.1

Week Index,Clicks
0000,"36,114"
0001,"8,119"
,"44,233"
