# ----------------------------------------
# iRozhlas
# Queries
# 20190902-20190908
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
ariana grande,"1,519","21,113",7.19%,3.6
nabarvené ptáče,788,"21,519",3.66%,7.3
ariana grande praha,654,"8,631",7.58%,4.7
jaroslav weigel,647,"19,386",3.34%,7.4
nabarvené ptáče recenze,545,"2,821",19.32%,4.2
rozhlas,532,"3,144",16.92%,3.2
nehoda vlaku uhříněves,501,"8,647",5.79%,4.8
blake schilb,459,"9,106",5.04%,7.2
brexit,421,"3,591",11.72%,5.2
blake schilb barbora schilb,420,"1,703",24.66%,1.7
desetikoruna 1993,406,810,50.12%,1.2
dlouhodobá předpověď počasí září,388,"2,912",13.32%,1.2
jaroslav šaroch,352,"3,847",9.15%,1.2
šaroch,332,"2,558",12.98%,2.0
mozková smrt,317,"2,219",14.29%,1.1
weigel,316,"4,910",6.44%,5.1
ariana grande koncert,308,"1,390",22.16%,2.4
důvěrný nepřítel,297,"13,236",2.24%,9.9
nehoda uhříněves,283,"1,664",17.01%,2.9
i rozhlas,266,298,89.26%,1.0
vinohradská 12,258,345,74.78%,1.7
koncert ariana grande,246,898,27.39%,1.5
adam vyčítal,218,888,24.55%,2.9
rodičovský příspěvek 2020,217,"3,712",5.85%,5.7
primark praha,212,"2,318",9.15%,6.1
ondřej balvín,205,"8,750",2.34%,7.7
jiří černohorský,202,757,26.68%,1.5
nehoda v uhříněvsi,202,824,24.51%,1.8
basketbal ms 2019,178,"14,241",1.25%,10
uhříněves nehoda,177,679,26.07%,2.4
10 kč 1993,172,290,59.31%,1.1
hurikan dorian,170,"8,312",2.05%,8.7
ms basketbal 2019 soupisky,170,"1,313",12.95%,3.6
minimální mzda 2020,167,424,39.39%,4.2
petr kotlár,166,546,30.40%,1.3
jaroslav vajgl herec,157,"1,148",13.68%,3.0
václav marhoul nabarvené ptáče,155,"7,063",2.19%,9.7
vigantol,147,"1,372",10.71%,5.3
divadlo járy cimrmana,146,"4,079",3.58%,6.3
http­s://ww­w.iroz­hlas­.cz/zp­ravy-domov/vlak-nakladni-automobil-uhri­neves­_19090­61003_­pj,143,192,74.48%,1.0
babiš,139,"2,905",4.78%,7.5
irská pojistka,138,711,19.41%,3.8
počasí září,133,868,15.32%,3.6
maršál koněv,132,"4,892",2.70%,3.1
první republika 4,129,314,41.08%,1.0
izurnal,128,154,83.12%,1.0
osvobození prahy,128,364,35.16%,1.8
počasí září 2019,128,629,20.35%,1.4
ms basketbal system,125,173,72.25%,1.4
nabarvene ptace,121,"2,820",4.29%,7.8
zprávy z domova,117,641,18.25%,2.7
anthoine hubert,116,800,14.50%,1.1
dorian,116,"1,569",7.39%,6.2
mandala,116,"5,363",2.16%,3.4
zdeněk svěrák,115,"3,010",3.82%,5.0
amazonský prales požár,114,431,26.45%,1.4
zpravy,114,"3,627",3.14%,6.9
spalničky,110,"2,540",4.33%,3.5
ms basketbal pavouk,109,467,23.34%,3.4
čapí hnízdo,107,"3,769",2.84%,7.9
hurikán dorian,105,"4,252",2.47%,8.1
stíhání andreje babiše,105,"2,618",4.01%,4.5
nabarvené ptáče benátky,102,758,13.46%,4.7
vzácné mince,102,321,31.78%,1.0
balvín basketbal,100,"3,647",2.74%,6.1
bahamy,99,"5,990",1.65%,6.1
nehoda cheb,99,296,33.45%,2.1
usa recko,98,330,29.70%,1.0
zprávy,97,944,10.28%,17
meda mládková narozeniny,94,"3,393",2.77%,3.3
přistání na měsíci indie,90,"1,146",7.85%,1.7
www.irozhlas,90,95,94.74%,1.0
martin erazím,87,"1,002",8.68%,1.5
jaroslav saroch,86,610,14.10%,2.0
usa recko basketbal,85,544,15.62%,2.1
amazonský prales,83,597,13.90%,2.6
volební preference srpen 2019,82,385,21.30%,3.1
saroch,81,618,13.11%,2.7
vinohradska 12,81,108,75.00%,1.9
mozkova smrt,80,576,13.89%,1.2
bahamy hurikán,78,856,9.11%,5.4
nehoda jesenice,78,176,44.32%,2.0
schilb,77,"1,992",3.87%,7.7
sever,77,"3,384",2.28%,5.9
šlachta,77,918,8.39%,5.2
pavel zeman,76,"1,152",6.60%,4.1
mugabe,75,"1,571",4.77%,4.6
robert šlachta,75,"1,250",6.00%,4.6
volební průzkum,73,139,52.52%,1.0
blikající zelená na semaforu,70,101,69.31%,1.1
burčák cena,70,97,72.16%,1.0
barbora schilb,69,410,16.83%,1.6
cimrman,69,"1,230",5.61%,2.1
ms basketbal,69,"6,184",1.12%,9.4
weigel cimrman,69,612,11.27%,4.0
divadlo járy cimrmana weigel,68,"3,212",2.12%,6.1
kosovo cesko,66,"1,968",3.35%,4.3
minimální mzda,66,"1,069",6.17%,1.8
nehoda f2,66,159,41.51%,1.9
aktip,65,348,18.68%,3.9
,"63,341","1,603,252",3.95%,6.5

Week Index,Clicks
0000,"53,449"
0001,"9,892"
,"63,341"
