# ----------------------------------------
# iRozhlas
# Queries
# 20190415-20190421
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
rozhlas,"1,769","3,092",57.21%,1.7
velký pátek,"1,306","12,696",10.29%,4.6
zelený čtvrtek,773,"16,374",4.72%,6.4
notre dame,635,"21,181",3.00%,8.6
fed cup prostějov,476,"1,909",24.93%,2.0
akce na velikonoce 2019,445,"3,138",14.18%,3.1
velikonoční zvyky,412,"1,411",29.20%,1.4
sucho,295,"1,098",26.87%,3.8
paříž,273,"2,963",9.21%,3.1
trnová koruna,265,"2,345",11.30%,3.2
cerna dira,262,"1,383",18.94%,2.8
i rozhlas,236,262,90.08%,1.0
pariz,224,"1,215",18.44%,2.0
počasí,223,"29,957",0.74%,7.2
babiš,200,"1,246",16.05%,3.5
zuzana mravova,197,"2,585",7.62%,5.1
trnova koruna notre dame,186,"1,000",18.60%,2.6
akce velikonoce 2019,179,"1,193",15.00%,3.4
uzavírka d1,164,308,53.25%,1.2
vigantol,159,"2,316",6.87%,6.5
kometa brno,155,"1,038",14.93%,1.2
david lama,151,"2,135",7.07%,8.9
velikonoční akce 2019,150,"1,051",14.27%,3.2
izurnal,148,172,86.05%,1.0
zeleny ctvrtek,147,"2,089",7.04%,5.6
pohresovana zena,144,349,41.26%,1.6
eurovolby,143,477,29.98%,2.0
smartwings,140,"2,592",5.40%,2.4
trnová koruna notre dame,134,643,20.84%,2.1
ukrajina volby,134,"1,183",11.33%,3.2
zprávy ze světa,134,"1,976",6.78%,6.5
notre dame online,116,"1,136",10.21%,2.1
velky patek pust,113,"2,396",4.72%,6.8
zpravy,112,"5,265",2.13%,8.8
velky patek,111,"1,842",6.03%,6.7
volby do evropského parlamentu 2019,111,"3,224",3.44%,5.6
pozar pariz,109,"1,487",7.33%,4.6
zelený čtvrtek velký pátek,107,538,19.89%,3.1
velký pátek zvyky,104,329,31.61%,2.3
pohřešovaná žena z prahy,103,181,56.91%,1.4
kdy se vrací zvony z říma,102,194,52.58%,2.0
zuzana vizcardo,102,"1,965",5.19%,3.9
bioparox,98,403,24.32%,4.7
cesta do pravěku,98,"3,085",3.18%,6.1
zprávy,96,"1,894",5.07%,11
velikonoce 2019 akce,95,688,13.81%,3.8
volby ukrajina,95,657,14.46%,3.5
eurovolby 2019,87,532,16.35%,3.1
zeleny ctvrtek pust,85,266,31.95%,2.1
karel havlíček,84,762,11.02%,2.4
debaty ukrajina,82,237,34.60%,2.1
nejvyšší budova světa,82,388,21.13%,1.1
notre dame požár,82,"2,329",3.52%,6.9
hoří notre dame,81,415,19.52%,4.6
notre dame příčina požáru,81,364,22.25%,3.2
paříž požár,80,487,16.43%,2.6
požár říčany,79,879,8.99%,1.0
notre dame hoří,78,491,15.89%,4.1
teroristické útoky,78,374,20.86%,3.1
volby ukrajina 2019,76,"1,978",3.84%,6.8
dálnice d1,75,"1,066",7.04%,4.3
požár notre dame,75,"2,082",3.60%,7.0
fed cup 2019 prostejov,74,362,20.44%,1.4
hillsborough,73,"2,166",3.37%,5.0
výluka metra c,73,158,46.20%,1.5
zuzana majerová zahradníková,73,"2,740",2.66%,2.8
zeleny ctvrtek velky patek,71,281,25.27%,3.4
babis,70,453,15.45%,4.2
zprávy z domova,70,815,8.59%,3.2
ministr dopravy,69,357,19.33%,1.9
nejoblíbenější jména,69,147,46.94%,1.0
kojení v bance,67,728,9.20%,7.8
zelený čtvrtek 2019,67,821,8.16%,4.7
zelený čtvrtek velký pátek bílá sobota,67,371,18.06%,3.7
lucie šafářová,66,"1,559",4.23%,1.7
notre dame hori,64,365,17.53%,4.8
paříž aktuálně,64,637,10.05%,1.7
pohresovana zuzana,64,540,11.85%,6.0
hori notre dame,62,523,11.85%,5.4
metro c,62,420,14.76%,1.5
brexit,61,"1,082",5.64%,5.4
kam na velikonoce,61,"1,060",5.75%,7.6
karel havlíček ministr,61,158,38.61%,1.1
metro praha,61,"2,745",2.22%,3.4
eurovolby 2019 kandidátky,60,91,65.93%,1.3
francie pozar,60,745,8.05%,5.3
fireflies,59,349,16.91%,2.3
notre dame ohen,58,537,10.80%,4.8
d1 uzavírky,57,176,32.39%,2.3
fajt,57,447,12.75%,3.5
pozar ricany,57,344,16.57%,1.9
trnova koruna,57,636,8.96%,4.2
volby do evropského parlamentu 2019 kandidáti,56,352,15.91%,2.8
vzácné mince,55,140,39.29%,1.0
otevírací doba velký pátek,54,"1,207",4.47%,1.0
polunin putin,54,115,46.96%,1.6
zuzana skalníková,53,"1,271",4.17%,7.2
d1,52,772,6.74%,3.4
lom praha,52,161,32.30%,2.0
nejčastější jména 2018,52,141,36.88%,1.8
,"46,880","1,419,753",3.30%,5.9

Week Index,Clicks
0000,"41,970"
0001,"4,910"
,"46,880"
