# ----------------------------------------
# iRozhlas
# Queries
# 20190128-20190203
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
most,"1,497","43,820",3.42%,3.4
metanol kauza,768,"8,259",9.30%,4.7
sala,553,"2,237",24.72%,2.6
kauza metanol,527,"4,503",11.70%,4.7
počasí,401,"57,753",0.69%,2.9
emiliano sala,308,"1,441",21.37%,1.2
chřipková epidemie 2019,307,"1,177",26.08%,3.7
chicago počasí,297,"1,779",16.69%,2.3
most!,275,"9,322",2.95%,6.5
zoot insolvence,261,"1,751",14.91%,2.7
csfd,253,"53,615",0.47%,2.2
rozhlas,237,"2,681",8.84%,4.2
biatlon,225,"2,733",8.23%,1.3
zoot,221,"11,032",2.00%,2.2
chripka 2019,199,862,23.09%,3.2
pocasi,197,"9,320",2.11%,2.5
i rozhlas,183,224,81.70%,1.1
narušitel,180,"4,458",4.04%,4.0
brexit,172,"1,789",9.61%,2.5
serial most,169,"10,093",1.67%,6.5
eva samková,153,"5,666",2.70%,4.9
karel lánský,150,796,18.84%,1.8
metanolova kauza,147,"2,632",5.59%,6.5
jiří vacula,131,486,26.95%,1.0
kauza metanol obete,131,636,20.60%,3.3
fireflies,130,551,23.59%,1.9
ženy v běhu,128,"10,059",1.27%,2.1
spalnicky 2019,126,540,23.33%,3.4
nejčastější jména 2018,124,260,47.69%,1.1
maso z polska,119,"1,066",11.16%,4.1
sala letadlo,116,532,21.80%,3.2
nejoblíbenější jména,115,221,52.04%,1.0
zprávy z domova,115,"1,558",7.38%,4.3
anna fernstädtová,114,"3,164",3.60%,2.4
zprávy,112,"1,994",5.62%,11
počasí chicago,111,"1,421",7.81%,3.3
chřipková epidemie,109,414,26.33%,3.6
čnb brno,109,961,11.34%,4.2
lake malawi eurovize,107,"1,103",9.70%,2.3
samková,104,"2,294",4.53%,3.7
matti nykänen,100,509,19.65%,3.2
nejvyšší budova světa,99,473,20.93%,1.0
venezuela,99,"1,415",7.00%,2.5
bioparox,98,639,15.34%,6.1
izurnal,98,123,79.67%,1.0
vzácné mince,95,213,44.60%,1.3
samkova ms 2019,93,408,22.79%,2.5
čnb brno dvacetikoruny,91,355,25.63%,2.5
seriál most,91,"3,646",2.50%,6.4
samkova online,90,150,60.00%,1.2
volby 2019,87,776,11.21%,3.0
rami malek,84,"4,036",2.08%,1.7
jackson maine,80,"1,249",6.41%,5.0
martin hofmann,80,"2,589",3.09%,5.8
narušitel recenze,80,276,28.99%,1.7
svišť phil,80,"1,484",5.39%,1.3
jan palach,79,"5,511",1.43%,8.4
čnb pamětní dvacetikoruny,78,"3,436",2.27%,2.8
okamura bilion,75,196,38.27%,2.9
samkova,73,"1,272",5.74%,3.2
silný vítr,72,273,26.37%,2.6
volby do evropského parlamentu,71,"1,151",6.17%,3.8
čsfd,69,"10,221",0.68%,2.2
tvrdý brexit,69,182,37.91%,1.6
otrava metanolom v cechach,68,510,13.33%,7.0
kauza metanol v čechách,64,765,8.37%,5.4
radkin honzák,62,985,6.29%,4.1
zpravy,62,801,7.74%,8.8
chřipka 2019,61,223,27.35%,2.7
babiš,60,580,10.34%,4.1
chřipka,58,678,8.55%,2.4
lake malawi,58,"2,281",2.54%,8.5
rudolf fulín,58,181,32.04%,2.4
česká národní banka brno,57,621,9.18%,5.0
epidemie spalniček,57,248,22.98%,4.4
jiri vacula,55,156,35.26%,1.0
mince ke 100 výročí republiky prodej,55,226,24.34%,1.6
pavel severa,55,346,15.90%,2.6
předpověď počasí únor,55,766,7.18%,2.1
chripka,53,504,10.52%,2.3
afera metanol cesko,52,234,22.22%,3.1
český rozhlas,52,"7,986",0.65%,5.9
fantastická zvířata,52,"2,867",1.81%,4.9
skeleton,51,"3,408",1.50%,2.0
kauza metanol odsouzeni,50,397,12.59%,2.7
samkova utah,50,114,43.86%,1.2
česká národní banka,49,"2,047",2.39%,3.8
jaromír jágr,48,"2,739",1.75%,4.6
počasí amerika,47,188,25.00%,4.4
epidemie chřipky,46,177,25.99%,1.6
pervitin,46,"2,083",2.21%,8.1
samkova ms,46,299,15.38%,2.4
čnb,45,"2,070",2.17%,4.0
komedie 2018,45,"5,193",0.87%,9.0
most herci,45,"4,559",0.99%,6.6
cnb brno,44,671,6.56%,6.7
snowboardcross,44,466,9.44%,1.6
stávka audi,44,66,66.67%,1.2
rozhlas zprávy,43,54,79.63%,1.0
unikova hra polsko,43,89,48.31%,2.6
,"42,905","1,317,998",3.26%,5.8

Week Index,Clicks
0000,"36,717"
0001,"6,188"
,"42,905"
