# ----------------------------------------
# iRozhlas
# Queries
# 20190930-20191006
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
karel gott smrt,"5,195","49,843",10.42%,4.7
karel gott,"1,118","158,374",0.71%,14
hondrostrong,984,"1,770",55.59%,2.5
vlasta chramostová,908,"54,207",1.68%,8.7
státní smutek,815,"40,022",2.04%,6.7
karel gott pohreb,713,"8,386",8.50%,6.7
rozhlas,576,"3,689",15.61%,2.7
lenora,516,"5,601",9.21%,4.2
smrt karla gotta,507,"3,383",14.99%,3.9
gott smrt,472,"4,778",9.88%,4.9
pohreb karla gotta,403,"5,511",7.31%,6.6
černý kašel,337,"2,005",16.81%,3.9
karel gott leukémie,328,"2,916",11.25%,3.2
hondrostrong recenze,325,569,57.12%,1.7
vinohradská 12,319,437,73.00%,1.4
jaroslav matýs,316,"2,496",12.66%,2.4
pohřeb se státními poctami,314,"2,584",12.15%,3.3
i rozhlas,310,363,85.40%,1.0
zprávy z domova,300,"1,055",28.44%,1.9
thalie 2019,286,"1,268",22.56%,1.6
statni smutek,280,"10,923",2.56%,5.6
platy učitelů,279,"1,252",22.28%,1.3
lenora nehoda,262,514,50.97%,1.1
ivana gottová,247,"9,074",2.72%,2.3
karel gott pohřeb,247,"2,804",8.81%,6.0
státní pohřeb gotta,246,"11,353",2.17%,7.7
tomáš halík,242,"2,501",9.68%,3.4
statni smutek gotta,241,"3,158",7.63%,2.5
lenora výbuch plynu,239,"4,032",5.93%,2.4
jiří burian,238,"11,640",2.04%,5.9
zemřel karel gott,238,"4,440",5.36%,5.0
radkin honzák,230,"3,840",5.99%,2.3
nehoda šanov,220,452,48.67%,1.2
gott,217,"18,985",1.14%,12
vybuch lenora,201,"1,387",14.49%,3.0
david rath,194,"3,166",6.13%,4.1
banksy,192,"2,780",6.91%,3.7
halik gott,192,"1,319",14.56%,3.7
lenora vybuch,183,"1,387",13.19%,3.8
smrt karel gott,182,"1,089",16.71%,3.6
oči má sněhem zaváté,181,"1,143",15.84%,2.9
lenora výbuch,179,"1,151",15.55%,4.0
rozděleni svobodou,179,233,76.82%,1.0
státní smutek zákon,179,"4,092",4.37%,3.0
nehoda hrusovany nad jevisovkou,175,520,33.65%,2.0
halík,169,"1,877",9.00%,4.1
filip pešán,166,625,26.56%,1.1
move&flex,166,313,53.04%,2.9
zprávy karel gott,166,"1,467",11.32%,3.2
jacques chirac,163,"1,618",10.07%,1.1
pohřeb karla gotta,163,"2,031",8.03%,6.5
primark praha,163,"1,760",9.26%,6.1
halík gott,157,"1,050",14.95%,2.9
lenora vybuch plynu,157,423,37.12%,1.4
vlasta chramostová 2019,156,"1,632",9.56%,4.0
pohreb se statnimi poctami,150,"2,327",6.45%,5.1
zprávy,150,"1,429",10.50%,11
rozdeleni svobodou,149,201,74.13%,1.0
výbuch lenora,146,"1,239",11.78%,3.8
izurnal,144,169,85.21%,1.0
aspergerův syndrom,143,"4,908",2.91%,2.8
nehoda litomyšl,143,239,59.83%,1.1
pohreb karel gott,138,"1,776",7.77%,6.8
vadlejch dauha,133,293,45.39%,1.1
akutní leukémie,132,"5,407",2.44%,6.2
ceny thálie 2019,132,"1,207",10.94%,2.9
výbuch plynu v lenoře,131,317,41.32%,1.4
jiří suchý,128,"7,039",1.82%,5.8
www.irozhlas,125,134,93.28%,1.0
chramostová,124,"9,616",1.29%,11
karel got smrt,124,548,22.63%,3.1
maraton dauha,122,200,61.00%,1.6
sergej bubka,122,"1,639",7.44%,6.9
rath,117,"1,314",8.90%,5.1
výbuch v lenoře,114,734,15.53%,3.5
titanic,112,"6,401",1.75%,5.1
gott pohřeb,111,"1,140",9.74%,5.6
gott pohreb,109,"1,144",9.53%,7.5
karel gott zemřel,109,"2,958",3.68%,5.9
monty python,109,"1,220",8.93%,5.1
kapitán demo,108,"16,080",0.67%,12
dopravní nehoda hrušovany nad jevišovkou,106,"1,525",6.95%,1.1
hejnová dauhá,106,684,15.50%,1.4
vinohradska 12,100,136,73.53%,1.6
vzácné mince,99,273,36.26%,1.0
hejnova dauha,98,760,12.89%,3.0
banksy obraz,97,339,28.61%,1.8
vlastimil spěvák,97,609,15.93%,7.7
bioparox,96,400,24.00%,4.9
vlasta chramostova,91,"4,951",1.84%,9.2
karel gott smrt 2019,89,"1,544",5.76%,6.9
karel gott státní smutek,89,683,13.03%,4.1
thalie 2019 vysledky,89,155,57.42%,1.0
ceny thálie 2019 výsledky,88,299,29.43%,1.0
ginger baker,88,807,10.90%,3.2
pohreb gotta,87,909,9.57%,5.8
cerny kasel,86,520,16.54%,4.2
vigantol,86,"2,091",4.11%,6.0
karel gott zpravy,85,495,17.17%,4.4
lenora pozar,85,164,51.83%,1.0
,"74,656","1,961,829",3.81%,7.2

Week Index,Clicks
0000,"63,541"
0001,"11,115"
,"74,656"
